"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
København;454444;412736;71.0;64.5;639943
Frederiksberg;78891;73050;76.6;70.9;103007
Ballerup;35443;32975;72.1;67.1;49130
Brøndby;23148;21613;65.2;60.9;35489
Dragør;11014;10289;75.4;70.4;14605
Gentofte;55885;52411;75.2;70.5;74298
Gladsaxe;49627;46049;72.0;66.8;68955
Glostrup;16627;15440;70.7;65.6;23528
Herlev;20461;18883;71.0;65.5;28809
Albertslund;18198;16687;66.6;61.1;27315
Hvidovre;37206;34561;70.0;65.0;53175
Høje Tåstrup;35034;32410;66.7;61.7;52544
Lyngby-Taarbæk;43506;40564;76.2;71.1;57068
Rødovre;28639;26617;69.5;64.6;41193
Ishøj;14162;12979;61.5;56.4;23017
Tårnby;30758;28526;72.2;66.9;42616
Vallensbæk;11206;10409;67.8;63.0;16520
Furesø;30577;28574;74.0;69.2;41302
Allerød;19986;18839;77.2;72.7;25901
Fredensborg;30294;28551;73.8;69.6;41040
Helsingør;47291;44445;74.9;70.4;63134
Hillerød;39496;37299;75.4;71.2;52407
Hørsholm;19396;18382;78.3;74.2;24782
Rudersdal;43882;41024;76.6;71.6;57259
Egedal;33346;31095;75.5;70.4;44141
Frederikssund;35432;33369;77.3;72.8;45819
Greve;36459;34020;72.0;67.2;50627
Køge;45807;43116;74.3;69.9;61664
Halsnæs;24023;22850;76.4;72.6;31459
Roskilde;67951;63355;76.3;71.1;89103
Solrød;17454;16440;74.0;69.7;23597
Gribskov;31628;30143;76.6;73.0;41293
Odsherred;25739;24587;78.1;74.6;32977
Holbæk;54983;51723;75.7;71.2;72646
Faxe;27679;26258;74.7;70.9;37059
Kalundborg;36391;34286;75.1;70.8;48440
Ringsted;25389;23744;72.3;67.6;35107
Slagelse;58775;55053;73.9;69.2;79555
Stevns;17734;16781;76.1;72.0;23295
Sorø;22794;21451;76.0;71.5;30003
Lejre;21547;20396;75.3;71.3;28600
Lolland;30237;28875;75.1;71.7;40273
Næstved;62796;59076;75.1;70.7;83605
Guldborgsund;45864;43544;75.9;72.1;60390
Vordingborg;34494;32757;76.0;72.2;45359
Bornholm;31428;29375;79.0;73.9;39772
Middelfart;30548;29044;77.4;73.6;39462
Assens;31757;29216;77.7;71.4;40896
Faaborg-Midtfyn;40052;37437;77.2;72.2;51858
Kerteminde;18701;17485;78.0;72.9;23981
Nyborg;24937;23184;77.6;72.2;32116
Odense;154923;138676;75.6;67.7;204901
Svendborg;45534;42982;77.1;72.8;59032
Nordfyn;22493;20876;75.9;70.4;29651
Langeland;9842;9282;79.7;75.2;12344
Ærø;4961;4528;82.4;75.2;6022
Haderslev;41095;36827;74.2;66.5;55363
Billund;20059;18544;75.5;69.8;26585
Sønderborg;56248;52400;76.4;71.2;73641
Tønder;27410;24432;74.2;66.1;36963
Esbjerg;86512;76519;75.0;66.3;115417
Fanø;2744;2568;79.7;74.6;3441
Varde;37313;34144;75.1;68.7;49694
Vejen;31341;29053;73.3;67.9;42760
Aabenraa;42803;39700;73.2;67.9;58480
Fredericia;38476;36517;74.6;70.8;51547
Horsens;68242;63214;73.1;67.7;93356
Kolding;68459;61898;73.5;66.5;93130
Vejle;87094;77966;73.7;66.0;118189
Herning;67112;59997;75.2;67.3;89206
Holstebro;44439;40302;75.9;68.8;58572
Lemvig;15213;13973;78.4;72.0;19406
Struer;16234;14818;78.1;71.3;20778
Syddjurs;33733;30860;77.5;70.9;43508
Norddjurs;28802;26698;77.8;72.1;37008
Favrskov;36972;33705;75.9;69.2;48726
Odder;18147;17112;78.3;73.8;23174
Randers;74541;67697;75.6;68.7;98582
Silkeborg;72171;65347;74.6;67.6;96685
Samsø;3015;2896;80.8;77.6;3730
Skanderborg;47978;44787;75.0;70.0;63956
Århus;267570;239150;75.6;67.6;353733
Ikast-Brande;30736;27821;73.5;66.5;41830
Ringkøbing-Skjern;42503;38890;75.6;69.2;56206
Hedensted;35726;33453;75.9;71.1;47069
Morsø;15616;14162;77.8;70.6;20070
Skive;35279;32887;78.2;72.9;45105
Thisted;33153;31048;76.8;71.9;43154
Viborg;73802;68079;76.3;70.3;96787
Brønderslev;27380;25156;75.7;69.5;36182
Frederikshavn;46218;44078;78.4;74.7;58976
Vesthimmerland;27516;26072;75.6;71.6;36419
Læsø;1462;1420;81.7;79.4;1789
Rebild;22817;21171;74.6;69.2;30600
Mariagerfjord;32161;30233;77.4;72.7;41565
Jammerbugt;29119;27261;76.4;71.5;38130
Aalborg;168675;154806;76.5;70.3;220347
Hjørring;49649;46022;77.7;72.0;63920
