"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-05;København;K;236381;222872;236202;222419;179;453
2021-09-05;København;M;225556;213801;225420;213406;136;395
2021-09-05;Frederiksberg;K;42491;40577;42465;40513;26;64
2021-09-05;Frederiksberg;M;37284;35727;37266;35659;18;68
2021-09-05;Ballerup;K;18564;17855;18547;17819;17;36
2021-09-05;Ballerup;M;17200;16564;17192;16516;8;48
2021-09-05;Brøndby;K;12251;11683;12242;11669;9;14
2021-09-05;Brøndby;M;11312;10788;11305;10774;7;14
2021-09-05;Dragør;K;5756;5536;5753;5532;3;4
2021-09-05;Dragør;M;5363;5175;5361;5168;2;7
2021-09-05;Gentofte;K;29793;28657;29769;28606;24;51
2021-09-05;Gentofte;M;26671;25665;26647;25610;24;55
2021-09-05;Gladsaxe;K;25565;24533;25550;24465;15;68
2021-09-05;Gladsaxe;M;24579;23553;24560;23496;19;57
2021-09-05;Glostrup;K;8634;8282;8629;8274;5;8
2021-09-05;Glostrup;M;8197;7863;8193;7848;4;15
2021-09-05;Herlev;K;10773;10309;10762;10271;11;38
2021-09-05;Herlev;M;9879;9456;9871;9435;8;21
2021-09-05;Albertslund;K;9475;9023;9469;9001;6;22
2021-09-05;Albertslund;M;9022;8520;9015;8494;7;26
2021-09-05;Hvidovre;K;19387;18571;19378;18546;9;25
2021-09-05;Hvidovre;M;18309;17557;18297;17535;12;22
2021-09-05;Høje Tåstrup;K;17927;17101;17919;17067;8;34
2021-09-05;Høje Tåstrup;M;17586;16793;17574;16742;12;51
2021-09-05;Lyngby-Taarbæk;K;22613;21776;22597;21743;16;33
2021-09-05;Lyngby-Taarbæk;M;21338;20557;21320;20517;18;40
2021-09-05;Rødovre;K;15108;14488;15095;14447;13;41
2021-09-05;Rødovre;M;13904;13315;13894;13274;10;41
2021-09-05;Ishøj;K;7340;6943;7332;6926;8;17
2021-09-05;Ishøj;M;7067;6676;7059;6658;8;18
2021-09-05;Tårnby;K;16021;15367;16015;15341;6;26
2021-09-05;Tårnby;M;15101;14434;15094;14401;7;33
2021-09-05;Vallensbæk;K;5763;5523;5761;5509;2;14
2021-09-05;Vallensbæk;M;5579;5363;5575;5357;4;6
2021-09-05;Furesø;K;16012;15470;16003;15442;9;28
2021-09-05;Furesø;M;14819;14343;14807;14311;12;32
2021-09-05;Allerød;K;10322;10024;10321;10013;1;11
2021-09-05;Allerød;M;9791;9521;9785;9514;6;7
2021-09-05;Fredensborg;K;16016;15512;16015;15503;1;9
2021-09-05;Fredensborg;M;14589;14087;14581;14076;8;11
2021-09-05;Helsingør;K;24963;24107;24954;24096;9;11
2021-09-05;Helsingør;M;22804;22022;22798;22015;6;7
2021-09-05;Hillerød;K;20470;19864;20464;19849;6;15
2021-09-05;Hillerød;M;19365;18744;19359;18733;6;11
