"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16974;48
AstraZeneca Covid-19 vaccine;Midtjylland;33920;129
AstraZeneca Covid-19 vaccine;Syddanmark;30693;388
AstraZeneca Covid-19 vaccine;Hovedstaden;45984;744
AstraZeneca Covid-19 vaccine;Sjælland;23994;424
Janssen COVID-19 vaccine;Nordjylland;3639;3639
Janssen COVID-19 vaccine;Midtjylland;9861;9861
Janssen COVID-19 vaccine;Syddanmark;7518;7518
Janssen COVID-19 vaccine;Hovedstaden;22482;22482
Janssen COVID-19 vaccine;Sjælland;2805;2805
Moderna Covid-19 Vaccine;Nordjylland;69967;68435
Moderna Covid-19 Vaccine;Midtjylland;121386;118059
Moderna Covid-19 Vaccine;Syddanmark;130588;156086
Moderna Covid-19 Vaccine;Hovedstaden;147208;141235
Moderna Covid-19 Vaccine;Sjælland;81763;101960
Pfizer BioNTech Covid-19 vacc;Nordjylland;370682;381477
Pfizer BioNTech Covid-19 vacc;Midtjylland;865601;885760
Pfizer BioNTech Covid-19 vacc;Syddanmark;772418;762391
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1166839;1188161
Pfizer BioNTech Covid-19 vacc;Sjælland;534344;528493
