"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;17;4;296575;0.0;0.0
0-9;M;15;3;312931;0.0;0.0
10-19;K;206127;198608;330452;62.4;60.1
10-19;M;213914;205109;346787;61.7;59.1
20-29;K;297392;287606;381509;78.0;75.4
20-29;M;304447;292737;397642;76.6;73.6
30-39;K;276581;266635;348203;79.4;76.6
30-39;M;279685;271813;361045;77.5;75.3
40-49;K;330809;326762;369288;89.6;88.5
40-49;M;322159;318143;369743;87.1;86.0
50-59;K;372783;370355;400667;93.0;92.4
50-59;M;373607;371233;404424;92.4;91.8
60-69;K;325717;324587;341348;95.4;95.1
60-69;M;315893;314842;331288;95.4;95.0
70-79;K;295852;295289;304944;97.0;96.8
70-79;M;267402;266937;275420;97.1;96.9
80-89;K;136143;135741;140734;96.7;96.5
80-89;M;101445;101223;104300;97.3;97.0
90+;K;30777;30570;32388;95.0;94.4
90+;M;13063;12997;13535;96.5;96.0
