"Revacc. 1 dato";"kommunenavn";"Antal revacc. 1"
2021-02-10;Roskilde;1
2021-02-18;Ærø;1
2021-02-23;Ringkøbing-Skjern;1
2021-02-24;København;1
2021-02-24;Frederikssund;2
2021-02-25;Odsherred;1
2021-02-26;Svendborg;1
2021-02-27;København;1
2021-02-27;Hvidovre;1
2021-02-27;Århus;1
2021-02-28;København;1
2021-02-28;Gladsaxe;1
2021-02-28;Odense;1
2021-03-01;Køge;1
2021-03-01;Tønder;1
2021-03-01;Esbjerg;1
2021-03-02;København;1
2021-03-02;Kolding;1
2021-03-03;Rudersdal;1
2021-03-04;København;1
2021-03-06;Fredericia;1
2021-03-08;Bornholm;1
2021-03-09;Skive;13
2021-03-09;Viborg;1
2021-03-10;København;1
2021-03-10;Horsens;1
2021-03-11;Ishøj;1
2021-03-13;Brøndby;1
2021-03-13;Vejen;1
2021-03-15;Albertslund;1
2021-03-23;Gentofte;1
2021-03-23;Odense;1
2021-03-23;Holstebro;1
2021-03-24;København;2
2021-03-24;Odense;1
2021-03-25;Gentofte;1
2021-03-25;Furesø;1
2021-03-25;Herning;1
2021-03-25;Holstebro;1
2021-03-25;Aalborg;1
2021-03-27;Horsens;1
2021-03-28;Glostrup;1
2021-03-29;København;1
2021-03-30;København;1
2021-03-30;Frederiksberg;1
2021-03-30;Helsingør;1
2021-03-30;Guldborgsund;1
2021-04-01;Guldborgsund;1
2021-04-03;Fredensborg;1
2021-04-05;Horsens;1
2021-04-05;Odder;1
2021-04-05;Skanderborg;1
2021-04-06;Frederiksberg;1
2021-04-06;Rødovre;1
2021-04-06;Odsherred;1
2021-04-06;Næstved;1
2021-04-06;Faaborg-Midtfyn;1
2021-04-06;Skive;1
2021-04-06;Rebild;1
2021-04-07;Greve;1
2021-04-07;Horsens;1
2021-04-09;København;1
2021-04-09;Hillerød;1
2021-04-09;Rebild;1
2021-04-11;Viborg;1
2021-04-12;Århus;1
2021-04-13;Viborg;1
2021-04-14;Gentofte;1
2021-04-14;Roskilde;1
2021-04-14;Odsherred;1
2021-04-14;Svendborg;1
2021-04-14;Kolding;1
2021-04-14;Århus;1
2021-04-14;Aalborg;1
2021-04-15;Stevns;1
2021-04-15;Vejen;1
2021-04-16;København;1
2021-04-16;Gladsaxe;1
2021-04-17;Odense;1
2021-04-19;Hvidovre;1
2021-04-20;Århus;2
2021-04-22;Middelfart;1
2021-04-22;Odense;2
2021-04-22;Svendborg;1
2021-04-23;Høje Tåstrup;1
2021-04-23;Århus;1
2021-04-25;Høje Tåstrup;1
2021-04-26;København;1
2021-04-26;Furesø;1
2021-04-26;Faaborg-Midtfyn;1
2021-04-26;Esbjerg;1
2021-04-27;Herlev;1
2021-04-27;Lyngby-Taarbæk;1
2021-04-27;Rudersdal;1
2021-04-27;Frederikssund;1
2021-04-27;Greve;1
2021-04-27;Bornholm;2
2021-04-27;Horsens;1
2021-04-27;Silkeborg;1
2021-04-27;Skive;1
2021-04-28;København;1
2021-04-28;Frederiksberg;1
2021-04-28;Lyngby-Taarbæk;1
2021-04-28;Rudersdal;1
2021-04-28;Roskilde;1
2021-04-28;Århus;4
2021-04-29;København;1
2021-04-29;Frederiksberg;1
2021-04-29;Sorø;1
2021-05-01;Gladsaxe;1
2021-05-01;Esbjerg;2
2021-05-01;Vejen;1
2021-05-01;Skanderborg;1
2021-05-02;Vejle;1
2021-05-03;København;1
2021-05-03;Esbjerg;2
2021-05-03;Horsens;1
2021-05-03;Vejle;1
2021-05-03;Odder;1
2021-05-03;Silkeborg;1
2021-05-03;Hjørring;1
2021-05-04;Ballerup;1
2021-05-04;Middelfart;1
2021-05-04;Odense;1
2021-05-04;Aabenraa;2
2021-05-04;Odder;1
2021-05-04;Århus;2
2021-05-05;Århus;1
2021-05-06;Ishøj;1
2021-05-06;Helsingør;1
2021-05-06;Roskilde;1
2021-05-06;Middelfart;1
2021-05-06;Esbjerg;1
2021-05-06;Århus;1
2021-05-07;Sønderborg;1
2021-05-08;Roskilde;1
2021-05-10;København;2
2021-05-10;Sønderborg;1
2021-05-10;Horsens;1
2021-05-10;Herning;1
2021-05-11;København;1
2021-05-11;Esbjerg;1
2021-05-12;Glostrup;1
2021-05-12;Hvidovre;1
2021-05-12;Silkeborg;1
2021-05-13;København;1
2021-05-13;Viborg;1
2021-05-14;København;1
2021-05-14;Esbjerg;1
2021-05-14;Fredericia;1
2021-05-14;Silkeborg;1
2021-05-14;Århus;1
2021-05-15;Jammerbugt;1
2021-05-16;Dragør;1
2021-05-16;Odense;1
2021-05-17;København;1
2021-05-17;Struer;1
2021-05-17;Ringkøbing-Skjern;1
2021-05-18;København;1
2021-05-18;Gribskov;1
2021-05-18;Faaborg-Midtfyn;1
2021-05-18;Århus;1
2021-05-19;København;1
2021-05-19;Århus;1
2021-05-20;Varde;1
2021-05-20;Skive;1
2021-05-21;Helsingør;1
2021-05-21;Middelfart;1
2021-05-22;Frederiksberg;1
2021-05-22;Holbæk;1
2021-05-24;Vejle;1
2021-05-25;Odense;1
2021-05-25;Viborg;2
2021-05-26;København;1
2021-05-26;Haderslev;1
2021-05-26;Samsø;1
2021-05-26;Frederikshavn;1
2021-05-27;Hillerød;1
2021-05-27;Næstved;1
2021-05-27;Sønderborg;1
2021-05-28;Vejen;1
2021-05-28;Aabenraa;1
2021-05-28;Ikast-Brande;1
2021-05-29;Assens;1
2021-05-29;Aalborg;1
2021-05-30;Frederikshavn;1
2021-05-31;København;1
2021-05-31;Varde;1
2021-05-31;Herning;1
2021-06-01;København;1
2021-06-01;Lyngby-Taarbæk;1
2021-06-01;Skive;1
2021-06-01;Aalborg;1
2021-06-02;Helsingør;1
2021-06-02;Lolland;1
2021-06-02;Skive;1
2021-06-02;Viborg;1
2021-06-04;København;1
2021-06-04;Tårnby;1
2021-06-05;København;2
2021-06-05;Frederikssund;1
2021-06-05;Tønder;1
2021-06-05;Aalborg;1
2021-06-07;København;1
2021-06-07;Holbæk;1
2021-06-08;København;1
2021-06-08;Hvidovre;1
2021-06-08;Hørsholm;1
2021-06-08;Kerteminde;1
2021-06-08;Rebild;1
2021-06-09;København;1
2021-06-09;Halsnæs;1
2021-06-09;Fredericia;1
2021-06-10;Frederiksberg;1
2021-06-10;Greve;1
2021-06-10;Silkeborg;1
2021-06-10;Aalborg;1
2021-06-11;Varde;1
2021-06-14;Lyngby-Taarbæk;1
2021-06-15;Lyngby-Taarbæk;2
2021-06-15;Rudersdal;1
2021-06-15;Fredericia;1
2021-06-15;Struer;1
2021-06-16;Tårnby;1
2021-06-16;Stevns;1
2021-06-17;Rødovre;1
2021-06-17;Helsingør;1
2021-06-18;København;1
2021-06-18;Hillerød;1
2021-06-18;Rudersdal;1
2021-06-18;Fredericia;1
2021-06-19;Kalundborg;1
2021-06-19;Ringsted;1
2021-06-19;Billund;1
2021-06-21;Odense;1
2021-06-21;Holstebro;1
2021-06-21;Skanderborg;1
2021-06-22;Lyngby-Taarbæk;1
2021-06-22;Randers;1
2021-06-22;Brønderslev;1
2021-06-23;København;1
2021-06-23;Odense;1
2021-06-24;København;1
2021-06-24;Horsens;1
2021-06-24;Aalborg;1
2021-06-25;København;12
2021-06-25;Assens;1
2021-06-26;Faaborg-Midtfyn;1
2021-06-27;Helsingør;2
2021-06-28;Odense;1
2021-06-29;Horsens;1
2021-06-29;Randers;1
2021-06-30;Tårnby;1
2021-07-01;København;1
2021-07-01;Gentofte;1
2021-07-03;København;1
2021-07-03;Frederiksberg;1
2021-07-03;Roskilde;1
2021-07-03;Billund;1
2021-07-03;Vejle;1
2021-07-04;København;1
2021-07-04;Albertslund;1
2021-07-04;Hillerød;2
2021-07-05;København;1
2021-07-06;Lyngby-Taarbæk;1
2021-07-06;Hørsholm;1
2021-07-06;Slagelse;1
2021-07-06;Stevns;1
2021-07-06;Nyborg;3
2021-07-06;Skive;1
2021-07-07;Ishøj;1
2021-07-07;Gribskov;1
