"Faerdigvacc. dato";"regionskode_current";"Regionsnavn";"Antal faerdigvacc.";"regionskode_num"
2021-01-01;1083;Syddanmark;1;1083
2021-01-04;1083;Syddanmark;1;1083
2021-01-07;1083;Syddanmark;1;1083
2021-01-08;1084;Hovedstaden;1;1084
2021-01-09;1084;Hovedstaden;2;1084
2021-01-12;1082;Midtjylland;1;1082
2021-01-12;1083;Syddanmark;1;1083
2021-01-13;1082;Midtjylland;1;1082
2021-01-13;1084;Hovedstaden;1;1084
2021-01-14;1084;Hovedstaden;1;1084
2021-01-15;1084;Hovedstaden;5;1084
2021-01-16;1082;Midtjylland;7;1082
2021-01-16;1084;Hovedstaden;1;1084
2021-01-16;1085;Sjælland;1;1085
2021-01-17;1081;Nordjylland;1;1081
2021-01-17;1082;Midtjylland;2;1082
2021-01-17;1083;Syddanmark;404;1083
2021-01-17;1084;Hovedstaden;41;1084
2021-01-17;1085;Sjælland;200;1085
2021-01-18;1081;Nordjylland;4;1081
2021-01-18;1082;Midtjylland;166;1082
2021-01-18;1083;Syddanmark;470;1083
2021-01-18;1084;Hovedstaden;137;1084
2021-01-18;1085;Sjælland;1203;1085
2021-01-19;1081;Nordjylland;2;1081
2021-01-19;1082;Midtjylland;11;1082
2021-01-19;1083;Syddanmark;413;1083
2021-01-19;1084;Hovedstaden;171;1084
2021-01-19;1085;Sjælland;1338;1085
2021-01-20;1081;Nordjylland;4;1081
2021-01-20;1082;Midtjylland;97;1082
2021-01-20;1083;Syddanmark;280;1083
2021-01-20;1084;Hovedstaden;133;1084
2021-01-20;1085;Sjælland;1229;1085
2021-01-21;1081;Nordjylland;10;1081
2021-01-21;1082;Midtjylland;576;1082
2021-01-21;1083;Syddanmark;403;1083
2021-01-21;1084;Hovedstaden;118;1084
2021-01-21;1085;Sjælland;1097;1085
2021-01-22;1081;Nordjylland;2368;1081
2021-01-22;1082;Midtjylland;1076;1082
2021-01-22;1083;Syddanmark;1404;1083
2021-01-22;1084;Hovedstaden;80;1084
2021-01-22;1085;Sjælland;445;1085
2021-01-23;1081;Nordjylland;1253;1081
2021-01-23;1082;Midtjylland;944;1082
2021-01-23;1083;Syddanmark;158;1083
2021-01-23;1084;Hovedstaden;3901;1084
2021-01-23;1085;Sjælland;370;1085
2021-01-24;1081;Nordjylland;589;1081
2021-01-24;1082;Midtjylland;1176;1082
2021-01-24;1083;Syddanmark;204;1083
2021-01-24;1084;Hovedstaden;3742;1084
2021-01-24;1085;Sjælland;282;1085
2021-01-25;1081;Nordjylland;11;1081
2021-01-25;1082;Midtjylland;158;1082
2021-01-25;1083;Syddanmark;1664;1083
2021-01-25;1084;Hovedstaden;235;1084
2021-01-25;1085;Sjælland;259;1085
2021-01-26;1081;Nordjylland;154;1081
2021-01-26;1082;Midtjylland;46;1082
2021-01-26;1083;Syddanmark;913;1083
2021-01-26;1084;Hovedstaden;136;1084
2021-01-26;1085;Sjælland;391;1085
2021-01-27;1081;Nordjylland;225;1081
2021-01-27;1082;Midtjylland;1098;1082
2021-01-27;1083;Syddanmark;1018;1083
2021-01-27;1084;Hovedstaden;626;1084
2021-01-27;1085;Sjælland;1183;1085
2021-01-28;1081;Nordjylland;521;1081
2021-01-28;1082;Midtjylland;1735;1082
2021-01-28;1083;Syddanmark;470;1083
2021-01-28;1084;Hovedstaden;3717;1084
2021-01-28;1085;Sjælland;1433;1085
2021-01-29;1081;Nordjylland;1843;1081
2021-01-29;1082;Midtjylland;3631;1082
2021-01-29;1083;Syddanmark;2919;1083
2021-01-29;1084;Hovedstaden;7260;1084
