"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;476018;463484;37943;73.8;71.9;5.9;644620
Frederiksberg;81804;80137;8351;78.7;77.1;8.0;103896
Ballerup;36518;35747;4169;74.2;72.6;8.5;49205
Brøndby;24212;23550;2804;68.1;66.3;7.9;35534
Dragør;11357;11147;1460;77.8;76.3;10.0;14605
Gentofte;57623;56507;6719;77.7;76.2;9.1;74192
Gladsaxe;51492;50464;5599;74.3;72.9;8.1;69265
Glostrup;17175;16796;2203;73.1;71.5;9.4;23481
Herlev;21127;20656;2567;73.2;71.6;8.9;28862
Albertslund;19105;18459;2164;69.5;67.2;7.9;27481
Hvidovre;38626;37711;4273;72.5;70.8;8.0;53276
Høje Tåstrup;36708;35682;4258;69.5;67.5;8.1;52834
Lyngby-Taarbæk;44992;44153;5034;77.8;76.3;8.7;57844
Rødovre;29867;29153;3314;72.3;70.6;8.0;41301
Ishøj;15097;14553;1620;65.1;62.8;7.0;23174
Tårnby;31826;31165;3248;74.6;73.0;7.6;42663
Vallensbæk;11682;11360;1580;70.7;68.8;9.6;16520
Furesø;31532;31017;4129;76.2;75.0;10.0;41383
Allerød;20424;20162;2554;78.9;77.9;9.9;25879
Fredensborg;31296;30718;3586;76.1;74.7;8.7;41141
Helsingør;48651;47708;5262;77.2;75.7;8.4;63007
Hillerød;41056;40300;5025;77.4;75.9;9.5;53076
Hørsholm;19947;19620;2832;80.4;79.1;11.4;24795
Rudersdal;45063;44285;5700;78.7;77.3;9.9;57295
Egedal;34439;33818;3367;77.7;76.3;7.6;44330
Frederikssund;36383;35715;4241;79.5;78.0;9.3;45760
Greve;38005;37201;3971;74.9;73.3;7.8;50761
Køge;47423;46440;5686;76.8;75.2;9.2;61737
Halsnæs;24656;24199;3173;78.7;77.2;10.1;31329
Roskilde;70208;68911;8977;78.5;77.1;10.0;89394
Solrød;18119;17764;2025;76.5;75.0;8.5;23695
Gribskov;32342;31731;3880;78.7;77.2;9.4;41076
Odsherred;26359;25923;3273;80.1;78.8;10.0;32893
Holbæk;56869;55707;7264;78.2;76.6;10.0;72738
Faxe;28517;27958;2927;76.9;75.4;7.9;37065
Kalundborg;37567;36835;4327;77.5;76.0;8.9;48453
Ringsted;26176;25697;2271;74.6;73.2;6.5;35109
Slagelse;60866;59581;8254;76.4;74.8;10.4;79651
Stevns;18285;17991;2077;78.1;76.8;8.9;23411
Sorø;23472;23056;2880;78.3;76.9;9.6;29980
Lejre;22173;21770;2712;77.5;76.1;9.5;28603
Lolland;31135;30513;3955;77.5;76.0;9.8;40174
Næstved;64774;63495;8055;77.4;75.9;9.6;83679
Guldborgsund;47133;46194;6653;78.2;76.6;11.0;60287
Vordingborg;35526;34831;3870;78.3;76.8;8.5;45375
Bornholm;32201;31618;4273;81.1;79.7;10.8;39689
Middelfart;31546;31046;3918;79.8;78.5;9.9;39552
Assens;32719;32167;3205;80.0;78.6;7.8;40923
Faaborg-Midtfyn;41176;40451;4399;79.4;78.0;8.5;51843
Kerteminde;19252;18940;2033;80.2;78.9;8.5;23995
Nyborg;25697;25283;2387;80.1;78.8;7.4;32066
Odense;161604;158163;17676;78.4;76.7;8.6;206142
Svendborg;47216;46321;6078;79.8;78.3;10.3;59174
Nordfyn;23363;22936;2449;78.7;77.2;8.2;29700
Langeland;10083;9919;1249;81.8;80.5;10.1;12321
Ærø;5041;4975;635;83.6;82.5;10.5;6027
Haderslev;42660;41735;3948;77.0;75.4;7.1;55370
Billund;20634;20211;2041;77.5;75.9;7.7;26616
Sønderborg;57875;56745;6233;78.6;77.0;8.5;73650
Tønder;28242;27620;2586;76.6;74.9;7.0;36869
Esbjerg;89102;87440;9228;77.2;75.7;8.0;115464
Fanø;2817;2783;283;82.1;81.1;8.2;3432
Varde;38322;37633;3756;77.2;75.8;7.6;49652
Vejen;32294;31594;3348;75.7;74.0;7.8;42669
Aabenraa;44386;43370;4191;75.7;74.0;7.2;58614
Fredericia;40002;39229;4654;77.5;76.0;9.0;51591
Horsens;70991;69331;7904;75.4;73.6;8.4;94163
Kolding;71185;69523;7695;76.2;74.4;8.2;93455
Vejle;90568;88434;9827;76.3;74.5;8.3;118638
Herning;69371;67904;8961;77.7;76.1;10.0;89229
Holstebro;45750;44875;5135;78.1;76.6;8.8;58547
Lemvig;15614;15374;1760;80.5;79.3;9.1;19385
Struer;16694;16413;1907;80.3;79.0;9.2;20784
Syddjurs;34584;34109;3436;79.3;78.2;7.9;43639
Norddjurs;29401;28950;3305;79.5;78.3;8.9;36994
Favrskov;37972;37355;3558;77.8;76.5;7.3;48804
Odder;18676;18415;2390;80.2;79.1;10.3;23273
Randers;76980;75476;8973;77.9;76.3;9.1;98866
Silkeborg;74839;73485;8401;77.1;75.7;8.6;97128
Samsø;3102;3049;589;83.3;81.8;15.8;3726
Skanderborg;49453;48671;5013;77.0;75.8;7.8;64186
Århus;277410;271492;29442;78.1;76.4;8.3;355364
Ikast-Brande;31849;31149;3767;76.0;74.3;9.0;41905
Ringkøbing-Skjern;43736;42901;4963;77.8;76.3;8.8;56195
Hedensted;36770;36056;4050;78.1;76.6;8.6;47078
Morsø;16070;15741;2085;80.0;78.4;10.4;20076
Skive;36195;35634;4077;80.3;79.0;9.0;45081
Thisted;34018;33386;3562;78.9;77.4;8.3;43127
Viborg;75914;74631;8882;78.4;77.1;9.2;96828
Brønderslev;28159;27639;2876;77.9;76.4;8.0;36164
Frederikshavn;47005;46337;3826;79.8;78.7;6.5;58890
Vesthimmerland;28071;27619;2359;77.2;76.0;6.5;36351
Læsø;1464;1446;156;82.5;81.5;8.8;1774
Rebild;23459;23052;2276;76.6;75.3;7.4;30615
Mariagerfjord;33049;32441;3702;79.3;77.9;8.9;41652
Jammerbugt;29906;29412;2692;78.3;77.0;7.0;38196
Aalborg;174356;170776;18031;78.8;77.2;8.1;221255
Hjørring;50904;50027;6036;79.7;78.3;9.4;63879
