"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;35;0
Hovedstaden;3-5;M;33;1
Hovedstaden;6-11;K;2380;5
Hovedstaden;6-11;M;2450;3
Hovedstaden;12-15;K;28804;25884
Hovedstaden;12-15;M;30534;27548
Hovedstaden;16-19;K;33952;32728
Hovedstaden;16-19;M;34534;33134
Hovedstaden;20-39;K;226913;217121
Hovedstaden;20-39;M;218468;208995
Hovedstaden;40-64;K;270028;266493
Hovedstaden;40-64;M;265339;261769
Hovedstaden;65-79;K;126287;125807
Hovedstaden;65-79;M;109070;108700
Hovedstaden;80+;K;47844;47643
Hovedstaden;80+;M;29617;29522
Midtjylland;0-2;K;2;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;3;0
Midtjylland;3-5;M;3;0
Midtjylland;6-11;K;4908;0
Midtjylland;6-11;M;5233;0
Midtjylland;12-15;K;24884;22662
Midtjylland;12-15;M;25934;23700
Midtjylland;16-19;K;29245;28506
Midtjylland;16-19;M;29909;28904
Midtjylland;20-39;K;144729;138730
Midtjylland;20-39;M;147997;141604
Midtjylland;40-64;K;198294;196504
Midtjylland;40-64;M;196982;194988
Midtjylland;65-79;K;101608;101416
Midtjylland;65-79;M;96158;95951
Midtjylland;80+;K;36398;36288
Midtjylland;80+;M;25956;25900
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;2;0
Nordjylland;3-5;M;1;0
Nordjylland;6-11;K;849;0
Nordjylland;6-11;M;919;0
Nordjylland;12-15;K;10285;9265
Nordjylland;12-15;M;11001;10008
Nordjylland;16-19;K;12162;11840
Nordjylland;16-19;M;12729;12262
Nordjylland;20-39;K;58017;55271
Nordjylland;20-39;M;63022;59855
Nordjylland;40-64;K;88150;87273
Nordjylland;40-64;M;88293;87307
Nordjylland;65-79;K;49646;49526
Nordjylland;65-79;M;47584;47459
Nordjylland;80+;K;18435;18383
Nordjylland;80+;M;13387;13333
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;1;1
Sjælland;3-5;M;3;1
Sjælland;6-11;K;1210;0
Sjælland;6-11;M;1331;1
Sjælland;12-15;K;15030;13807
Sjælland;12-15;M;15961;14549
Sjælland;16-19;K;17701;17130
Sjælland;16-19;M;18712;18021
Sjælland;20-39;K;65619;62105
Sjælland;20-39;M;67729;64180
Sjælland;40-64;K;135773;134221
Sjælland;40-64;M;133152;131479
Sjælland;65-79;K;75995;75777
Sjælland;65-79;M;70621;70424
Sjælland;80+;K;25969;25878
Sjælland;80+;M;18615;18574
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;7;0
Syddanmark;3-5;M;3;0
Syddanmark;6-11;K;3887;2
Syddanmark;6-11;M;4249;3
Syddanmark;12-15;K;22150;20434
Syddanmark;12-15;M;23203;21428
Syddanmark;16-19;K;26426;25746
Syddanmark;16-19;M;26894;25991
Syddanmark;20-39;K;111637;106164
Syddanmark;20-39;M;116543;110881
Syddanmark;40-64;K;188171;186324
Syddanmark;40-64;M;186755;184550
Syddanmark;65-79;K;102089;101860
Syddanmark;65-79;M;96590;96357
Syddanmark;80+;K;39058;38946
Syddanmark;80+;M;27566;27516
