"dato";"kommunenavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-12-10;København;K;250243;241848;46943;249796;241615;44262;447;233;2681
2021-12-10;København;M;237070;228807;38011;236673;228585;35610;397;222;2401
2021-12-10;Frederiksberg;K;44569;43350;11961;44494;43308;11277;75;42;684
2021-12-10;Frederiksberg;M;38934;37730;8640;38849;37695;8080;85;35;560
2021-12-10;Ballerup;K;19350;18776;5676;19315;18764;5423;35;12;253
2021-12-10;Ballerup;M;17867;17365;3864;17835;17359;3674;32;6;190
2021-12-10;Brøndby;K;12870;12411;3668;12858;12402;3494;12;9;174
2021-12-10;Brøndby;M;11901;11476;2590;11885;11467;2419;16;9;171
2021-12-10;Dragør;K;6035;5847;1968;6019;5842;1895;16;5;73
2021-12-10;Dragør;M;5600;5434;1516;5580;5428;1448;20;6;68
2021-12-10;Gentofte;K;31269;30247;9619;31155;30214;9019;114;33;600
2021-12-10;Gentofte;M;27902;26946;6967;27802;26921;6514;100;25;453
2021-12-10;Gladsaxe;K;26804;26033;7282;26744;26011;6942;60;22;340
2021-12-10;Gladsaxe;M;25743;24944;4832;25698;24927;4507;45;17;325
2021-12-10;Glostrup;K;8934;8682;2663;8924;8678;2526;10;4;137
2021-12-10;Glostrup;M;8571;8285;1772;8557;8282;1669;14;3;103
2021-12-10;Herlev;K;11223;10904;3553;11209;10894;3373;14;10;180
2021-12-10;Herlev;M;10304;9941;2299;10280;9933;2153;24;8;146
2021-12-10;Albertslund;K;10039;9624;2873;10023;9619;2762;16;5;111
2021-12-10;Albertslund;M;9601;9140;2168;9572;9130;2080;29;10;88
2021-12-10;Hvidovre;K;20230;19581;5564;20194;19562;5243;36;19;321
2021-12-10;Hvidovre;M;19168;18526;3920;19140;18515;3634;28;11;286
2021-12-10;Høje Tåstrup;K;19064;18334;5598;19024;18323;5389;40;11;209
2021-12-10;Høje Tåstrup;M;18665;17907;4098;18632;17900;3924;33;7;174
2021-12-10;Lyngby-Taarbæk;K;23664;22977;6908;23628;22958;6494;36;19;414
2021-12-10;Lyngby-Taarbæk;M;22453;21703;4854;22396;21681;4487;57;22;367
2021-12-10;Rødovre;K;15910;15418;4376;15885;15397;4091;25;21;285
2021-12-10;Rødovre;M;14653;14155;2836;14622;14131;2608;31;24;228
2021-12-10;Ishøj;K;7902;7576;2279;7895;7571;2198;7;5;81
2021-12-10;Ishøj;M;7548;7229;1685;7545;7222;1615;3;7;70
2021-12-10;Tårnby;K;16857;16227;4616;16779;16217;4412;78;10;204
2021-12-10;Tårnby;M;15887;15269;3293;15809;15263;3109;78;6;184
2021-12-10;Vallensbæk;K;6065;5846;1880;6049;5843;1764;16;3;116
2021-12-10;Vallensbæk;M;5840;5644;1482;5825;5639;1408;15;5;74
2021-12-10;Furesø;K;16706;16229;5401;16668;16220;5250;38;9;151
2021-12-10;Furesø;M;15527;15070;3831;15485;15059;3660;42;11;171
2021-12-10;Allerød;K;10732;10458;3288;10712;10456;3190;20;2;98
2021-12-10;Allerød;M;10103;9861;2479;10087;9855;2378;16;6;101
2021-12-10;Fredensborg;K;16666;16245;5314;16643;16235;5050;23;10;264
2021-12-10;Fredensborg;M;15251;14823;3968;15218;14813;3743;33;10;225
2021-12-10;Helsingør;K;26027;25272;8541;26005;25242;8099;22;30;442
2021-12-10;Helsingør;M;23753;23006;6104;23723;22983;5751;30;23;353
2021-12-10;Hillerød;K;21585;21044;6565;21549;21027;6375;36;17;190
2021-12-10;Hillerød;M;20305;19775;4508;20278;19757;4318;27;18;190
2021-12-10;Hørsholm;K;10918;10666;3998;10907;10663;3868;11;3;130
2021-12-10;Hørsholm;M;9408;9153;2853;9392;9147;2741;16;6;112
2021-12-10;Rudersdal;K;23789;23190;7690;23763;23172;7369;26;18;321
2021-12-10;Rudersdal;M;22226;21592;5847;22188;21580;5542;38;12;305
2021-12-10;Egedal;K;17928;17436;5078;17878;17413;4804;50;23;274
2021-12-10;Egedal;M;17238;16764;3618;17203;16756;3417;35;8;201
2021-12-10;Frederikssund;K;19017;18554;6072;18968;18510;5750;49;44;322
2021-12-10;Frederikssund;M;18026;17546;4441;17984;17498;4185;42;48;256
2021-12-10;Greve;K;19947;19382;5974;19923;19375;5686;24;7;288
2021-12-10;Greve;M;18901;18351;4471;18865;18344;4229;36;7;242
2021-12-10;Køge;K;24658;24020;6811;24610;23998;6553;48;22;258
2021-12-10;Køge;M;23680;23006;4733;23642;22996;4538;38;10;195
2021-12-10;Halsnæs;K;12788;12495;4427;12763;12485;4173;25;10;254
2021-12-10;Halsnæs;M;12284;11952;3467;12249;11939;3244;35;13;223
2021-12-10;Roskilde;K;37024;36041;10441;36933;36012;10210;91;29;231
2021-12-10;Roskilde;M;34707;33658;7208;34602;33640;6986;105;18;222
2021-12-10;Solrød;K;9541;9313;2652;9523;9310;2563;18;3;89
2021-12-10;Solrød;M;9015;8743;2025;8997;8739;1935;18;4;90
2021-12-10;Gribskov;K;16658;16251;5569;16643;16246;5352;15;5;217
2021-12-10;Gribskov;M;16212;15845;4485;16193;15824;4300;19;21;185
2021-12-10;Odsherred;K;13536;13188;4302;13517;13189;4135;19;-1;167
2021-12-10;Odsherred;M;13344;12980;3569;13332;12975;3414;12;5;155
2021-12-10;Holbæk;K;29716;28742;8786;29652;28718;8398;64;24;388
2021-12-10;Holbæk;M;28571;27607;6113;28503;27588;5858;68;19;255
2021-12-10;Faxe;K;14619;14224;4054;14598;14218;3964;21;6;90
2021-12-10;Faxe;M;14581;14161;3083;14567;14157;2974;14;4;109
2021-12-10;Kalundborg;K;19286;18758;5852;19244;18747;5642;42;11;210
2021-12-10;Kalundborg;M;19099;18502;4473;19064;18478;4314;35;24;159
2021-12-10;Ringsted;K;13592;13191;3067;13565;13183;3008;27;8;59
2021-12-10;Ringsted;M;13264;12827;2185;13234;12822;2136;30;5;49
2021-12-10;Slagelse;K;31651;30690;10481;31595;30667;10267;56;23;214
2021-12-10;Slagelse;M;30576;29551;7298;30507;29534;7137;69;17;161
2021-12-10;Stevns;K;9319;9122;2692;9309;9120;2624;10;2;68
2021-12-10;Stevns;M;9327;9094;2083;9307;9092;2021;20;2;62
2021-12-10;Sorø;K;12153;11846;3722;12127;11840;3671;26;6;51
2021-12-10;Sorø;M;11837;11484;2643;11810;11478;2602;27;6;41
2021-12-10;Lejre;K;11531;11173;3321;11508;11168;3218;23;5;103
2021-12-10;Lejre;M;11204;10873;2524;11179;10864;2441;25;9;83
2021-12-10;Lolland;K;16032;15540;5228;16001;15539;5062;31;1;166
2021-12-10;Lolland;M;15909;15343;4205;15868;15338;4049;41;5;156
2021-12-10;Næstved;K;33976;32918;10086;33855;32888;9826;121;30;260
2021-12-10;Næstved;M;32531;31440;7043;32422;31414;6811;109;26;232
2021-12-10;Guldborgsund;K;24301;23689;7945;24266;23672;7582;35;17;363
2021-12-10;Guldborgsund;M;23734;23062;5808;23708;23039;5549;26;23;259
2021-12-10;Vordingborg;K;18320;17899;5522;18298;17892;5379;22;7;143
2021-12-10;Vordingborg;M;17830;17358;4327;17812;17343;4184;18;15;143
2021-12-10;Bornholm;K;16738;16303;7015;16684;16293;6731;54;10;284
2021-12-10;Bornholm;M;16154;15656;5499;16099;15641;5236;55;15;263
2021-12-10;Middelfart;K;16406;15867;5101;16341;15860;4922;65;7;179
2021-12-10;Middelfart;M;16102;15518;3823;16021;15516;3671;81;2;152
2021-12-10;Assens;K;16881;16399;4827;16842;16390;4634;39;9;193
2021-12-10;Assens;M;16758;16171;3619;16712;16165;3465;46;6;154
