"Vaccinedato";"geo";"Antal færdigvacc. personer";"Antal borgere";"Færdigvacc. (%)";"Kumuleret antal færdigvacc."
2020-12-29;Nationalt;1;5874402;0.00;1
2021-01-01;Nationalt;1;5874402;0.00;2
2021-01-04;Nationalt;1;5874402;0.00;3
2021-01-07;Nationalt;1;5874402;0.00;4
2021-01-08;Nationalt;1;5874402;0.00;5
2021-01-09;Nationalt;2;5874402;0.00;7
2021-01-12;Nationalt;2;5874402;0.00;9
2021-01-13;Nationalt;3;5874402;0.00;12
2021-01-14;Nationalt;1;5874402;0.00;13
2021-01-15;Nationalt;5;5874402;0.00;18
2021-01-16;Nationalt;10;5874402;0.00;28
2021-01-17;Nationalt;638;5874402;0.01;666
2021-01-18;Nationalt;1954;5874402;0.04;2620
2021-01-19;Nationalt;1906;5874402;0.08;4526
2021-01-20;Nationalt;1732;5874402;0.11;6258
2021-01-21;Nationalt;2175;5874402;0.14;8433
2021-01-22;Nationalt;5297;5874402;0.23;13730
2021-01-23;Nationalt;6510;5874402;0.34;20240
2021-01-24;Nationalt;5876;5874402;0.44;26116
2021-01-25;Nationalt;2295;5874402;0.48;28411
2021-01-26;Nationalt;1617;5874402;0.51;30028
2021-01-27;Nationalt;4104;5874402;0.58;34132
2021-01-28;Nationalt;7809;5874402;0.71;41941
2021-01-29;Nationalt;17224;5874402;1.01;59165
2021-01-30;Nationalt;11962;5874402;1.21;71127
2021-01-31;Nationalt;11286;5874402;1.40;82413
2021-02-01;Nationalt;7527;5874402;1.53;89940
2021-02-02;Nationalt;2870;5874402;1.58;92810
2021-02-03;Nationalt;5960;5874402;1.68;98770
2021-02-04;Nationalt;10464;5874402;1.86;109234
2021-02-05;Nationalt;12766;5874402;2.08;122000
2021-02-06;Nationalt;6438;5874402;2.19;128438
2021-02-07;Nationalt;3447;5874402;2.25;131885
2021-02-08;Nationalt;6755;5874402;2.36;138640
2021-02-09;Nationalt;4683;5874402;2.44;143323
2021-02-10;Nationalt;3757;5874402;2.50;147080
2021-02-11;Nationalt;2391;5874402;2.54;149471
2021-02-12;Nationalt;7523;5874402;2.67;156994
2021-02-13;Nationalt;925;5874402;2.69;157919
2021-02-14;Nationalt;607;5874402;2.70;158526
2021-02-15;Nationalt;3087;5874402;2.75;161613
2021-02-16;Nationalt;1304;5874402;2.77;162917
2021-02-17;Nationalt;413;5874402;2.78;163330
2021-02-18;Nationalt;321;5874402;2.79;163651
2021-02-19;Nationalt;943;5874402;2.80;164594
2021-02-20;Nationalt;561;5874402;2.81;165155
2021-02-21;Nationalt;347;5874402;2.82;165502
2021-02-22;Nationalt;1083;5874402;2.84;166585
2021-02-23;Nationalt;1885;5874402;2.87;168470
2021-02-24;Nationalt;1852;5874402;2.90;170322
2021-02-25;Nationalt;607;5874402;2.91;170929
2021-02-26;Nationalt;999;5874402;2.93;171928
2021-02-27;Nationalt;1361;5874402;2.95;173289
2021-02-28;Nationalt;1321;5874402;2.97;174610
2021-03-01;Nationalt;1038;5874402;2.99;175648
2021-03-02;Nationalt;1256;5874402;3.01;176904
2021-03-03;Nationalt;1000;5874402;3.03;177904
2021-03-04;Nationalt;1775;5874402;3.06;179679
2021-03-05;Nationalt;5570;5874402;3.15;185249
2021-03-06;Nationalt;3842;5874402;3.22;189091
2021-03-07;Nationalt;4175;5874402;3.29;193266
2021-03-08;Nationalt;6267;5874402;3.40;199533
2021-03-09;Nationalt;6963;5874402;3.52;206496
2021-03-10;Nationalt;6990;5874402;3.63;213486
2021-03-11;Nationalt;7750;5874402;3.77;221236
2021-03-12;Nationalt;10259;5874402;3.94;231495
2021-03-13;Nationalt;5705;5874402;4.04;237200
2021-03-14;Nationalt;9153;5874402;4.19;246353
2021-03-15;Nationalt;9616;5874402;4.36;255969
2021-03-16;Nationalt;9214;5874402;4.51;265183
2021-03-17;Nationalt;8910;5874402;4.67;274093
2021-03-18;Nationalt;7090;5874402;4.79;281183
2021-03-19;Nationalt;11487;5874402;4.98;292670
2021-03-20;Nationalt;4705;5874402;5.06;297375
2021-03-21;Nationalt;4576;5874402;5.14;301951
2021-03-22;Nationalt;7603;5874402;5.27;309554
2021-03-23;Nationalt;7433;5874402;5.40;316987
2021-03-24;Nationalt;13178;5874402;5.62;330165
2021-03-25;Nationalt;8247;5874402;5.76;338412
2021-03-26;Nationalt;7693;5874402;5.89;346105
2021-03-27;Nationalt;3051;5874402;5.94;349156
2021-03-28;Nationalt;2763;5874402;5.99;351919
2021-03-29;Nationalt;6074;5874402;6.09;357993
2021-03-30;Nationalt;5957;5874402;6.20;363950
2021-03-31;Nationalt;9552;5874402;6.36;373502
2021-04-01;Nationalt;6810;5874402;6.47;380312
2021-04-02;Nationalt;6872;5874402;6.59;387184
2021-04-03;Nationalt;2173;5874402;6.63;389357
2021-04-04;Nationalt;1763;5874402;6.66;391120
2021-04-05;Nationalt;1314;5874402;6.68;392434
2021-04-06;Nationalt;5997;5874402;6.78;398431
2021-04-07;Nationalt;8106;5874402;6.92;406537
2021-04-08;Nationalt;8425;5874402;7.06;414962
2021-04-09;Nationalt;8577;5874402;7.21;423539
2021-04-10;Nationalt;5406;5874402;7.30;428945
2021-04-11;Nationalt;3884;5874402;7.37;432829
2021-04-12;Nationalt;11437;5874402;7.56;444266
2021-04-13;Nationalt;6167;5874402;7.67;450433
2021-04-14;Nationalt;11051;5874402;7.86;461484
2021-04-15;Nationalt;9026;5874402;8.01;470510
2021-04-16;Nationalt;8095;5874402;8.15;478605
2021-04-17;Nationalt;2724;5874402;8.19;481329
2021-04-18;Nationalt;5104;5874402;8.28;486433
2021-04-19;Nationalt;14274;5874402;8.52;500707
2021-04-20;Nationalt;16803;5874402;8.81;517510
2021-04-21;Nationalt;12644;5874402;9.02;530154
2021-04-22;Nationalt;5355;5874402;9.12;535509
2021-04-23;Nationalt;11158;5874402;9.31;546667
2021-04-24;Nationalt;7560;5874402;9.43;554227
2021-04-25;Nationalt;5267;5874402;9.52;559494
2021-04-26;Nationalt;7839;5874402;9.66;567333
2021-04-27;Nationalt;20802;5874402;10.0;588135
2021-04-28;Nationalt;20461;5874402;10.4;608596
2021-04-29;Nationalt;17857;5874402;10.7;626453
2021-04-30;Nationalt;3959;5874402;10.7;630412
2021-05-01;Nationalt;6111;5874402;10.8;636523
2021-05-02;Nationalt;13753;5874402;11.1;650276
2021-05-03;Nationalt;45547;5874402;11.8;695823
2021-05-04;Nationalt;24710;5874402;12.3;720533
2021-05-05;Nationalt;29175;5874402;12.8;749708
2021-05-06;Nationalt;25503;5874402;13.2;775211
2021-05-07;Nationalt;24536;5874402;13.6;799747
2021-05-08;Nationalt;30749;5874402;14.1;830496
2021-05-09;Nationalt;16657;5874402;14.4;847153
2021-05-10;Nationalt;36062;5874402;15.0;883215
2021-05-11;Nationalt;26213;5874402;15.5;909428
2021-05-12;Nationalt;26950;5874402;15.9;936378
2021-05-13;Nationalt;19667;5874402;16.3;956045
2021-05-14;Nationalt;30736;5874402;16.8;986781
2021-05-15;Nationalt;19400;5874402;17.1;1006181
2021-05-16;Nationalt;14057;5874402;17.4;1020238
