"Vaccinedato";"geo";"Antal påbegyndt vacc. personer";"Antal borgere";"Påbegyndtvacc. (%)";"Kumuleret antal påbegyndt vacc."
2020-12-01;Nationalt;1;5874142;0.00;1
2020-12-08;Nationalt;1;5874142;0.00;2
2020-12-16;Nationalt;1;5874142;0.00;3
2020-12-17;Nationalt;1;5874142;0.00;4
2020-12-18;Nationalt;1;5874142;0.00;5
2020-12-19;Nationalt;1;5874142;0.00;6
2020-12-21;Nationalt;3;5874142;0.00;9
2020-12-22;Nationalt;4;5874142;0.00;13
2020-12-23;Nationalt;4;5874142;0.00;17
2020-12-24;Nationalt;4;5874142;0.00;21
2020-12-26;Nationalt;5;5874142;0.00;26
2020-12-27;Nationalt;5905;5874142;0.10;5931
2020-12-28;Nationalt;1936;5874142;0.13;7867
2020-12-29;Nationalt;8345;5874142;0.28;16212
2020-12-30;Nationalt;10660;5874142;0.46;26872
2020-12-31;Nationalt;5607;5874142;0.55;32479
2021-01-01;Nationalt;2127;5874142;0.59;34606
2021-01-02;Nationalt;7993;5874142;0.73;42599
2021-01-03;Nationalt;5297;5874142;0.82;47896
2021-01-04;Nationalt;2345;5874142;0.86;50241
2021-01-05;Nationalt;12467;5874142;1.07;62708
2021-01-06;Nationalt;18033;5874142;1.37;80741
2021-01-07;Nationalt;15977;5874142;1.65;96718
2021-01-08;Nationalt;7751;5874142;1.78;104469
2021-01-09;Nationalt;1845;5874142;1.81;106314
2021-01-10;Nationalt;819;5874142;1.82;107133
2021-01-11;Nationalt;664;5874142;1.84;107797
2021-01-12;Nationalt;466;5874142;1.84;108263
2021-01-13;Nationalt;12143;5874142;2.05;120406
2021-01-14;Nationalt;16889;5874142;2.34;137295
2021-01-15;Nationalt;14258;5874142;2.58;151553
2021-01-16;Nationalt;4336;5874142;2.65;155889
2021-01-17;Nationalt;2303;5874142;2.69;158192
2021-01-18;Nationalt;3631;5874142;2.75;161823
2021-01-19;Nationalt;2339;5874142;2.79;164162
2021-01-20;Nationalt;1424;5874142;2.82;165586
2021-01-21;Nationalt;1464;5874142;2.84;167050
2021-01-22;Nationalt;645;5874142;2.85;167695
2021-01-23;Nationalt;685;5874142;2.87;168380
2021-01-24;Nationalt;564;5874142;2.88;168944
2021-01-25;Nationalt;279;5874142;2.88;169223
2021-01-26;Nationalt;213;5874142;2.88;169436
2021-01-27;Nationalt;203;5874142;2.89;169639
2021-01-28;Nationalt;234;5874142;2.89;169873
2021-01-29;Nationalt;1044;5874142;2.91;170917
2021-01-30;Nationalt;1126;5874142;2.93;172043
2021-01-31;Nationalt;1135;5874142;2.95;173178
2021-02-01;Nationalt;730;5874142;2.96;173908
2021-02-02;Nationalt;1884;5874142;2.99;175792
2021-02-03;Nationalt;1412;5874142;3.02;177204
2021-02-04;Nationalt;1336;5874142;3.04;178540
2021-02-05;Nationalt;1521;5874142;3.07;180061
2021-02-06;Nationalt;963;5874142;3.08;181024
2021-02-07;Nationalt;1768;5874142;3.11;182792
2021-02-08;Nationalt;2379;5874142;3.15;185171
2021-02-09;Nationalt;3402;5874142;3.21;188573
2021-02-10;Nationalt;3201;5874142;3.26;191774
2021-02-11;Nationalt;5615;5874142;3.36;197389
2021-02-12;Nationalt;11873;5874142;3.56;209262
2021-02-13;Nationalt;6360;5874142;3.67;215622
2021-02-14;Nationalt;6047;5874142;3.77;221669
2021-02-15;Nationalt;13328;5874142;4.00;234997
2021-02-16;Nationalt;12803;5874142;4.22;247800
2021-02-17;Nationalt;10116;5874142;4.39;257916
2021-02-18;Nationalt;11231;5874142;4.58;269147
2021-02-19;Nationalt;13559;5874142;4.81;282706
2021-02-20;Nationalt;10144;5874142;4.99;292850
2021-02-21;Nationalt;10463;5874142;5.16;303313
2021-02-22;Nationalt;13193;5874142;5.39;316506
2021-02-23;Nationalt;14072;5874142;5.63;330578
2021-02-24;Nationalt;13407;5874142;5.86;343985
2021-02-25;Nationalt;14377;5874142;6.10;358362
2021-02-26;Nationalt;35454;5874142;6.70;393816
2021-02-27;Nationalt;6503;5874142;6.81;400319
2021-02-28;Nationalt;10652;5874142;7.00;410971
2021-03-01;Nationalt;19303;5874142;7.32;430274
2021-03-02;Nationalt;16459;5874142;7.61;446733
2021-03-03;Nationalt;12869;5874142;7.82;459602
2021-03-04;Nationalt;17275;5874142;8.12;476877
2021-03-05;Nationalt;16338;5874142;8.40;493215
2021-03-06;Nationalt;14400;5874142;8.64;507615
2021-03-07;Nationalt;11765;5874142;8.84;519380
