"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;503792;480913;644673
Frederiksberg;86315;82650;103577
Ballerup;38744;36874;49197
Brøndby;25600;24431;35633
Dragør;12203;11522;14609
Gentofte;61795;58607;74238
Gladsaxe;55050;52104;69282
Glostrup;18139;17337;23507
Herlev;22486;21324;28851
Albertslund;20439;19298;27563
Hvidovre;41205;38964;53265
Høje-Taastrup;39263;37367;52968
Lyngby-Taarbæk;48327;45794;57825
Rødovre;31819;30201;41391
Ishøj;16040;15224;23206
Tårnby;33978;32141;42699
Vallensbæk;12446;11820;16480
Furesø;34033;32046;41396
Allerød;21900;20677;25853
Fredensborg;33295;31671;41195
Helsingør;51459;49373;62937
Hillerød;43770;41521;53231
Hørsholm;21026;20152;24752
Rudersdal;48186;45748;57267
Egedal;36699;34938;44379
Frederikssund;38298;36696;45777
Greve;40494;38628;50811
Køge;50148;47910;61724
Frederiksværk-Hundested;25821;24796;31333
Roskilde;74558;71399;89482
Solrød;19384;18467;23776
Gribskov;33929;32593;41126
Odsherred;27480;26635;32843
Holbæk;60264;57790;72807
Faxe;30199;29010;37146
Kalundborg;39533;38023;48397
Ringsted;27978;26681;35115
Slagelse;64581;61628;79642
Stevns;19325;18556;23469
Sorø;25030;23861;30011
Lejre;23643;22609;28610
Lolland;32667;31634;40101
Næstved;68787;65959;83800
Guldborgsund;49474;47654;60274
Vordingborg;37228;35871;45337
Bornholm;33881;32585;39634
Middelfart;33700;32312;39609
Assens;34794;33322;40987
Faaborg-Midtfyn;43899;41910;51816
Kerteminde;20382;19569;24039
Nyborg;27334;26186;32105
Odense;171067;163870;206024
Svendborg;50224;48214;59188
Nordfyns;24774;23724;29736
Langeland;10505;10182;12301
Ærø;5268;5042;6028
Haderslev;45374;43539;55350
Billund;22034;21112;26631
Sønderborg;61193;58560;73671
Tønder;29734;28589;36854
Esbjerg;95127;90736;115419
Fanø;2951;2851;3427
Varde;40945;39136;49674
Vejen;34766;33196;42622
Aabenraa;46965;45152;58665
Fredericia;42751;41080;51587
Horsens;76362;72598;94448
Kolding;76554;73335;93567
Vejle;97245;92961;118967
Herning;74261;71160;89259
Holstebro;49073;46923;58568
Lemvig;16509;15978;19399
Struer;17759;17085;20781
Syddjurs;36702;34979;43583
Norddjurs;31127;29826;36942
Favrskov;41226;38962;48899
Odder;19835;18872;23293
Randers;82111;78312;98944
Silkeborg;80412;76795;97307
Samsø;3222;3079;3718
Skanderborg;53622;50651;64277
Århus;294268;281165;355327
Ikast-Brande;34149;32693;41902
Ringkøbing-Skjern;46706;44719;56206
Hedensted;39375;37647;47125
Morsø;16919;16244;20046
Skive;38671;36987;45070
Thisted;36015;34461;43092
Viborg;81624;77896;96877
Brønderslev-Dronninglund;30255;28755;36166
Frederikshavn;49897;48094;58871
Vesthimmerlands;29873;28577;36324
Læsø;1529;1461;1771
Rebild;25317;24047;30644
Mariagerfjord;35009;33433;41660
Jammerbugt;32062;30605;38166
Ålborg;184980;177179;221190
Hjørring;54153;51808;63876
