"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;4;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;2298;228
Hovedstaden;3-5;M;2524;250
Hovedstaden;6-11;K;23515;4595
Hovedstaden;6-11;M;24663;4828
Hovedstaden;12-15;K;33812;31560
Hovedstaden;12-15;M;35755;33365
Hovedstaden;16-19;K;35744;34817
Hovedstaden;16-19;M;35913;34756
Hovedstaden;20-39;K;231581;224478
Hovedstaden;20-39;M;222628;215564
Hovedstaden;40-64;K;272215;269586
Hovedstaden;40-64;M;267587;264795
Hovedstaden;65-79;K;124763;124310
Hovedstaden;65-79;M;106943;106562
Hovedstaden;80+;K;43639;43423
Hovedstaden;80+;M;26354;26250
Midtjylland;0-2;K;3;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;2009;156
Midtjylland;3-5;M;2220;155
Midtjylland;6-11;K;21990;6741
Midtjylland;6-11;M;23164;7229
Midtjylland;12-15;K;29098;27577
Midtjylland;12-15;M;30252;28662
Midtjylland;16-19;K;30247;29751
Midtjylland;16-19;M;30607;29950
Midtjylland;20-39;K;147188;143259
Midtjylland;20-39;M;149815;145607
Midtjylland;40-64;K;200326;199046
Midtjylland;40-64;M;199305;197997
Midtjylland;65-79;K;100171;99968
Midtjylland;65-79;M;94437;94228
Midtjylland;80+;K;33017;32903
Midtjylland;80+;M;23164;23097
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;749;56
Nordjylland;3-5;M;794;65
Nordjylland;6-11;K;8522;2415
Nordjylland;6-11;M;8919;2530
Nordjylland;12-15;K;12093;11371
Nordjylland;12-15;M;12890;12181
Nordjylland;16-19;K;12608;12404
Nordjylland;16-19;M;13076;12772
Nordjylland;20-39;K;59015;57281
Nordjylland;20-39;M;63837;61745
Nordjylland;40-64;K;89261;88671
Nordjylland;40-64;M;89624;88908
Nordjylland;65-79;K;49076;48947
Nordjylland;65-79;M;46922;46790
Nordjylland;80+;K;16734;16680
Nordjylland;80+;M;11889;11848
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;970;86
Sjælland;3-5;M;1090;88
Sjælland;6-11;K;10831;2660
Sjælland;6-11;M;11595;2911
Sjælland;12-15;K;17557;16730
Sjælland;12-15;M;18503;17550
Sjælland;16-19;K;17867;17561
Sjælland;16-19;M;19112;18646
Sjælland;20-39;K;67108;64847
Sjælland;20-39;M;68729;66396
Sjælland;40-64;K;137653;136615
Sjælland;40-64;M;135148;134116
Sjælland;65-79;K;75063;74875
Sjælland;65-79;M;69649;69466
Sjælland;80+;K;23466;23371
Sjælland;80+;M;16432;16397
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;1569;155
Syddanmark;3-5;M;1691;165
Syddanmark;6-11;K;18193;6142
Syddanmark;6-11;M;19397;6627
Syddanmark;12-15;K;25869;24504
Syddanmark;12-15;M;26977;25588
Syddanmark;16-19;K;27273;26771
Syddanmark;16-19;M;27683;27008
Syddanmark;20-39;K;113842;110158
Syddanmark;20-39;M;118223;114285
Syddanmark;40-64;K;190789;189421
Syddanmark;40-64;M;189771;188193
Syddanmark;65-79;K;101051;100787
Syddanmark;65-79;M;95251;94998
Syddanmark;80+;K;35513;35369
Syddanmark;80+;M;24492;24406
