"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;17303;8155
Hovedstaden;0-9;M;18408;8694
Hovedstaden;10-19;K;80214;72873
Hovedstaden;10-19;M;82700;74883
Hovedstaden;20-29;K;121807;118553
Hovedstaden;20-29;M;115316;111647
Hovedstaden;30-39;K;110440;107611
Hovedstaden;30-39;M;107939;105264
Hovedstaden;40-49;K;112593;111207
Hovedstaden;40-49;M;109378;108035
Hovedstaden;50-59;K;113216;112469
Hovedstaden;50-59;M;112404;111553
Hovedstaden;60-69;K;89026;88673
Hovedstaden;60-69;M;84412;84002
Hovedstaden;70-79;K;82269;82022
Hovedstaden;70-79;M;68409;68242
Hovedstaden;80-89;K;36128;35988
Hovedstaden;80-89;M;23694;23616
Hovedstaden;90+;K;7423;7366
Hovedstaden;90+;M;2603;2591
Midtjylland;0-9;K;15493;7271
Midtjylland;0-9;M;16520;7675
Midtjylland;10-19;K;69094;64253
Midtjylland;10-19;M;71112;65977
Midtjylland;20-29;K;79514;77649
Midtjylland;20-29;M;81286;79020
Midtjylland;30-39;K;68029;66545
Midtjylland;30-39;M;68891;67442
Midtjylland;40-49;K;77760;77158
Midtjylland;40-49;M;76836;76187
Midtjylland;50-59;K;84492;84101
Midtjylland;50-59;M;84937;84548
Midtjylland;60-69;K;74437;74225
Midtjylland;60-69;M;72936;72729
Midtjylland;70-79;K;63890;63800
Midtjylland;70-79;M;59117;59029
Midtjylland;80-89;K;27570;27483
Midtjylland;80-89;M;20788;20733
Midtjylland;90+;K;5381;5355
Midtjylland;90+;M;2312;2301
Nordjylland;0-9;K;6220;2839
Nordjylland;0-9;M;6523;2975
Nordjylland;10-19;K;28619;26446
Nordjylland;10-19;M;30022;27743
Nordjylland;20-29;K;31382;30524
Nordjylland;20-29;M;35200;34072
Nordjylland;30-39;K;27807;27134
Nordjylland;30-39;M;28766;27999
Nordjylland;40-49;K;32426;32145
Nordjylland;40-49;M;32581;32241
Nordjylland;50-59;K;38461;38259
Nordjylland;50-59;M;38886;38682
Nordjylland;60-69;K;35835;35708
Nordjylland;60-69;M;35333;35204
Nordjylland;70-79;K;31682;31616
Nordjylland;70-79;M;29787;29722
Nordjylland;80-89;K;13996;13952
Nordjylland;80-89;M;10659;10630
Nordjylland;90+;K;2714;2700
Nordjylland;90+;M;1205;1197
Sjælland;0-9;K;7519;3549
Sjælland;0-9;M;8157;3878
Sjælland;10-19;K;40445;37365
Sjælland;10-19;M;42884;39547
Sjælland;20-29;K;30116;29142
Sjælland;20-29;M;32911;31753
Sjælland;30-39;K;37200;36188
Sjælland;30-39;M;36003;35040
Sjælland;40-49;K;50563;50075
Sjælland;40-49;M;48406;47900
Sjælland;50-59;K;59969;59640
Sjælland;50-59;M;60164;59853
Sjælland;60-69;K;52847;52662
Sjælland;60-69;M;51401;51202
Sjælland;70-79;K;49406;49294
Sjælland;70-79;M;44910;44821
Sjælland;80-89;K;19894;19823
Sjælland;80-89;M;14934;14907
Sjælland;90+;K;3536;3515
Sjælland;90+;M;1462;1454
Syddanmark;0-9;K;12833;6480
Syddanmark;0-9;M;13786;7082
Syddanmark;10-19;K;61565;57316
Syddanmark;10-19;M;63503;59094
Syddanmark;20-29;K;56943;55267
Syddanmark;20-29;M;61256;59269
Syddanmark;30-39;K;57251;55823
Syddanmark;30-39;M;57338;55896
Syddanmark;40-49;K;71144;70469
Syddanmark;40-49;M;69526;68759
Syddanmark;50-59;K;81973;81554
Syddanmark;50-59;M;82782;82316
Syddanmark;60-69;K;73586;73364
Syddanmark;60-69;M;72727;72477
Syddanmark;70-79;K;65256;65117
Syddanmark;70-79;M;60126;59982
Syddanmark;80-89;K;29649;29566
Syddanmark;80-89;M;22060;21986
Syddanmark;90+;K;5793;5738
Syddanmark;90+;M;2389;2379
