"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60327;33630;299112;20.2;11.2
0-9;M;64408;36057;315810;20.4;11.4
10-19;K;280633;261680;345746;81.2;75.7
10-19;M;291036;270816;361404;80.5;74.9
20-29;K;320213;312089;381157;84.0;81.9
20-29;M;326382;316602;398066;82.0;79.5
30-39;K;301062;294087;351273;85.7;83.7
30-39;M;299226;292267;363583;82.3;80.4
40-49;K;344610;341341;374850;91.9;91.1
40-49;M;336864;333451;375715;89.7;88.8
50-59;K;378188;376193;401597;94.2;93.7
50-59;M;379253;377167;405017;93.6;93.1
60-69;K;325762;324740;339341;96.0;95.7
60-69;M;316825;315717;329820;96.1;95.7
70-79;K;292477;291869;300400;97.4;97.2
70-79;M;262287;261768;269044;97.5;97.3
80-89;K;127146;126764;131047;97.0;96.7
80-89;M;92055;91814;94436;97.5;97.2
90+;K;24786;24627;26137;94.8;94.2
90+;M;9949;9904;10339;96.2;95.8
