"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;17772;11774
Hovedstaden;0-9;M;18883;12442
Hovedstaden;10-19;K;75902;70870
Hovedstaden;10-19;M;78858;73413
Hovedstaden;20-29;K;121388;118748
Hovedstaden;20-29;M;114589;111506
Hovedstaden;30-39;K;111411;109023
Hovedstaden;30-39;M;109012;106711
Hovedstaden;40-49;K;110784;109602
Hovedstaden;40-49;M;107702;106544
Hovedstaden;50-59;K;113858;113187
Hovedstaden;50-59;M;112990;112276
Hovedstaden;60-69;K;90270;89947
Hovedstaden;60-69;M;85679;85318
Hovedstaden;70-79;K;83701;83494
Hovedstaden;70-79;M;70321;70183
Hovedstaden;80-89;K;38959;38840
Hovedstaden;80-89;M;26488;26424
Hovedstaden;90+;K;9081;9028
Hovedstaden;90+;M;3325;3312
Midtjylland;0-9;K;15650;11307
Midtjylland;0-9;M;16701;12055
Midtjylland;10-19;K;65571;62690
Midtjylland;10-19;M;67957;64824
Midtjylland;20-29;K;80579;79087
Midtjylland;20-29;M;81990;80138
Midtjylland;30-39;K;68027;66849
Midtjylland;30-39;M;69358;68138
Midtjylland;40-49;K;76337;75833
Midtjylland;40-49;M;75180;74607
Midtjylland;50-59;K;84443;84129
Midtjylland;50-59;M;85049;84735
Midtjylland;60-69;K;74907;74733
Midtjylland;60-69;M;73130;72964
Midtjylland;70-79;K;65419;65344
Midtjylland;70-79;M;60988;60906
Midtjylland;80-89;K;29826;29757
Midtjylland;80-89;M;23049;23011
Midtjylland;90+;K;6621;6595
Midtjylland;90+;M;3024;3011
Nordjylland;0-9;K;6362;4381
Nordjylland;0-9;M;6658;4589
Nordjylland;10-19;K;27155;25830
Nordjylland;10-19;M;28607;27093
Nordjylland;20-29;K;31831;31124
Nordjylland;20-29;M;35593;34636
Nordjylland;30-39;K;27700;27158
Nordjylland;30-39;M;28976;28332
Nordjylland;40-49;K;31859;31626
Nordjylland;40-49;M;31981;31709
Nordjylland;50-59;K;38025;37848
Nordjylland;50-59;M;38450;38267
Nordjylland;60-69;K;36169;36071
Nordjylland;60-69;M;35544;35442
Nordjylland;70-79;K;32284;32230
Nordjylland;70-79;M;30531;30475
Nordjylland;80-89;K;15104;15072
Nordjylland;80-89;M;11833;11807
Nordjylland;90+;K;3391;3377
Nordjylland;90+;M;1598;1592
Sjælland;0-9;K;7831;5518
Sjælland;0-9;M;8469;5960
Sjælland;10-19;K;38740;36803
Sjælland;10-19;M;41146;39031
Sjælland;20-29;K;30851;30010
Sjælland;20-29;M;33799;32792
Sjælland;30-39;K;36692;35864
Sjælland;30-39;M;35779;34951
Sjælland;40-49;K;49159;48717
Sjælland;40-49;M;46868;46423
Sjælland;50-59;K;59877;59583
Sjælland;50-59;M;60201;59934
Sjælland;60-69;K;53234;53076
Sjælland;60-69;M;51682;51518
Sjælland;70-79;K;50247;50142
Sjælland;70-79;M;45879;45800
Sjælland;80-89;K;21723;21660
Sjælland;80-89;M;16758;16729
Sjælland;90+;K;4406;4381
Sjælland;90+;M;1948;1941
Syddanmark;0-9;K;13042;9517
Syddanmark;0-9;M;14003;10294
Syddanmark;10-19;K;58545;55877
Syddanmark;10-19;M;60710;57855
Syddanmark;20-29;K;58004;56678
Syddanmark;20-29;M;62340;60640
Syddanmark;30-39;K;57052;55932
Syddanmark;30-39;M;57569;56320
Syddanmark;40-49;K;69467;68929
Syddanmark;40-49;M;67529;66906
Syddanmark;50-59;K;81657;81297
Syddanmark;50-59;M;82740;82366
Syddanmark;60-69;K;74375;74182
Syddanmark;60-69;M;73214;73013
Syddanmark;70-79;K;66122;66016
Syddanmark;70-79;M;61384;61274
Syddanmark;80-89;K;32097;32034
Syddanmark;80-89;M;24573;24527
Syddanmark;90+;K;7114;7072
Syddanmark;90+;M;3158;3146
