"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90793;0.0;0.0
00-02;M;1;0;95768;0.0;0.0
03-05;K;9144;5700;92092;9.9;6.2
03-05;M;9972;6231;97352;10.2;6.4
06-11;K;91506;69005;180497;50.7;38.2
06-11;M;96595;72875;189764;50.9;38.4
12-15;K;119874;116123;145368;82.5;79.9
12-15;M;125914;121869;153103;82.2;79.6
16-19;K;124304;122592;137158;90.6;89.4
16-19;M;127078;124666;142313;89.3;87.6
20-39;K;623389;610469;732701;85.1;83.3
20-39;M;627532;612931;762000;82.4;80.4
40-64;K;891408;886206;952513;93.6;93.0
40-64;M;882656;877271;954556;92.5;91.9
65-79;K;449845;448953;463407;97.1;96.9
65-79;M;412722;411889;424681;97.2;97.0
80+;K;151344;150862;156507;96.7;96.4
80+;M;101521;101276;104240;97.4;97.2
