"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18402;13483
Hovedstaden;0-9;M;19501;14325
Hovedstaden;10-19;K;81188;77416
Hovedstaden;10-19;M;83742;79576
Hovedstaden;20-29;K;122841;120472
Hovedstaden;20-29;M;116186;113378
Hovedstaden;30-39;K;110879;108809
Hovedstaden;30-39;M;108205;106134
Hovedstaden;40-49;K;112744;111651
Hovedstaden;40-49;M;109516;108477
Hovedstaden;50-59;K;113273;112671
Hovedstaden;50-59;M;112435;111801
Hovedstaden;60-69;K;88987;88714
Hovedstaden;60-69;M;84328;84026
Hovedstaden;70-79;K;82088;81911
Hovedstaden;70-79;M;68168;68041
Hovedstaden;80-89;K;35852;35749
Hovedstaden;80-89;M;23441;23382
Hovedstaden;90+;K;7205;7165
Hovedstaden;90+;M;2519;2510
Midtjylland;0-9;K;16237;12694
Midtjylland;0-9;M;17342;13554
Midtjylland;10-19;K;69774;67583
Midtjylland;10-19;M;71765;69313
Midtjylland;20-29;K;79911;78637
Midtjylland;20-29;M;81719;80075
Midtjylland;30-39;K;68400;67354
Midtjylland;30-39;M;69172;68088
Midtjylland;40-49;K;77859;77427
Midtjylland;40-49;M;76952;76462
Midtjylland;50-59;K;84502;84232
Midtjylland;50-59;M;84963;84685
Midtjylland;60-69;K;74432;74280
Midtjylland;60-69;M;72884;72741
Midtjylland;70-79;K;63750;63689
Midtjylland;70-79;M;58926;58870
Midtjylland;80-89;K;27345;27289
Midtjylland;80-89;M;20561;20530
Midtjylland;90+;K;5249;5226
Midtjylland;90+;M;2236;2232
Nordjylland;0-9;K;6616;5140
Nordjylland;0-9;M;6921;5317
Nordjylland;10-19;K;28878;27906
Nordjylland;10-19;M;30322;29194
Nordjylland;20-29;K;31585;30977
Nordjylland;20-29;M;35353;34502
Nordjylland;30-39;K;27942;27494
Nordjylland;30-39;M;28872;28325
Nordjylland;40-49;K;32464;32269
Nordjylland;40-49;M;32621;32390
Nordjylland;50-59;K;38488;38342
Nordjylland;50-59;M;38917;38762
Nordjylland;60-69;K;35822;35731
Nordjylland;60-69;M;35310;35231
Nordjylland;70-79;K;31606;31564
Nordjylland;70-79;M;29708;29667
Nordjylland;80-89;K;13884;13866
Nordjylland;80-89;M;10563;10543
Nordjylland;90+;K;2632;2620
Nordjylland;90+;M;1160;1154
Sjælland;0-9;K;8137;6332
Sjælland;0-9;M;8809;6859
Sjælland;10-19;K;40930;39495
Sjælland;10-19;M;43408;41831
Sjælland;20-29;K;30298;29551
Sjælland;20-29;M;33060;32133
Sjælland;30-39;K;37440;36690
Sjælland;30-39;M;36260;35532
Sjælland;40-49;K;50661;50265
Sjælland;40-49;M;48516;48125
Sjælland;50-59;K;60035;59763
Sjælland;50-59;M;60239;60008
Sjælland;60-69;K;52850;52711
Sjælland;60-69;M;51389;51246
Sjælland;70-79;K;49333;49255
Sjælland;70-79;M;44767;44706
Sjælland;80-89;K;19724;19676
Sjælland;80-89;M;14753;14732
Sjælland;90+;K;3451;3429
Sjælland;90+;M;1425;1418
Syddanmark;0-9;K;13555;10822
Syddanmark;0-9;M;14554;11671
Syddanmark;10-19;K;62114;60093
Syddanmark;10-19;M;64134;61944
Syddanmark;20-29;K;57272;56106
Syddanmark;20-29;M;61581;60092
Syddanmark;30-39;K;57549;56569
Syddanmark;30-39;M;57643;56571
Syddanmark;40-49;K;71262;70776
Syddanmark;40-49;M;69643;69083
Syddanmark;50-59;K;82026;81716
Syddanmark;50-59;M;82840;82528
Syddanmark;60-69;K;73543;73391
Syddanmark;60-69;M;72689;72526
Syddanmark;70-79;K;65129;65047
Syddanmark;70-79;M;59936;59857
Syddanmark;80-89;K;29426;29379
Syddanmark;80-89;M;21814;21781
Syddanmark;90+;K;5631;5602
Syddanmark;90+;M;2299;2294
