"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;6;2;90717;0.0;0.0
00-02;M;1;0;95644;0.0;0.0
03-05;K;7408;5225;91100;8.1;5.7
03-05;M;8022;5639;96324;8.3;5.9
06-11;K;89326;72990;178580;50.0;40.9
06-11;M;94282;77122;187758;50.2;41.1
12-15;K;106690;103423;132841;80.3;77.9
12-15;M;112496;108993;140239;80.2;77.7
16-19;K;121240;119781;134094;90.4;89.3
16-19;M;125205;123166;140451;89.1;87.7
20-39;K;624661;613704;735346;84.9;83.5
20-39;M;629937;616986;765343;82.3;80.6
40-64;K;884606;880046;945852;93.5;93.0
40-64;M;875029;870260;947306;92.4;91.9
65-79;K;457502;456731;471017;97.1;97.0
65-79;M;421743;421064;433665;97.3;97.1
80+;K;168952;168579;173988;97.1;96.9
80+;M;116356;116178;119010;97.8;97.6
