"2. stik dato";"regionskode_current";"Regionsnavn";"Antal 2.stik";"regionskode_num"
2020-12-29;1081;Nordjylland;1;1081
2021-01-08;1084;Hovedstaden;1;1084
2021-01-09;1084;Hovedstaden;2;1084
2021-01-12;1082;Midtjylland;1;1082
2021-01-12;1083;Syddanmark;1;1083
2021-01-13;1082;Midtjylland;3;1082
2021-01-13;1084;Hovedstaden;2;1084
2021-01-14;1084;Hovedstaden;1;1084
2021-01-15;1084;Hovedstaden;5;1084
2021-01-16;1082;Midtjylland;7;1082
2021-01-16;1084;Hovedstaden;2;1084
2021-01-16;1085;Sjælland;1;1085
2021-01-17;1081;Nordjylland;1;1081
2021-01-17;1082;Midtjylland;3;1082
2021-01-17;1083;Syddanmark;377;1083
2021-01-17;1084;Hovedstaden;42;1084
2021-01-17;1085;Sjælland;196;1085
2021-01-18;1081;Nordjylland;4;1081
2021-01-18;1082;Midtjylland;166;1082
2021-01-18;1083;Syddanmark;448;1083
2021-01-18;1084;Hovedstaden;137;1084
2021-01-18;1085;Sjælland;1146;1085
2021-01-19;1081;Nordjylland;3;1081
2021-01-19;1082;Midtjylland;11;1082
2021-01-19;1083;Syddanmark;389;1083
2021-01-19;1084;Hovedstaden;172;1084
2021-01-19;1085;Sjælland;1260;1085
2021-01-20;1081;Nordjylland;4;1081
2021-01-20;1082;Midtjylland;99;1082
2021-01-20;1083;Syddanmark;255;1083
2021-01-20;1084;Hovedstaden;136;1084
2021-01-20;1085;Sjælland;1174;1085
2021-01-21;1081;Nordjylland;10;1081
2021-01-21;1082;Midtjylland;576;1082
2021-01-21;1083;Syddanmark;365;1083
2021-01-21;1084;Hovedstaden;117;1084
2021-01-21;1085;Sjælland;1017;1085
2021-01-22;1081;Nordjylland;2252;1081
2021-01-22;1082;Midtjylland;995;1082
2021-01-22;1083;Syddanmark;1348;1083
2021-01-22;1084;Hovedstaden;82;1084
2021-01-22;1085;Sjælland;443;1085
2021-01-23;1081;Nordjylland;1170;1081
2021-01-23;1082;Midtjylland;863;1082
2021-01-23;1083;Syddanmark;145;1083
2021-01-23;1084;Hovedstaden;3668;1084
2021-01-23;1085;Sjælland;369;1085
2021-01-24;1081;Nordjylland;550;1081
2021-01-24;1082;Midtjylland;1089;1082
2021-01-24;1083;Syddanmark;180;1083
2021-01-24;1084;Hovedstaden;3514;1084
2021-01-24;1085;Sjælland;289;1085
2021-01-25;1081;Nordjylland;11;1081
2021-01-25;1082;Midtjylland;147;1082
2021-01-25;1083;Syddanmark;1578;1083
2021-01-25;1084;Hovedstaden;226;1084
2021-01-25;1085;Sjælland;260;1085
2021-01-26;1081;Nordjylland;155;1081
2021-01-26;1082;Midtjylland;46;1082
2021-01-26;1083;Syddanmark;865;1083
2021-01-26;1084;Hovedstaden;138;1084
2021-01-26;1085;Sjælland;370;1085
2021-01-27;1081;Nordjylland;225;1081
2021-01-27;1082;Midtjylland;1088;1082
2021-01-27;1083;Syddanmark;939;1083
2021-01-27;1084;Hovedstaden;618;1084
2021-01-27;1085;Sjælland;1112;1085
2021-01-28;1081;Nordjylland;517;1081
2021-01-28;1082;Midtjylland;1696;1082
2021-01-28;1083;Syddanmark;453;1083
2021-01-28;1084;Hovedstaden;3663;1084
2021-01-28;1085;Sjælland;1333;1085
2021-01-29;1081;Nordjylland;1782;1081
2021-01-29;1082;Midtjylland;3496;1082
2021-01-29;1083;Syddanmark;2835;1083
2021-01-29;1084;Hovedstaden;6990;1084
2021-01-29;1085;Sjælland;1685;1085
2021-01-30;1081;Nordjylland;1670;1081
2021-01-30;1082;Midtjylland;2282;1082
2021-01-30;1083;Syddanmark;2473;1083
2021-01-30;1084;Hovedstaden;4145;1084
2021-01-30;1085;Sjælland;959;1085
2021-01-31;1081;Nordjylland;1464;1081
2021-01-31;1082;Midtjylland;5331;1082
2021-01-31;1083;Syddanmark;1121;1083
2021-01-31;1084;Hovedstaden;2363;1084
2021-01-31;1085;Sjælland;567;1085
2021-02-01;1081;Nordjylland;490;1081
2021-02-01;1082;Midtjylland;1416;1082
2021-02-01;1083;Syddanmark;2831;1083
2021-02-01;1084;Hovedstaden;1873;1084
2021-02-01;1085;Sjælland;754;1085
2021-02-02;1081;Nordjylland;327;1081
2021-02-02;1082;Midtjylland;948;1082
2021-02-02;1083;Syddanmark;990;1083
2021-02-02;1084;Hovedstaden;113;1084
2021-02-02;1085;Sjælland;447;1085
2021-02-03;1081;Nordjylland;530;1081
