"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2020-12-08;40-64;Nordjylland;1;0
2020-12-11;20-39;Nordjylland;1;0
2020-12-16;20-39;Hovedstaden;1;0
2020-12-17;20-39;Hovedstaden;1;0
2020-12-18;20-39;Hovedstaden;1;0
2020-12-18;16-19;Sjælland;1;0
2020-12-19;80+;Hovedstaden;1;0
2020-12-20;40-64;Hovedstaden;1;0
2020-12-21;20-39;Midtjylland;1;0
2020-12-21;40-64;Hovedstaden;2;0
2020-12-22;20-39;Midtjylland;1;0
2020-12-22;40-64;Midtjylland;1;0
2020-12-22;20-39;Syddanmark;1;0
2020-12-22;40-64;Syddanmark;1;0
2020-12-22;65-79;Hovedstaden;1;0
2020-12-23;40-64;Midtjylland;1;0
2020-12-23;80+;Midtjylland;1;0
2020-12-23;40-64;Hovedstaden;1;0
2020-12-23;80+;Hovedstaden;1;0
2020-12-24;20-39;Hovedstaden;1;0
2020-12-24;40-64;Hovedstaden;1;0
2020-12-24;65-79;Hovedstaden;1;0
2020-12-24;20-39;Sjælland;1;0
2020-12-26;20-39;Hovedstaden;1;0
2020-12-26;65-79;Hovedstaden;2;0
2020-12-26;20-39;Sjælland;1;0
2020-12-26;40-64;Sjælland;1;0
2020-12-27;20-39;Nordjylland;238;0
2020-12-27;40-64;Nordjylland;403;0
2020-12-27;65-79;Nordjylland;117;0
2020-12-27;80+;Nordjylland;182;0
2020-12-27;16-19;Midtjylland;5;0
2020-12-27;20-39;Midtjylland;338;0
2020-12-27;40-64;Midtjylland;715;0
2020-12-27;65-79;Midtjylland;279;0
2020-12-27;80+;Midtjylland;361;0
2020-12-27;20-39;Syddanmark;37;0
2020-12-27;40-64;Syddanmark;154;0
2020-12-27;65-79;Syddanmark;79;0
2020-12-27;80+;Syddanmark;138;0
2020-12-27;16-19;Hovedstaden;1;0
2020-12-27;20-39;Hovedstaden;456;0
2020-12-27;40-64;Hovedstaden;817;0
2020-12-27;65-79;Hovedstaden;161;0
2020-12-27;80+;Hovedstaden;124;0
2020-12-27;16-19;Sjælland;1;0
2020-12-27;20-39;Sjælland;147;0
2020-12-27;40-64;Sjælland;468;0
2020-12-27;65-79;Sjælland;211;0
2020-12-27;80+;Sjælland;334;0
2020-12-28;20-39;Nordjylland;23;0
2020-12-28;40-64;Nordjylland;75;0
2020-12-28;65-79;Nordjylland;7;0
2020-12-28;20-39;Midtjylland;56;0
2020-12-28;40-64;Midtjylland;126;0
2020-12-28;65-79;Midtjylland;12;0
2020-12-28;12-15;Syddanmark;1;0
2020-12-28;16-19;Syddanmark;1;0
2020-12-28;20-39;Syddanmark;107;0
2020-12-28;40-64;Syddanmark;311;0
2020-12-28;65-79;Syddanmark;70;0
2020-12-28;80+;Syddanmark;101;0
2020-12-28;16-19;Hovedstaden;1;0
2020-12-28;20-39;Hovedstaden;130;0
2020-12-28;40-64;Hovedstaden;201;0
2020-12-28;65-79;Hovedstaden;68;0
2020-12-28;80+;Hovedstaden;66;0
2020-12-28;20-39;Sjælland;130;0
2020-12-28;40-64;Sjælland;377;0
2020-12-28;65-79;Sjælland;44;0
2020-12-28;80+;Sjælland;1;0
2020-12-29;20-39;Nordjylland;26;0
2020-12-29;40-64;Nordjylland;118;1
2020-12-29;65-79;Nordjylland;40;0
2020-12-29;80+;Nordjylland;87;0
2020-12-29;16-19;Midtjylland;2;0
2020-12-29;20-39;Midtjylland;200;0
2020-12-29;40-64;Midtjylland;462;0
2020-12-29;65-79;Midtjylland;116;0
2020-12-29;80+;Midtjylland;213;0
2020-12-29;16-19;Syddanmark;1;0
2020-12-29;20-39;Syddanmark;317;0
2020-12-29;40-64;Syddanmark;922;0
2020-12-29;65-79;Syddanmark;216;0
2020-12-29;80+;Syddanmark;275;0
2020-12-29;16-19;Hovedstaden;2;0
2020-12-29;20-39;Hovedstaden;942;0
2020-12-29;40-64;Hovedstaden;1803;0
2020-12-29;65-79;Hovedstaden;344;0
2020-12-29;80+;Hovedstaden;269;0
2020-12-29;20-39;Sjælland;317;0
2020-12-29;40-64;Sjælland;913;0
2020-12-29;65-79;Sjælland;257;0
2020-12-29;80+;Sjælland;295;0
2020-12-30;16-19;Nordjylland;6;0
2020-12-30;20-39;Nordjylland;431;0
2020-12-30;40-64;Nordjylland;1014;0
2020-12-30;65-79;Nordjylland;200;0
2020-12-30;80+;Nordjylland;366;0
2020-12-30;16-19;Midtjylland;3;0
2020-12-30;20-39;Midtjylland;270;0
2020-12-30;40-64;Midtjylland;597;0
2020-12-30;65-79;Midtjylland;121;0
2020-12-30;80+;Midtjylland;157;0
2020-12-30;16-19;Syddanmark;3;0
2020-12-30;20-39;Syddanmark;464;0
2020-12-30;40-64;Syddanmark;1153;0
2020-12-30;65-79;Syddanmark;268;0
2020-12-30;80+;Syddanmark;320;0
2020-12-30;16-19;Hovedstaden;6;0
2020-12-30;20-39;Hovedstaden;1001;0
2020-12-30;40-64;Hovedstaden;1801;0
2020-12-30;65-79;Hovedstaden;330;0
2020-12-30;80+;Hovedstaden;214;0
2020-12-30;16-19;Sjælland;1;0
2020-12-30;20-39;Sjælland;285;0
2020-12-30;40-64;Sjælland;863;0
2020-12-30;65-79;Sjælland;239;0
2020-12-30;80+;Sjælland;330;0
2020-12-31;16-19;Nordjylland;2;0
2020-12-31;20-39;Nordjylland;99;0
2020-12-31;40-64;Nordjylland;255;0
2020-12-31;65-79;Nordjylland;87;0
2020-12-31;80+;Nordjylland;142;0
2020-12-31;20-39;Midtjylland;158;0
2020-12-31;40-64;Midtjylland;456;0
2020-12-31;65-79;Midtjylland;146;0
2020-12-31;80+;Midtjylland;237;0
2020-12-31;20-39;Syddanmark;219;0
2020-12-31;40-64;Syddanmark;642;0
2020-12-31;65-79;Syddanmark;144;0
2020-12-31;80+;Syddanmark;186;0
2020-12-31;16-19;Hovedstaden;1;0
2020-12-31;20-39;Hovedstaden;349;0
2020-12-31;40-64;Hovedstaden;730;0
2020-12-31;65-79;Hovedstaden;194;0
2020-12-31;80+;Hovedstaden;249;0
2020-12-31;16-19;Sjælland;1;0
2020-12-31;20-39;Sjælland;157;0
2020-12-31;40-64;Sjælland;565;0
2020-12-31;65-79;Sjælland;169;0
2020-12-31;80+;Sjælland;252;0
2021-01-01;20-39;Nordjylland;3;0
2021-01-01;40-64;Nordjylland;5;0
2021-01-01;20-39;Midtjylland;37;0
2021-01-01;40-64;Midtjylland;77;0
2021-01-01;65-79;Midtjylland;11;0
2021-01-01;16-19;Syddanmark;2;0
2021-01-01;20-39;Syddanmark;54;0
2021-01-01;40-64;Syddanmark;294;0
2021-01-01;65-79;Syddanmark;73;0
2021-01-01;80+;Syddanmark;155;0
