"1. stik dato";"kommunenavn";"Antal 1. stik";"c_kom_num"
2020-12-08;Aalborg;1;851
2020-12-11;Aalborg;1;851
2020-12-16;Brøndby;1;153
2020-12-17;Frederikssund;1;250
2020-12-18;Gentofte;1;157
2020-12-18;Holbæk;1;316
2020-12-19;Frederiksberg;1;147
2020-12-20;Rudersdal;1;230
2020-12-21;København;1;101
2020-12-21;Gentofte;1;157
2020-12-21;Århus;1;751
2020-12-22;København;1;101
2020-12-22;Odense;1;461
2020-12-22;Kolding;1;621
2020-12-22;Odder;1;727
2020-12-22;Århus;1;751
2020-12-23;København;2;101
2020-12-23;Århus;2;751
2020-12-24;København;2;101
2020-12-24;Gladsaxe;1;159
2020-12-24;Næstved;1;370
2020-12-26;København;1;101
2020-12-26;Allerød;1;201
2020-12-26;Roskilde;1;265
2020-12-26;Ringsted;1;329
2020-12-26;Bornholm;1;400
2020-12-27;København;625;101
2020-12-27;Frederiksberg;87;147
2020-12-27;Ballerup;27;151
2020-12-27;Brøndby;17;153
2020-12-27;Dragør;8;155
2020-12-27;Gentofte;42;157
2020-12-27;Gladsaxe;51;159
2020-12-27;Glostrup;14;161
2020-12-27;Herlev;50;163
2020-12-27;Albertslund;19;165
2020-12-27;Hvidovre;50;167
2020-12-27;Høje Tåstrup;34;169
2020-12-27;Lyngby-Taarbæk;49;173
2020-12-27;Rødovre;25;175
2020-12-27;Ishøj;87;183
2020-12-27;Tårnby;17;185
2020-12-27;Vallensbæk;12;187
2020-12-27;Furesø;27;190
2020-12-27;Allerød;18;201
2020-12-27;Fredensborg;19;210
2020-12-27;Helsingør;34;217
2020-12-27;Hillerød;58;219
2020-12-27;Hørsholm;13;223
2020-12-27;Rudersdal;31;230
2020-12-27;Egedal;26;240
2020-12-27;Frederikssund;15;250
2020-12-27;Greve;208;253
2020-12-27;Køge;61;259
2020-12-27;Halsnæs;16;260
2020-12-27;Roskilde;51;265
2020-12-27;Solrød;110;269
2020-12-27;Gribskov;27;270
2020-12-27;Odsherred;4;306
2020-12-27;Holbæk;48;316
2020-12-27;Faxe;16;320
2020-12-27;Kalundborg;23;326
2020-12-27;Ringsted;14;329
2020-12-27;Slagelse;462;330
2020-12-27;Stevns;20;336
2020-12-27;Sorø;22;340
2020-12-27;Lejre;10;350
2020-12-27;Lolland;8;360
2020-12-27;Næstved;33;370
2020-12-27;Guldborgsund;56;376
2020-12-27;Vordingborg;15;390
2020-12-27;Bornholm;61;400
2020-12-27;Middelfart;6;410
2020-12-27;Assens;6;420
2020-12-27;Faaborg-Midtfyn;11;430
2020-12-27;Kerteminde;3;440
2020-12-27;Nyborg;6;450
2020-12-27;Odense;367;461
2020-12-27;Svendborg;1;479
2020-12-27;Nordfyn;4;480
2020-12-27;Horsens;53;615
2020-12-27;Kolding;1;621
2020-12-27;Vejle;3;630
2020-12-27;Herning;71;657
2020-12-27;Holstebro;16;661
2020-12-27;Lemvig;1;665
2020-12-27;Struer;2;671
2020-12-27;Syddjurs;48;706
2020-12-27;Norddjurs;8;707
2020-12-27;Favrskov;29;710
2020-12-27;Odder;19;727
2020-12-27;Randers;68;730
2020-12-27;Silkeborg;24;740
2020-12-27;Samsø;1;741
2020-12-27;Skanderborg;44;746
2020-12-27;Århus;1223;751
2020-12-27;Ikast-Brande;10;756
2020-12-27;Ringkøbing-Skjern;15;760
2020-12-27;Hedensted;10;766
2020-12-27;Morsø;1;773
2020-12-27;Skive;7;779
2020-12-27;Thisted;3;787
2020-12-27;Viborg;49;791
2020-12-27;Brønderslev;29;810
2020-12-27;Frederikshavn;14;813
2020-12-27;Vesthimmerland;10;820
2020-12-27;Rebild;38;840
2020-12-27;Mariagerfjord;24;846
2020-12-27;Jammerbugt;18;849
2020-12-27;Aalborg;726;851
2020-12-27;Hjørring;77;860
2020-12-28;København;170;101
2020-12-28;Frederiksberg;20;147
2020-12-28;Ballerup;13;151
2020-12-28;Brøndby;11;153
2020-12-28;Gentofte;18;157
2020-12-28;Gladsaxe;17;159
2020-12-28;Glostrup;3;161
2020-12-28;Herlev;113;163
2020-12-28;Albertslund;5;165
2020-12-28;Hvidovre;6;167
2020-12-28;Høje Tåstrup;7;169
2020-12-28;Lyngby-Taarbæk;16;173
2020-12-28;Rødovre;5;175
2020-12-28;Ishøj;5;183
2020-12-28;Tårnby;4;185
2020-12-28;Vallensbæk;1;187
2020-12-28;Furesø;11;190
2020-12-28;Allerød;1;201
2020-12-28;Fredensborg;4;210
2020-12-28;Helsingør;2;217
2020-12-28;Hillerød;4;219
2020-12-28;Hørsholm;3;223
2020-12-28;Rudersdal;10;230
2020-12-28;Egedal;10;240
2020-12-28;Frederikssund;5;250
2020-12-28;Greve;14;253
2020-12-28;Køge;32;259
2020-12-28;Roskilde;50;265
2020-12-28;Solrød;12;269
2020-12-28;Gribskov;1;270
2020-12-28;Odsherred;13;306
2020-12-28;Holbæk;80;316
2020-12-28;Faxe;13;320
2020-12-28;Kalundborg;25;326
2020-12-28;Ringsted;20;329
2020-12-28;Slagelse;94;330
2020-12-28;Stevns;5;336
2020-12-28;Sorø;19;340
2020-12-28;Lejre;10;350
2020-12-28;Lolland;16;360
2020-12-28;Næstved;45;370
2020-12-28;Guldborgsund;87;376
2020-12-28;Vordingborg;17;390
2020-12-28;Bornholm;1;400
2020-12-28;Middelfart;7;410
2020-12-28;Assens;14;420
2020-12-28;Faaborg-Midtfyn;22;430
2020-12-28;Kerteminde;10;440
2020-12-28;Nyborg;16;450
2020-12-28;Odense;469;461
2020-12-28;Svendborg;27;479
