"1. stik dato";"regionskode_current";"Regionsnavn";"Antal 1.stik";"regionskode_num"
2020-12-08;1081;Nordjylland;1;1081
2020-12-11;1081;Nordjylland;1;1081
2020-12-16;1084;Hovedstaden;1;1084
2020-12-17;1084;Hovedstaden;1;1084
2020-12-18;1084;Hovedstaden;1;1084
2020-12-18;1085;Sjælland;1;1085
2020-12-19;1084;Hovedstaden;1;1084
2020-12-20;1084;Hovedstaden;1;1084
2020-12-21;1082;Midtjylland;1;1082
2020-12-21;1084;Hovedstaden;2;1084
2020-12-22;1082;Midtjylland;2;1082
2020-12-22;1083;Syddanmark;2;1083
2020-12-22;1084;Hovedstaden;1;1084
2020-12-23;1082;Midtjylland;2;1082
2020-12-23;1084;Hovedstaden;2;1084
2020-12-24;1084;Hovedstaden;3;1084
2020-12-24;1085;Sjælland;1;1085
2020-12-26;1084;Hovedstaden;3;1084
2020-12-26;1085;Sjælland;2;1085
2020-12-27;1081;Nordjylland;940;1081
2020-12-27;1082;Midtjylland;1698;1082
2020-12-27;1083;Syddanmark;408;1083
2020-12-27;1084;Hovedstaden;1559;1084
2020-12-27;1085;Sjælland;1161;1085
2020-12-28;1081;Nordjylland;105;1081
2020-12-28;1082;Midtjylland;194;1082
2020-12-28;1083;Syddanmark;591;1083
2020-12-28;1084;Hovedstaden;466;1084
2020-12-28;1085;Sjælland;552;1085
2020-12-29;1081;Nordjylland;271;1081
2020-12-29;1082;Midtjylland;993;1082
2020-12-29;1083;Syddanmark;1731;1083
2020-12-29;1084;Hovedstaden;3360;1084
2020-12-29;1085;Sjælland;1782;1085
2020-12-30;1081;Nordjylland;2017;1081
2020-12-30;1082;Midtjylland;1148;1082
2020-12-30;1083;Syddanmark;2208;1083
2020-12-30;1084;Hovedstaden;3352;1084
2020-12-30;1085;Sjælland;1718;1085
2020-12-31;1081;Nordjylland;585;1081
2020-12-31;1082;Midtjylland;997;1082
2020-12-31;1083;Syddanmark;1191;1083
2020-12-31;1084;Hovedstaden;1523;1084
2020-12-31;1085;Sjælland;1144;1085
2021-01-01;1081;Nordjylland;8;1081
2021-01-01;1082;Midtjylland;125;1082
2021-01-01;1083;Syddanmark;578;1083
2021-01-01;1084;Hovedstaden;1069;1084
2021-01-01;1085;Sjælland;282;1085
2021-01-02;1081;Nordjylland;1540;1081
2021-01-02;1082;Midtjylland;2107;1082
2021-01-02;1083;Syddanmark;1692;1083
2021-01-02;1084;Hovedstaden;2011;1084
2021-01-02;1085;Sjælland;399;1085
2021-01-03;1081;Nordjylland;14;1081
2021-01-03;1082;Midtjylland;2518;1082
2021-01-03;1083;Syddanmark;713;1083
