"dato";"kommunenavn";"sex";"1. stik idag";"2. stik idag";"3. stik i idag";"1. stik igaar";"2. stik igaar";"3. stik igaar";"1. stik difference";"2. stik difference";"3. stik difference"
2022-03-15;København;K;260689;255148;185974;260711;255576;185868;-22;-428;106
2022-03-15;København;M;247280;240756;166905;247302;241939;166791;-22;-1183;114
2022-03-15;Frederiksberg;K;46161;45357;35147;46164;45416;35129;-3;-59;18
2022-03-15;Frederiksberg;M;40575;39608;29131;40573;39770;29116;2;-162;15
2022-03-15;Ballerup;K;20252;19840;15319;20255;19846;15316;-3;-6;3
2022-03-15;Ballerup;M;18814;18398;13641;18812;18421;13636;2;-23;5
2022-03-15;Brøndby;K;13416;13056;9601;13417;13060;9601;-1;-4;0
2022-03-15;Brøndby;M;12454;12091;8641;12457;12112;8638;-3;-21;3
2022-03-15;Dragør;K;6313;6172;4822;6313;6174;4822;0;-2;0
2022-03-15;Dragør;M;5922;5788;4343;5923;5794;4344;-1;-6;-1
2022-03-15;Gentofte;K;32762;32157;24762;32762;32196;24760;0;-39;2
2022-03-15;Gentofte;M;29423;28766;21331;29428;28826;21330;-5;-60;1
2022-03-15;Gladsaxe;K;28181;27607;20716;28185;27631;20714;-4;-24;2
2022-03-15;Gladsaxe;M;27242;26578;19092;27246;26631;19094;-4;-53;-2
2022-03-15;Glostrup;K;9306;9112;6861;9309;9117;6862;-3;-5;-1
2022-03-15;Glostrup;M;8952;8742;6279;8953;8755;6278;-1;-13;1
2022-03-15;Herlev;K;11759;11481;8734;11760;11489;8734;-1;-8;0
2022-03-15;Herlev;M;10850;10557;7619;10851;10579;7616;-1;-22;3
2022-03-15;Albertslund;K;10543;10255;7308;10543;10259;7303;0;-4;5
2022-03-15;Albertslund;M;10051;9723;6742;10051;9732;6739;0;-9;3
2022-03-15;Hvidovre;K;21264;20732;15343;21266;20745;15341;-2;-13;2
2022-03-15;Hvidovre;M;20204;19665;14011;20202;19698;14004;2;-33;7
2022-03-15;Høje Tåstrup;K;20081;19618;14319;20085;19628;14322;-4;-10;-3
2022-03-15;Høje Tåstrup;M;19828;19312;13654;19830;19342;13653;-2;-30;1
2022-03-15;Lyngby-Taarbæk;K;24859;24383;18914;24861;24395;18910;-2;-12;4
2022-03-15;Lyngby-Taarbæk;M;23742;23149;17073;23742;23197;17070;0;-48;3
2022-03-15;Rødovre;K;16715;16348;12243;16714;16358;12240;1;-10;3
2022-03-15;Rødovre;M;15437;15005;10673;15438;15030;10670;-1;-25;3
2022-03-15;Ishøj;K;8233;8001;5502;8230;8005;5501;3;-4;1
2022-03-15;Ishøj;M;7965;7711;5239;7966;7719;5239;-1;-8;0
2022-03-15;Tårnby;K;17558;17233;13108;17561;17239;13111;-3;-6;-3
2022-03-15;Tårnby;M;16687;16296;11845;16689;16323;11845;-2;-27;0
2022-03-15;Vallensbæk;K;6370;6220;4554;6370;6222;4550;0;-2;4
2022-03-15;Vallensbæk;M;6172;6014;4277;6172;6026;4273;0;-12;4
2022-03-15;Furesø;K;17706;17359;13489;17706;17369;13486;0;-10;3
2022-03-15;Furesø;M;16580;16229;12102;16582;16242;12099;-2;-13;3
2022-03-15;Allerød;K;11279;11108;8686;11279;11111;8686;0;-3;0
2022-03-15;Allerød;M;10719;10513;8028;10718;10521;8028;1;-8;0
2022-03-15;Fredensborg;K;17496;17214;13336;17497;17227;13330;-1;-13;6
2022-03-15;Fredensborg;M;16084;15758;11927;16087;15778;11929;-3;-20;-2
2022-03-15;Helsingør;K;26960;26530;21031;26962;26536;21024;-2;-6;7
2022-03-15;Helsingør;M;24732;24255;18581;24734;24278;18581;-2;-23;0
2022-03-15;Hillerød;K;22689;22354;17332;22690;22361;17333;-1;-7;-1
2022-03-15;Hillerød;M;21369;20928;15755;21373;20955;15759;-4;-27;-4
2022-03-15;Hørsholm;K;11290;11123;8910;11289;11129;8909;1;-6;1
2022-03-15;Hørsholm;M;9803;9615;7465;9808;9632;7467;-5;-17;-2
2022-03-15;Rudersdal;K;24926;24473;19197;24930;24486;19197;-4;-13;0
2022-03-15;Rudersdal;M;23451;22980;17438;23466;23031;17439;-15;-51;-1
2022-03-15;Egedal;K;18800;18516;14101;18801;18519;14100;-1;-3;1
2022-03-15;Egedal;M;18152;17805;13159;18152;17827;13157;0;-22;2
2022-03-15;Frederikssund;K;19724;19440;15408;19726;19443;15410;-2;-3;-2
2022-03-15;Frederikssund;M;18788;18421;14055;18791;18443;14058;-3;-22;-3
