"Vaccinedato";"geo";"Antal personer 1. stik";"Antal borgere";"1. stik (%)";"Kumuleret antal 1. stik"
2020-12-08;Nationalt;1;5880320;0.00;1
2020-12-11;Nationalt;1;5880320;0.00;2
2020-12-16;Nationalt;1;5880320;0.00;3
2020-12-17;Nationalt;1;5880320;0.00;4
2020-12-18;Nationalt;2;5880320;0.00;6
2020-12-19;Nationalt;1;5880320;0.00;7
2020-12-20;Nationalt;1;5880320;0.00;8
2020-12-21;Nationalt;3;5880320;0.00;11
2020-12-22;Nationalt;5;5880320;0.00;16
2020-12-23;Nationalt;4;5880320;0.00;20
2020-12-24;Nationalt;4;5880320;0.00;24
2020-12-26;Nationalt;5;5880320;0.00;29
2020-12-27;Nationalt;5766;5880320;0.10;5795
2020-12-28;Nationalt;1908;5880320;0.13;7703
2020-12-29;Nationalt;8137;5880320;0.27;15840
2020-12-30;Nationalt;10443;5880320;0.45;26283
2020-12-31;Nationalt;5440;5880320;0.54;31723
2021-01-01;Nationalt;2062;5880320;0.57;33785
2021-01-02;Nationalt;7749;5880320;0.71;41534
2021-01-03;Nationalt;5098;5880320;0.79;46632
2021-01-04;Nationalt;2316;5880320;0.83;48948
2021-01-05;Nationalt;12124;5880320;1.04;61072
2021-01-06;Nationalt;17482;5880320;1.34;78554
2021-01-07;Nationalt;15481;5880320;1.60;94035
2021-01-08;Nationalt;7540;5880320;1.73;101575
2021-01-09;Nationalt;1824;5880320;1.76;103399
2021-01-10;Nationalt;818;5880320;1.77;104217
2021-01-11;Nationalt;665;5880320;1.78;104882
2021-01-12;Nationalt;464;5880320;1.79;105346
2021-01-13;Nationalt;11953;5880320;1.99;117299
2021-01-14;Nationalt;16527;5880320;2.28;133826
2021-01-15;Nationalt;13946;5880320;2.51;147772
2021-01-16;Nationalt;4229;5880320;2.58;152001
2021-01-17;Nationalt;2219;5880320;2.62;154220
2021-01-18;Nationalt;3542;5880320;2.68;157762
2021-01-19;Nationalt;2291;5880320;2.72;160053
2021-01-20;Nationalt;1397;5880320;2.75;161450
2021-01-21;Nationalt;1427;5880320;2.77;162877
2021-01-22;Nationalt;634;5880320;2.78;163511
2021-01-23;Nationalt;668;5880320;2.79;164179
2021-01-24;Nationalt;545;5880320;2.80;164724
2021-01-25;Nationalt;271;5880320;2.81;164995
2021-01-26;Nationalt;211;5880320;2.81;165206
2021-01-27;Nationalt;205;5880320;2.81;165411
2021-01-28;Nationalt;237;5880320;2.82;165648
2021-01-29;Nationalt;1025;5880320;2.83;166673
2021-01-30;Nationalt;1103;5880320;2.85;167776
2021-01-31;Nationalt;1117;5880320;2.87;168893
