"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal borgere";"Andel 1. stik";"Andel 2. stik"
0-9;K;63086;49540;301706;20.9;16.4
0-9;M;67270;52912;318569;21.1;16.6
10-19;K;283123;273561;347656;81.4;78.7
10-19;M;293642;282873;363235;80.8;77.9
20-29;K;322053;315585;383076;84.1;82.4
20-29;M;327976;318613;399225;82.2;79.8
30-39;K;302314;296880;352295;85.8;84.3
30-39;M;300208;293331;364731;82.3;80.4
40-49;K;345011;342430;375133;92.0;91.3
40-49;M;337232;334253;376240;89.6;88.8
50-59;K;378286;376724;401627;94.2;93.8
50-59;M;379310;377675;405080;93.6;93.2
60-69;K;325436;324652;339009;96.0;95.8
60-69;M;316312;315511;329243;96.1;95.8
70-79;K;291451;291032;299260;97.4;97.3
70-79;M;260897;260548;267521;97.5;97.4
80-89;K;125547;125303;129316;97.1;96.9
80-89;M;90385;90244;92667;97.5;97.4
90+;K;23691;23580;24952;94.9;94.5
90+;M;9419;9393;9779;96.3;96.1
