"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal borgere";"Andel 1. stik";"Andel 2. stik"
00-02;K;7;2;90773;0.0;0.0
00-02;M;1;0;95649;0.0;0.0
03-05;K;9318;6661;93129;10.0;7.2
03-05;M;10138;7240;98608;10.3;7.3
06-11;K;92244;76094;181667;50.8;41.9
06-11;M;97306;80373;190983;51.0;42.1
12-15;K;120134;117293;146405;82.1;80.1
12-15;M;126215;123063;154054;81.9;79.9
16-19;K;124506;123051;137388;90.6;89.6
16-19;M;127252;125109;142510;89.3;87.8
20-39;K;624367;612465;735371;84.9;83.3
20-39;M;628184;611944;763956;82.2;80.1
40-64;K;891361;886756;952671;93.6;93.1
40-64;M;882442;877338;954848;92.4;91.9
65-79;K;448823;448082;462358;97.1;96.9
65-79;M;411309;410649;423236;97.2;97.0
80+;K;149238;148883;154268;96.7;96.5
80+;M;99804;99637;102446;97.4;97.3
