"Kommunenavn";"Antal personer 1. stik";"Antal personer 2. stik";"Antal borgere"
København;507969;495904;646588
Frederiksberg;86736;84965;103771
Ballerup;39066;38238;49336
Brøndby;25870;25147;35788
Dragør;12235;11960;14583
Gentofte;62185;60923;74264
Gladsaxe;55423;54185;69234
Glostrup;18258;17854;23494
Herlev;22609;22038;28758
Albertslund;20594;19978;27551
Hvidovre;41468;40397;53187
Høje-Taastrup;39909;38930;53458
Lyngby-Taarbæk;48601;47532;57994
Rødovre;32152;31353;41474
Ishøj;16198;15712;23255
Tårnby;34245;33529;42741
Vallensbæk;12542;12234;16513
Furesø;34286;33588;41519
Allerød;21998;21621;25864
Fredensborg;33580;32972;41286
Helsingør;51692;50785;62889
Hillerød;44058;43282;53335
Hørsholm;21093;20738;24721
Rudersdal;48377;47453;57207
Egedal;36952;36321;44483
Frederikssund;38512;37861;45853
Greve;40790;39990;50915
Køge;50454;49481;61715
Frederiksværk-Hundested;26033;25528;31401
Roskilde;75056;73805;89595
Solrød;19471;19116;23823
Gribskov;34192;33650;41215
Odsherred;27628;27257;32821
Holbæk;60729;59761;72962
Faxe;30441;29922;37178
Kalundborg;39776;39155;48357
Ringsted;28249;27759;35263
Slagelse;65056;63912;79710
Stevns;19539;19221;23601
Sorø;25147;24794;29987
Lejre;23726;23364;28602
Lolland;32762;32287;39978
Næstved;69299;68229;83976
Guldborgsund;49674;48995;60241
Vordingborg;37439;36829;45323
Bornholm;34014;33494;39624
Middelfart;33927;33432;39683
Assens;34934;34387;40914
Faaborg-Midtfyn;44232;43544;51895
Kerteminde;20505;20141;24008
Nyborg;27521;27116;32087
Odense;172168;168975;206128
Svendborg;50567;49815;59209
Nordfyns;24993;24564;29773
Langeland;10562;10434;12310
Ærø;5263;5177;6019
Haderslev;45604;44895;55274
Billund;22174;21828;26700
Sønderborg;61624;60692;73736
Tønder;29940;29486;36846
Esbjerg;95689;94198;115463
Fanø;2972;2937;3430
Varde;41154;40494;49686
Vejen;34918;34318;42587
Aabenraa;47197;46541;58705
Fredericia;43048;42355;51641
Horsens;77159;75920;95028
Kolding;76992;75738;93736
Vejle;98034;96417;119430
Herning;74673;73478;89363
Holstebro;49445;48627;58586
Lemvig;16534;16336;19373
Struer;17854;17581;20787
Syddjurs;36976;36424;43735
Norddjurs;31262;30795;36931
Favrskov;41415;40732;48977
Odder;19985;19696;23354
Randers;82555;81205;99109
Silkeborg;81043;79650;97758
Samsø;3240;3209;3708
Skanderborg;53930;52937;64481
Århus;295690;289949;355615
Ikast-Brande;34370;33858;41956
Ringkøbing-Skjern;46891;46173;56225
Hedensted;39545;39020;47114
Morsø;17034;16724;20056
Skive;38758;38211;45042
Thisted;36299;35740;43050
Viborg;81991;80682;96812
Brønderslev-Dronninglund;30534;30008;36290
Frederikshavn;50135;49394;58835
Vesthimmerlands;30044;29569;36247
Læsø;1536;1520;1783
Rebild;25461;24993;30681
Mariagerfjord;35220;34564;41642
Jammerbugt;32282;31699;38134
Ålborg;186261;182807;221194
Hjørring;54426;53606;63761
