"Regionsnavn";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik"
Hovedstaden;00-02;K;2;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2815;1898
Hovedstaden;03-05;M;3025;2054
Hovedstaden;06-11;K;26496;20859
Hovedstaden;06-11;M;27780;21909
Hovedstaden;12-15;K;34352;33344
Hovedstaden;12-15;M;36325;35188
Hovedstaden;16-19;K;36105;35509
Hovedstaden;16-19;M;36256;35497
Hovedstaden;20-39;K;233837;229001
Hovedstaden;20-39;M;224449;218001
Hovedstaden;40-64;K;272465;270643
Hovedstaden;40-64;M;267709;265755
Hovedstaden;65-79;K;124361;124067
Hovedstaden;65-79;M;106398;106166
Hovedstaden;80+;K;42746;42615
Hovedstaden;80+;M;25726;25666
Midtjylland;00-02;K;3;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;2382;1715
Midtjylland;03-05;M;2635;1885
Midtjylland;06-11;K;23769;19929
Midtjylland;06-11;M;25074;21023
Midtjylland;12-15;K;29476;28874
Midtjylland;12-15;M;30653;29989
Midtjylland;16-19;K;30476;30202
Midtjylland;16-19;M;30836;30451
Midtjylland;20-39;K;148276;145950
Midtjylland;20-39;M;150899;147649
Midtjylland;40-64;K;200519;199734
Midtjylland;40-64;M;199511;198605
Midtjylland;65-79;K;99888;99773
Midtjylland;65-79;M;94015;93901
Midtjylland;80+;K;32336;32269
Midtjylland;80+;M;22567;22533
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;960;699
Nordjylland;03-05;M;1036;738
Nordjylland;06-11;K;9633;8034
Nordjylland;06-11;M;10023;8284
Nordjylland;12-15;K;12263;11961
Nordjylland;12-15;M;13064;12747
Nordjylland;16-19;K;12660;12547
Nordjylland;16-19;M;13135;12929
Nordjylland;20-39;K;59529;58461
Nordjylland;20-39;M;64197;62528
Nordjylland;40-64;K;89388;89009
Nordjylland;40-64;M;89694;89233
Nordjylland;65-79;K;48924;48843
Nordjylland;65-79;M;46744;46675
Nordjylland;80+;K;16376;16349
Nordjylland;80+;M;11606;11587
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;1219;882
Sjælland;03-05;M;1353;980
Sjælland;06-11;K;12200;10167
Sjælland;06-11;M;13019;10870
Sjælland;12-15;K;17829;17477
Sjælland;12-15;M;18773;18366
Sjælland;16-19;K;17856;17654
Sjælland;16-19;M;19154;18815
Sjælland;20-39;K;67833;66325
Sjælland;20-39;M;69375;67518
Sjælland;40-64;K;137929;137186
Sjælland;40-64;M;135457;134720
Sjælland;65-79;K;74897;74777
Sjælland;65-79;M;69318;69201
Sjælland;80+;K;23010;22945
Sjælland;80+;M;16014;15994
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1942;1467
Syddanmark;03-05;M;2089;1583
Syddanmark;06-11;K;20146;17105
Syddanmark;06-11;M;21410;18287
Syddanmark;12-15;K;26214;25637
Syddanmark;12-15;M;27400;26773
Syddanmark;16-19;K;27409;27139
Syddanmark;16-19;M;27871;27417
Syddanmark;20-39;K;114892;112728
Syddanmark;20-39;M;119264;116248
Syddanmark;40-64;K;191060;190184
Syddanmark;40-64;M;190071;189025
Syddanmark;65-79;K;100753;100622
Syddanmark;65-79;M;94834;94706
Syddanmark;80+;K;34770;34705
Syddanmark;80+;M;23891;23857
