"Vaccinedato";"Regionsnavn";"Kumulerede antal 2. stik";"Antal borgere";"Vaccinations dækning (%)"
2020-12-29;Hovedstaden;0;1871386;0.00
2021-01-08;Hovedstaden;1;1871386;0.00
2021-01-09;Hovedstaden;3;1871386;0.00
2021-01-12;Hovedstaden;3;1871386;0.00
2021-01-13;Hovedstaden;5;1871386;0.00
2021-01-14;Hovedstaden;6;1871386;0.00
2021-01-15;Hovedstaden;11;1871386;0.00
2021-01-16;Hovedstaden;13;1871386;0.00
2021-01-17;Hovedstaden;55;1871386;0.00
2021-01-18;Hovedstaden;192;1871386;0.01
2021-01-19;Hovedstaden;364;1871386;0.02
2021-01-20;Hovedstaden;500;1871386;0.03
2021-01-21;Hovedstaden;617;1871386;0.03
2021-01-22;Hovedstaden;699;1871386;0.04
2021-01-23;Hovedstaden;4367;1871386;0.23
2021-01-24;Hovedstaden;7881;1871386;0.42
2021-01-25;Hovedstaden;8107;1871386;0.43
2021-01-26;Hovedstaden;8245;1871386;0.44
2021-01-27;Hovedstaden;8863;1871386;0.47
2021-01-28;Hovedstaden;12526;1871386;0.67
2021-01-29;Hovedstaden;19516;1871386;1.04
2021-01-30;Hovedstaden;23661;1871386;1.26
2021-01-31;Hovedstaden;26024;1871386;1.39
2021-02-01;Hovedstaden;27897;1871386;1.49
2021-02-02;Hovedstaden;28010;1871386;1.50
2021-02-03;Hovedstaden;30789;1871386;1.65
2021-02-04;Hovedstaden;36928;1871386;1.97
2021-02-05;Hovedstaden;41591;1871386;2.22
2021-02-06;Hovedstaden;44472;1871386;2.38
2021-02-07;Hovedstaden;45036;1871386;2.41
2021-02-08;Hovedstaden;46172;1871386;2.47
2021-02-09;Hovedstaden;46219;1871386;2.47
2021-02-10;Hovedstaden;47133;1871386;2.52
2021-02-11;Hovedstaden;47378;1871386;2.53
2021-02-12;Hovedstaden;51504;1871386;2.75
2021-02-13;Hovedstaden;51515;1871386;2.75
2021-02-14;Hovedstaden;51528;1871386;2.75
2021-02-15;Hovedstaden;52885;1871386;2.83
2021-02-16;Hovedstaden;53290;1871386;2.85
2021-02-17;Hovedstaden;53327;1871386;2.85
2021-02-18;Hovedstaden;53408;1871386;2.85
2021-02-19;Hovedstaden;53463;1871386;2.86
2021-02-20;Hovedstaden;53567;1871386;2.86
2021-02-21;Hovedstaden;53672;1871386;2.87
2021-02-22;Hovedstaden;53820;1871386;2.88
2021-02-23;Hovedstaden;53992;1871386;2.89
2021-02-24;Hovedstaden;54075;1871386;2.89
2021-02-25;Hovedstaden;54117;1871386;2.89
2021-02-26;Hovedstaden;54188;1871386;2.90
2021-02-27;Hovedstaden;55186;1871386;2.95
2021-02-28;Hovedstaden;56216;1871386;3.00
2021-03-01;Hovedstaden;56429;1871386;3.02
2021-03-02;Hovedstaden;56679;1871386;3.03
2021-03-03;Hovedstaden;56726;1871386;3.03
2021-03-04;Hovedstaden;56927;1871386;3.04
2021-03-05;Hovedstaden;57196;1871386;3.06
2021-03-06;Hovedstaden;57289;1871386;3.06
2021-03-07;Hovedstaden;57598;1871386;3.08
2021-03-08;Hovedstaden;57837;1871386;3.09
2021-03-09;Hovedstaden;59180;1871386;3.16
2021-03-10;Hovedstaden;60775;1871386;3.25
2021-03-11;Hovedstaden;64881;1871386;3.47
2021-03-12;Hovedstaden;69437;1871386;3.71
2021-03-13;Hovedstaden;69528;1871386;3.72
2021-03-14;Hovedstaden;72656;1871386;3.88
2021-03-15;Hovedstaden;75324;1871386;4.03
2021-03-16;Hovedstaden;78689;1871386;4.20
