"Kommunenavn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Vacc.dækning 1. stik (%)";"Vacc.dækning 2. stik (%)";"Vacc.dækning 3. stik (%)";"Antal borgere"
København;507969;495904;352879;78.6;76.7;54.6;646588
Frederiksberg;86736;84965;64278;83.6;81.9;61.9;103771
Ballerup;39066;38238;28960;79.2;77.5;58.7;49336
Brøndby;25870;25147;18242;72.3;70.3;51.0;35788
Dragør;12235;11960;9165;83.9;82.0;62.8;14583
Gentofte;62185;60923;46093;83.7;82.0;62.1;74264
Gladsaxe;55423;54185;39808;80.1;78.3;57.5;69234
Glostrup;18258;17854;13140;77.7;76.0;55.9;23494
Herlev;22609;22038;16353;78.6;76.6;56.9;28758
Albertslund;20594;19978;14050;74.7;72.5;51.0;27551
Hvidovre;41468;40397;29354;78.0;76.0;55.2;53187
Høje Tåstrup;39909;38930;27973;74.7;72.8;52.3;53458
Lyngby-Taarbæk;48601;47532;35987;83.8;82.0;62.1;57994
Rødovre;32152;31353;22916;77.5;75.6;55.3;41474
Ishøj;16198;15712;10741;69.7;67.6;46.2;23255
Tårnby;34245;33529;24953;80.1;78.4;58.4;42741
Vallensbæk;12542;12234;8831;76.0;74.1;53.5;16513
Furesø;34286;33588;25591;82.6;80.9;61.6;41519
Allerød;21998;21621;16714;85.1;83.6;64.6;25864
Fredensborg;33580;32972;25263;81.3;79.9;61.2;41286
Helsingør;51692;50785;39612;82.2;80.8;63.0;62889
Hillerød;44058;43282;33087;82.6;81.2;62.0;53335
Hørsholm;21093;20738;16375;85.3;83.9;66.2;24721
Rudersdal;48377;47453;36635;84.6;82.9;64.0;57207
Egedal;36952;36321;27260;83.1;81.7;61.3;44483
Frederikssund;38512;37861;29463;84.0;82.6;64.3;45853
Greve;40790;39990;30056;80.1;78.5;59.0;50915
Køge;50454;49481;37695;81.8;80.2;61.1;61715
Halsnæs;26033;25528;20171;82.9;81.3;64.2;31401
Roskilde;75056;73805;56361;83.8;82.4;62.9;89595
Solrød;19471;19116;14402;81.7;80.2;60.5;23823
Gribskov;34192;33650;26711;83.0;81.6;64.8;41215
Odsherred;27628;27257;21968;84.2;83.0;66.9;32821
Holbæk;60729;59761;45764;83.2;81.9;62.7;72962
Faxe;30441;29922;23109;81.9;80.5;62.2;37178
Kalundborg;39776;39155;30574;82.3;81.0;63.2;48357
Ringsted;28249;27759;21069;80.1;78.7;59.7;35263
Slagelse;65056;63912;49282;81.6;80.2;61.8;79710
Stevns;19539;19221;15141;82.8;81.4;64.2;23601
Sorø;25147;24794;19152;83.9;82.7;63.9;29987
Lejre;23726;23364;18051;83.0;81.7;63.1;28602
Lolland;32762;32287;25572;82.0;80.8;64.0;39978
Næstved;69299;68229;52509;82.5;81.2;62.5;83976
Guldborgsund;49674;48995;38619;82.5;81.3;64.1;60241
Vordingborg;37439;36829;29021;82.6;81.3;64.0;45323
Bornholm;34014;33494;27246;85.8;84.5;68.8;39624
Middelfart;33927;33432;26245;85.5;84.2;66.1;39683
Assens;34934;34387;26694;85.4;84.0;65.2;40914
Faaborg-Midtfyn;44232;43544;33724;85.2;83.9;65.0;51895
Kerteminde;20505;20141;15816;85.4;83.9;65.9;24008
Nyborg;27521;27116;21191;85.8;84.5;66.0;32087
Odense;172168;168975;127027;83.5;82.0;61.6;206128
Svendborg;50567;49815;38688;85.4;84.1;65.3;59209
Nordfyn;24993;24564;18956;83.9;82.5;63.7;29773
Langeland;10562;10434;8638;85.8;84.8;70.2;12310
Ærø;5263;5177;4387;87.4;86.0;72.9;6019
Haderslev;45604;44895;34265;82.5;81.2;62.0;55274
Billund;22174;21828;16745;83.0;81.8;62.7;26700
Sønderborg;61624;60692;47186;83.6;82.3;64.0;73736
Tønder;29940;29486;22791;81.3;80.0;61.9;36846
Esbjerg;95689;94198;71706;82.9;81.6;62.1;115463
Fanø;2972;2937;2414;86.6;85.6;70.4;3430
Varde;41154;40494;31352;82.8;81.5;63.1;49686
Vejen;34918;34318;25881;82.0;80.6;60.8;42587
Aabenraa;47197;46541;35924;80.4;79.3;61.2;58705
Fredericia;43048;42355;32690;83.4;82.0;63.3;51641
Horsens;77159;75920;56813;81.2;79.9;59.8;95028
Kolding;76992;75738;56295;82.1;80.8;60.1;93736
Vejle;98034;96417;71895;82.1;80.7;60.2;119430
Herning;74673;73478;55383;83.6;82.2;62.0;89363
Holstebro;49445;48627;36919;84.4;83.0;63.0;58586
Lemvig;16534;16336;13019;85.3;84.3;67.2;19373
Struer;17854;17581;13722;85.9;84.6;66.0;20787
Syddjurs;36976;36424;28784;84.5;83.3;65.8;43735
Norddjurs;31262;30795;24526;84.6;83.4;66.4;36931
Favrskov;41415;40732;30691;84.6;83.2;62.7;48977
Odder;19985;19696;15668;85.6;84.3;67.1;23354
Randers;82555;81205;61984;83.3;81.9;62.5;99109
Silkeborg;81043;79650;60729;82.9;81.5;62.1;97758
Samsø;3240;3209;2667;87.4;86.5;71.9;3708
Skanderborg;53930;52937;40231;83.6;82.1;62.4;64481
Århus;295690;289949;220004;83.1;81.5;61.9;355615
Ikast-Brande;34370;33858;25356;81.9;80.7;60.4;41956
Ringkøbing-Skjern;46891;46173;35460;83.4;82.1;63.1;56225
Hedensted;39545;39020;29840;83.9;82.8;63.3;47114
Morsø;17034;16724;12979;84.9;83.4;64.7;20056
Skive;38758;38211;29523;86.0;84.8;65.5;45042
Thisted;36299;35740;27832;84.3;83.0;64.7;43050
Viborg;81991;80682;60929;84.7;83.3;62.9;96812
Brønderslev;30534;30008;22764;84.1;82.7;62.7;36290
Frederikshavn;50135;49394;39153;85.2;84.0;66.5;58835
Vesthimmerland;30044;29569;22806;82.9;81.6;62.9;36247
Læsø;1536;1520;1313;86.1;85.2;73.6;1783
Rebild;25461;24993;18877;83.0;81.5;61.5;30681
Mariagerfjord;35220;34564;26878;84.6;83.0;64.5;41642
Jammerbugt;32282;31699;24625;84.7;83.1;64.6;38134
Aalborg;186261;182807;138403;84.2;82.6;62.6;221194
Hjørring;54426;53606;41385;85.4;84.1;64.9;63761
