"Vaccinedato";"geo";"Antal personer 2. tik";"Antal borgere";"2. stik (%)";"Kumuleret antal 2. stik"
2020-12-29;Nationalt;1;5881141;0.00;1
2021-01-08;Nationalt;1;5881141;0.00;2
2021-01-09;Nationalt;2;5881141;0.00;4
2021-01-12;Nationalt;2;5881141;0.00;6
2021-01-13;Nationalt;5;5881141;0.00;11
2021-01-14;Nationalt;1;5881141;0.00;12
2021-01-15;Nationalt;5;5881141;0.00;17
2021-01-16;Nationalt;10;5881141;0.00;27
2021-01-17;Nationalt;616;5881141;0.01;643
2021-01-18;Nationalt;1895;5881141;0.04;2538
2021-01-19;Nationalt;1831;5881141;0.07;4369
2021-01-20;Nationalt;1663;5881141;0.10;6032
2021-01-21;Nationalt;2083;5881141;0.14;8115
2021-01-22;Nationalt;5110;5881141;0.22;13225
2021-01-23;Nationalt;6198;5881141;0.33;19423
2021-01-24;Nationalt;5614;5881141;0.43;25037
2021-01-25;Nationalt;2218;5881141;0.46;27255
2021-01-26;Nationalt;1569;5881141;0.49;28824
2021-01-27;Nationalt;3975;5881141;0.56;32799
2021-01-28;Nationalt;7653;5881141;0.69;40452
2021-01-29;Nationalt;16758;5881141;0.97;57210
2021-01-30;Nationalt;11495;5881141;1.17;68705
2021-01-31;Nationalt;10817;5881141;1.35;79522
2021-02-01;Nationalt;7351;5881141;1.48;86873
2021-02-02;Nationalt;2819;5881141;1.53;89692
2021-02-03;Nationalt;5835;5881141;1.62;95527
2021-02-04;Nationalt;10225;5881141;1.80;105752
2021-02-05;Nationalt;12422;5881141;2.01;118174
2021-02-06;Nationalt;6265;5881141;2.12;124439
2021-02-07;Nationalt;3356;5881141;2.17;127795
2021-02-08;Nationalt;6609;5881141;2.29;134404
2021-02-09;Nationalt;4557;5881141;2.36;138961
2021-02-10;Nationalt;3665;5881141;2.43;142626
2021-02-11;Nationalt;2337;5881141;2.46;144963
2021-02-12;Nationalt;7474;5881141;2.59;152437
2021-02-13;Nationalt;899;5881141;2.61;153336
2021-02-14;Nationalt;588;5881141;2.62;153924
2021-02-15;Nationalt;3057;5881141;2.67;156981
2021-02-16;Nationalt;1282;5881141;2.69;158263
2021-02-17;Nationalt;398;5881141;2.70;158661
2021-02-18;Nationalt;318;5881141;2.70;158979
2021-02-19;Nationalt;931;5881141;2.72;159910
2021-02-20;Nationalt;549;5881141;2.73;160459
2021-02-21;Nationalt;340;5881141;2.73;160799
2021-02-22;Nationalt;1069;5881141;2.75;161868
2021-02-23;Nationalt;1853;5881141;2.78;163721
2021-02-24;Nationalt;1791;5881141;2.81;165512
2021-02-25;Nationalt;589;5881141;2.82;166101
2021-02-26;Nationalt;995;5881141;2.84;167096
2021-02-27;Nationalt;1306;5881141;2.86;168402
2021-02-28;Nationalt;1276;5881141;2.89;169678
2021-03-01;Nationalt;1015;5881141;2.90;170693
2021-03-02;Nationalt;1217;5881141;2.92;171910
2021-03-03;Nationalt;970;5881141;2.94;172880
2021-03-04;Nationalt;1746;5881141;2.97;174626
2021-03-05;Nationalt;5415;5881141;3.06;180041
2021-03-06;Nationalt;3740;5881141;3.12;183781
2021-03-07;Nationalt;4045;5881141;3.19;187826
2021-03-08;Nationalt;6132;5881141;3.30;193958
2021-03-09;Nationalt;6756;5881141;3.41;200714
2021-03-10;Nationalt;6804;5881141;3.53;207518
2021-03-11;Nationalt;7550;5881141;3.66;215068
2021-03-12;Nationalt;10014;5881141;3.83;225082
2021-03-13;Nationalt;5574;5881141;3.92;230656
2021-03-14;Nationalt;8992;5881141;4.07;239648
2021-03-15;Nationalt;9465;5881141;4.24;249113
2021-03-16;Nationalt;9037;5881141;4.39;258150
2021-03-17;Nationalt;8729;5881141;4.54;266879
2021-03-18;Nationalt;6936;5881141;4.66;273815
2021-03-19;Nationalt;11286;5881141;4.85;285101
2021-03-20;Nationalt;4618;5881141;4.93;289719
2021-03-21;Nationalt;4521;5881141;5.00;294240
2021-03-22;Nationalt;7485;5881141;5.13;301725
2021-03-23;Nationalt;7337;5881141;5.26;309062
2021-03-24;Nationalt;12965;5881141;5.48;322027
2021-03-25;Nationalt;8135;5881141;5.61;330162
2021-03-26;Nationalt;7571;5881141;5.74;337733
2021-03-27;Nationalt;2998;5881141;5.79;340731
2021-03-28;Nationalt;2718;5881141;5.84;343449
2021-03-29;Nationalt;5979;5881141;5.94;349428
2021-03-30;Nationalt;5858;5881141;6.04;355286
2021-03-31;Nationalt;9371;5881141;6.20;364657
2021-04-01;Nationalt;6692;5881141;6.31;371349
2021-04-02;Nationalt;6781;5881141;6.43;378130
2021-04-03;Nationalt;2135;5881141;6.47;380265
2021-04-04;Nationalt;1740;5881141;6.50;382005
2021-04-05;Nationalt;1283;5881141;6.52;383288
2021-04-06;Nationalt;5884;5881141;6.62;389172
2021-04-07;Nationalt;7946;5881141;6.75;397118
2021-04-08;Nationalt;8250;5881141;6.89;405368
2021-04-09;Nationalt;8449;5881141;7.04;413817
2021-04-10;Nationalt;5322;5881141;7.13;419139
2021-04-11;Nationalt;3846;5881141;7.19;422985
2021-04-12;Nationalt;11313;5881141;7.38;434298
2021-04-13;Nationalt;6078;5881141;7.49;440376
2021-04-14;Nationalt;10915;5881141;7.67;451291
2021-04-15;Nationalt;8924;5881141;7.83;460215
2021-04-16;Nationalt;8006;5881141;7.96;468221
2021-04-17;Nationalt;2703;5881141;8.01;470924
2021-04-18;Nationalt;5066;5881141;8.09;475990
2021-04-19;Nationalt;14144;5881141;8.33;490134
2021-04-20;Nationalt;16643;5881141;8.62;506777
2021-04-21;Nationalt;12543;5881141;8.83;519320
2021-04-22;Nationalt;5305;5881141;8.92;524625
2021-04-23;Nationalt;11076;5881141;9.11;535701
2021-04-24;Nationalt;7513;5881141;9.24;543214
2021-04-25;Nationalt;5245;5881141;9.33;548459
2021-04-26;Nationalt;7803;5881141;9.46;556262
2021-04-27;Nationalt;20666;5881141;9.81;576928
2021-04-28;Nationalt;20327;5881141;10.2;597255
2021-04-29;Nationalt;17746;5881141;10.5;615001
2021-04-30;Nationalt;3936;5881141;10.5;618937
2021-05-01;Nationalt;6073;5881141;10.6;625010
2021-05-02;Nationalt;13705;5881141;10.9;638715
2021-05-03;Nationalt;45385;5881141;11.6;684100
2021-05-04;Nationalt;24613;5881141;12.1;708713
2021-05-05;Nationalt;29060;5881141;12.5;737773
2021-05-06;Nationalt;25412;5881141;13.0;763185
2021-05-07;Nationalt;24440;5881141;13.4;787625
2021-05-08;Nationalt;30650;5881141;13.9;818275
2021-05-09;Nationalt;16604;5881141;14.2;834879
2021-05-10;Nationalt;35922;5881141;14.8;870801
2021-05-11;Nationalt;26129;5881141;15.3;896930
2021-05-12;Nationalt;26870;5881141;15.7;923800
2021-05-13;Nationalt;19610;5881141;16.0;943410
2021-05-14;Nationalt;30631;5881141;16.6;974041
2021-05-15;Nationalt;19329;5881141;16.9;993370
2021-05-16;Nationalt;14013;5881141;17.1;1007383
2021-05-17;Nationalt;30026;5881141;17.6;1037409
2021-05-18;Nationalt;30643;5881141;18.2;1068052
2021-05-19;Nationalt;22543;5881141;18.5;1090595
2021-05-20;Nationalt;22243;5881141;18.9;1112838
2021-05-21;Nationalt;19219;5881141;19.2;1132057
2021-05-22;Nationalt;11851;5881141;19.5;1143908
2021-05-23;Nationalt;6171;5881141;19.6;1150079
2021-05-24;Nationalt;9693;5881141;19.7;1159772
2021-05-25;Nationalt;12866;5881141;19.9;1172638
2021-05-26;Nationalt;12128;5881141;20.1;1184766
2021-05-27;Nationalt;12246;5881141;20.4;1197012
2021-05-28;Nationalt;9468;5881141;20.5;1206480
2021-05-29;Nationalt;5028;5881141;20.6;1211508
2021-05-30;Nationalt;6728;5881141;20.7;1218236
2021-05-31;Nationalt;21010;5881141;21.1;1239246
2021-06-01;Nationalt;16934;5881141;21.4;1256180
2021-06-02;Nationalt;16601;5881141;21.6;1272781
2021-06-03;Nationalt;21768;5881141;22.0;1294549
2021-06-04;Nationalt;12320;5881141;22.2;1306869
2021-06-05;Nationalt;5717;5881141;22.3;1312586
2021-06-06;Nationalt;12986;5881141;22.5;1325572
2021-06-07;Nationalt;19023;5881141;22.9;1344595
2021-06-08;Nationalt;22245;5881141;23.2;1366840
2021-06-09;Nationalt;22223;5881141;23.6;1389063
2021-06-10;Nationalt;14396;5881141;23.9;1403459
2021-06-11;Nationalt;15344;5881141;24.1;1418803
2021-06-12;Nationalt;10178;5881141;24.3;1428981
2021-06-13;Nationalt;10207;5881141;24.5;1439188
2021-06-14;Nationalt;19073;5881141;24.8;1458261
2021-06-15;Nationalt;16914;5881141;25.1;1475175
2021-06-16;Nationalt;24564;5881141;25.5;1499739
2021-06-17;Nationalt;20701;5881141;25.9;1520440
2021-06-18;Nationalt;26226;5881141;26.3;1546666
2021-06-19;Nationalt;17210;5881141;26.6;1563876
2021-06-20;Nationalt;14849;5881141;26.8;1578725
2021-06-21;Nationalt;25314;5881141;27.3;1604039
2021-06-22;Nationalt;26470;5881141;27.7;1630509
2021-06-23;Nationalt;32024;5881141;28.3;1662533
2021-06-24;Nationalt;33961;5881141;28.8;1696494
2021-06-25;Nationalt;32291;5881141;29.4;1728785
2021-06-26;Nationalt;22212;5881141;29.8;1750997
2021-06-27;Nationalt;23928;5881141;30.2;1774925
2021-06-28;Nationalt;33839;5881141;30.8;1808764
2021-06-29;Nationalt;41896;5881141;31.5;1850660
2021-06-30;Nationalt;38367;5881141;32.1;1889027
2021-07-01;Nationalt;40482;5881141;32.8;1929509
2021-07-02;Nationalt;43855;5881141;33.6;1973364
2021-07-03;Nationalt;32545;5881141;34.1;2005909
2021-07-04;Nationalt;29206;5881141;34.6;2035115
2021-07-05;Nationalt;42966;5881141;35.3;2078081
2021-07-06;Nationalt;42259;5881141;36.1;2120340
2021-07-07;Nationalt;39594;5881141;36.7;2159934
2021-07-08;Nationalt;36823;5881141;37.4;2196757
2021-07-09;Nationalt;33160;5881141;37.9;2229917
2021-07-10;Nationalt;21746;5881141;38.3;2251663
2021-07-11;Nationalt;21979;5881141;38.7;2273642
2021-07-12;Nationalt;54491;5881141;39.6;2328133
2021-07-13;Nationalt;49647;5881141;40.4;2377780
2021-07-14;Nationalt;44771;5881141;41.2;2422551
2021-07-15;Nationalt;53493;5881141;42.1;2476044
2021-07-16;Nationalt;43462;5881141;42.8;2519506
2021-07-17;Nationalt;26397;5881141;43.3;2545903
2021-07-18;Nationalt;33867;5881141;43.9;2579770
2021-07-19;Nationalt;54571;5881141;44.8;2634341
2021-07-20;Nationalt;56437;5881141;45.8;2690778
2021-07-21;Nationalt;55061;5881141;46.7;2745839
2021-07-22;Nationalt;51751;5881141;47.6;2797590
2021-07-23;Nationalt;43614;5881141;48.3;2841204
2021-07-24;Nationalt;23678;5881141;48.7;2864882
2021-07-25;Nationalt;31541;5881141;49.2;2896423
2021-07-26;Nationalt;42104;5881141;50.0;2938527
2021-07-27;Nationalt;44829;5881141;50.7;2983356
2021-07-28;Nationalt;43322;5881141;51.5;3026678
2021-07-29;Nationalt;39109;5881141;52.1;3065787
2021-07-30;Nationalt;34783;5881141;52.7;3100570
2021-07-31;Nationalt;20060;5881141;53.1;3120630
2021-08-01;Nationalt;19191;5881141;53.4;3139821
2021-08-02;Nationalt;40680;5881141;54.1;3180501
2021-08-03;Nationalt;43075;5881141;54.8;3223576
2021-08-04;Nationalt;44563;5881141;55.6;3268139
2021-08-05;Nationalt;39896;5881141;56.2;3308035
2021-08-06;Nationalt;39961;5881141;56.9;3347996
2021-08-07;Nationalt;26874;5881141;57.4;3374870
2021-08-08;Nationalt;35811;5881141;58.0;3410681
2021-08-09;Nationalt;55386;5881141;58.9;3466067
2021-08-10;Nationalt;54640;5881141;59.9;3520707
2021-08-11;Nationalt;57460;5881141;60.8;3578167
