"dato";"Regionsnavn";"sex";"1. stik idag";"2. stik idag";"3. stik i idag";"1. stik igaar";"2. stik igaar";"3. stik igaar";"1. stik difference";"2. stik difference";"3. stik difference"
2022-03-22;Hovedstaden;K;773146;758069;574321;773192;758102;574199;-46;-33;122
2022-03-22;Hovedstaden;M;727628;710364;516208;727670;710395;516072;-42;-31;136
2022-03-22;Midtjylland;K;567047;558439;434878;567080;558463;434742;-33;-24;136
2022-03-22;Midtjylland;M;556071;545979;408390;556105;545993;408267;-34;-14;123
2022-03-22;Nordjylland;K;249654;245862;193246;249684;245890;193266;-30;-28;-20
2022-03-22;Nordjylland;M;249440;244693;183987;249465;244718;184006;-25;-25;-19
2022-03-22;Sjælland;K;352759;347455;273656;352788;347477;273647;-29;-22;9
2022-03-22;Sjælland;M;342423;336473;255216;342456;336503;255210;-33;-30;6
2022-03-22;Syddanmark;K;517073;509531;397929;517126;509571;397913;-53;-40;16
2022-03-22;Syddanmark;M;506707;497850;373306;506746;497881;373262;-39;-31;44
