"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal borgere";"Andel 1. stik";"Andel 2. stik"
0-9;K;58982;46177;297893;19.8;15.5
0-9;M;62921;49333;314535;20.0;15.7
10-19;K;264674;254786;329402;80.3;77.3
10-19;M;276077;265053;345819;79.8;76.6
20-29;K;322866;316583;383952;84.1;82.5
20-29;M;328417;319256;399764;82.2;79.9
30-39;K;301905;296348;351962;85.8;84.2
30-39;M;301628;294577;366287;82.3;80.4
40-49;K;336452;333871;366647;91.8;91.1
40-49;M;327873;324814;366924;89.4;88.5
50-59;K;377899;376297;401267;94.2;93.8
50-59;M;379540;377874;405356;93.6;93.2
60-69;K;329432;328644;343012;96.0;95.8
60-69;M;319987;319149;332940;96.1;95.9
70-79;K;298193;297737;306003;97.4;97.3
70-79;M;269229;268880;275845;97.6;97.5
80-89;K;138704;138463;142475;97.4;97.2
80-89;M;103557;103413;105834;97.8;97.7
90+;K;30572;30450;31823;96.1;95.7
90+;M;13040;13010;13401;97.3;97.1
