"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal borgere";"Andel 1. stik";"Andel 2. stik"
00-02;K;6;2;90797;0.0;0.0
00-02;M;1;0;95669;0.0;0.0
03-05;K;7022;5014;90964;7.7;5.5
03-05;M;7658;5409;96275;8.0;5.6
06-11;K;88986;72979;178578;49.8;40.9
06-11;M;93916;77061;187742;50.0;41.0
12-15;K;106396;103131;132770;80.1;77.7
12-15;M;112204;108719;140186;80.0;77.6
16-19;K;121246;119837;134186;90.4;89.3
16-19;M;125219;123197;140482;89.1;87.7
20-39;K;624771;612931;735914;84.9;83.3
20-39;M;630045;613833;766051;82.2;80.1
40-64;K;884358;879700;945762;93.5;93.0
40-64;M;874759;869530;947271;92.3;91.8
65-79;K;457618;456849;471167;97.1;97.0
65-79;M;421870;421187;433794;97.3;97.1
80+;K;169276;168913;174298;97.1;96.9
80+;M;116597;116423;119235;97.8;97.6
