"Regionsnavn";"Aldersgruppe";"sex";"Antal 1. stik";"Antal 2. stik"
Hovedstaden;0-9;K;17309;12966
Hovedstaden;0-9;M;18353;13792
Hovedstaden;10-19;K;75615;71977
Hovedstaden;10-19;M;78617;74635
Hovedstaden;20-29;K;121425;118889
Hovedstaden;20-29;M;114482;110930
Hovedstaden;30-39;K;111780;109494
Hovedstaden;30-39;M;109417;106547
Hovedstaden;40-49;K;110571;109497
Hovedstaden;40-49;M;107335;106179
Hovedstaden;50-59;K;113937;113329
Hovedstaden;50-59;M;113088;112428
Hovedstaden;60-69;K;90441;90176
Hovedstaden;60-69;M;85945;85650
Hovedstaden;70-79;K;83799;83607
Hovedstaden;70-79;M;70301;70177
Hovedstaden;80-89;K;39207;39115
Hovedstaden;80-89;M;26729;26675
Hovedstaden;90+;K;9062;9019
Hovedstaden;90+;M;3361;3351
Midtjylland;0-9;K;15147;11971
Midtjylland;0-9;M;16194;12813
Midtjylland;10-19;K;65290;63161
Midtjylland;10-19;M;67657;65282
Midtjylland;20-29;K;80544;79280
Midtjylland;20-29;M;82080;80171
Midtjylland;30-39;K;68238;67193
Midtjylland;30-39;M;69512;68168
Midtjylland;40-49;K;76121;75680
Midtjylland;40-49;M;74918;74360
Midtjylland;50-59;K;84492;84212
Midtjylland;50-59;M;85095;84803
Midtjylland;60-69;K;74969;74823
Midtjylland;60-69;M;73319;73176
Midtjylland;70-79;K;65560;65501
Midtjylland;70-79;M;61078;61023
Midtjylland;80-89;K;30062;30013
Midtjylland;80-89;M;23212;23183
Midtjylland;90+;K;6624;6605
Midtjylland;90+;M;3006;3000
Nordjylland;0-9;K;6194;4872
Nordjylland;0-9;M;6487;5060
Nordjylland;10-19;K;26975;26060
Nordjylland;10-19;M;28460;27378
Nordjylland;20-29;K;31863;31275
Nordjylland;20-29;M;35559;34572
Nordjylland;30-39;K;27803;27328
Nordjylland;30-39;M;29019;28333
Nordjylland;40-49;K;31794;31599
Nordjylland;40-49;M;31826;31566
Nordjylland;50-59;K;37922;37786
Nordjylland;50-59;M;38388;38226
Nordjylland;60-69;K;36237;36144
Nordjylland;60-69;M;35643;35560
Nordjylland;70-79;K;32302;32261
Nordjylland;70-79;M;30513;30473
Nordjylland;80-89;K;15208;15191
Nordjylland;80-89;M;11954;11938
Nordjylland;90+;K;3356;3346
Nordjylland;90+;M;1591;1587
Sjælland;0-9;K;7651;6094
Sjælland;0-9;M;8291;6594
Sjælland;10-19;K;38526;37210
Sjælland;10-19;M;40951;39436
Sjælland;20-29;K;30949;30205
Sjælland;20-29;M;33910;32933
Sjælland;30-39;K;36764;36019
Sjælland;30-39;M;35908;35037
Sjælland;40-49;K;48936;48545
Sjælland;40-49;M;46595;46157
Sjælland;50-59;K;59945;59674
Sjælland;50-59;M;60248;60023
Sjælland;60-69;K;53256;53127
Sjælland;60-69;M;51761;51614
Sjælland;70-79;K;50406;50321
Sjælland;70-79;M;45927;45866
Sjælland;80-89;K;21912;21866
Sjælland;80-89;M;16877;16862
Sjælland;90+;K;4414;4394
Sjælland;90+;M;1955;1951
Syddanmark;0-9;K;12681;10274
Syddanmark;0-9;M;13596;11074
Syddanmark;10-19;K;58268;56378
Syddanmark;10-19;M;60392;58322
Syddanmark;20-29;K;58085;56934
Syddanmark;20-29;M;62386;60650
Syddanmark;30-39;K;57320;56314
Syddanmark;30-39;M;57772;56492
Syddanmark;40-49;K;69030;68550
Syddanmark;40-49;M;67199;66552
Syddanmark;50-59;K;81603;81296
Syddanmark;50-59;M;82721;82394
Syddanmark;60-69;K;74529;74374
Syddanmark;60-69;M;73319;73149
Syddanmark;70-79;K;66126;66047
Syddanmark;70-79;M;61410;61341
Syddanmark;80-89;K;32315;32278
Syddanmark;80-89;M;24785;24755
Syddanmark;90+;K;7116;7086
Syddanmark;90+;M;3127;3121
