"Regionsnavn";"Aldersgruppe";"sex";"Antal 1. stik";"Antal 2. stik"
Hovedstaden;0-9;K;18462;13874
Hovedstaden;0-9;M;19546;14754
Hovedstaden;10-19;K;81349;77883
Hovedstaden;10-19;M;83865;80017
Hovedstaden;20-29;K;123088;120476
Hovedstaden;20-29;M;116365;112731
Hovedstaden;30-39;K;110826;108644
Hovedstaden;30-39;M;108155;105393
Hovedstaden;40-49;K;112719;111643
Hovedstaden;40-49;M;109461;108335
Hovedstaden;50-59;K;113242;112660
Hovedstaden;50-59;M;112390;111752
Hovedstaden;60-69;K;88879;88612
Hovedstaden;60-69;M;84201;83917
Hovedstaden;70-79;K;81906;81732
Hovedstaden;70-79;M;67970;67850
Hovedstaden;80-89;K;35626;35534
Hovedstaden;80-89;M;23219;23167
Hovedstaden;90+;K;7049;7011
Hovedstaden;90+;M;2456;2448
Midtjylland;0-9;K;16264;12948
Midtjylland;0-9;M;17376;13831
Midtjylland;10-19;K;69860;67836
Midtjylland;10-19;M;71824;69561
Midtjylland;20-29;K;79845;78571
Midtjylland;20-29;M;81706;79774
Midtjylland;30-39;K;68421;67386
Midtjylland;30-39;M;69176;67871
Midtjylland;40-49;K;77884;77454
Midtjylland;40-49;M;76948;76408
Midtjylland;50-59;K;84478;84214
Midtjylland;50-59;M;84946;84660
Midtjylland;60-69;K;74385;74242
Midtjylland;60-69;M;72807;72673
Midtjylland;70-79;K;63636;63580
Midtjylland;70-79;M;58767;58712
Midtjylland;80-89;K;27152;27103
Midtjylland;80-89;M;20358;20332
Midtjylland;90+;K;5122;5105
Midtjylland;90+;M;2163;2157
Nordjylland;0-9;K;6634;5267
Nordjylland;0-9;M;6935;5447
Nordjylland;10-19;K;28883;27995
Nordjylland;10-19;M;30334;29285
Nordjylland;20-29;K;31576;30974
Nordjylland;20-29;M;35322;34331
Nordjylland;30-39;K;27953;27501
Nordjylland;30-39;M;28870;28195
Nordjylland;40-49;K;32470;32277
Nordjylland;40-49;M;32613;32359
Nordjylland;50-59;K;38482;38345
Nordjylland;50-59;M;38910;38760
Nordjylland;60-69;K;35787;35699
Nordjylland;60-69;M;35261;35179
Nordjylland;70-79;K;31537;31498
Nordjylland;70-79;M;29625;29586
Nordjylland;80-89;K;13781;13764
Nordjylland;80-89;M;10447;10432
Nordjylland;90+;K;2551;2542
Nordjylland;90+;M;1123;1119
Sjælland;0-9;K;8166;6527
Sjælland;0-9;M;8863;7074
Sjælland;10-19;K;40946;39695
Sjælland;10-19;M;43455;41993
Sjælland;20-29;K;30321;29562
Sjælland;20-29;M;33055;32068
Sjælland;30-39;K;37533;36794
Sjælland;30-39;M;36327;35479
Sjælland;40-49;K;50684;50304
Sjælland;40-49;M;48558;48137
Sjælland;50-59;K;60040;59772
Sjælland;50-59;M;60242;60012
Sjælland;60-69;K;52836;52705
Sjælland;60-69;M;51338;51202
Sjælland;70-79;K;49271;49197
Sjælland;70-79;M;44617;44558
Sjælland;80-89;K;19597;19553
Sjælland;80-89;M;14581;14567
Sjælland;90+;K;3365;3346
Sjælland;90+;M;1387;1383
Syddanmark;0-9;K;13588;11065
Syddanmark;0-9;M;14576;11938
Syddanmark;10-19;K;62127;60327
Syddanmark;10-19;M;64205;62178
Syddanmark;20-29;K;57288;56112
Syddanmark;20-29;M;61570;59820
Syddanmark;30-39;K;57602;56628
Syddanmark;30-39;M;57681;56441
Syddanmark;40-49;K;71266;70780
Syddanmark;40-49;M;69645;69022
Syddanmark;50-59;K;82032;81736
Syddanmark;50-59;M;82811;82494
Syddanmark;60-69;K;73496;73350
Syddanmark;60-69;M;72634;72475
Syddanmark;70-79;K;64983;64907
Syddanmark;70-79;M;59752;59683
Syddanmark;80-89;K;29206;29168
Syddanmark;80-89;M;21606;21576
Syddanmark;90+;K;5485;5458
Syddanmark;90+;M;2227;2223
