"Regionsnavn";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik"
Hovedstaden;00-02;K;2;0
Hovedstaden;00-02;M;0;0
Hovedstaden;03-05;K;2128;1430
Hovedstaden;03-05;M;2311;1565
Hovedstaden;06-11;K;25672;20120
Hovedstaden;06-11;M;26869;21043
Hovedstaden;12-15;K;30526;29362
Hovedstaden;12-15;M;32375;31146
Hovedstaden;16-19;K;34596;34031
Hovedstaden;16-19;M;35415;34673
Hovedstaden;20-39;K;233205;228383
Hovedstaden;20-39;M;223899;217477
Hovedstaden;40-64;K;271945;270109
Hovedstaden;40-64;M;267138;265145
Hovedstaden;65-79;K;126803;126500
Hovedstaden;65-79;M;109531;109289
Hovedstaden;80+;K;48269;48134
Hovedstaden;80+;M;30090;30026
Midtjylland;00-02;K;2;1
Midtjylland;00-02;M;1;0
Midtjylland;03-05;K;1804;1290
Midtjylland;03-05;M;1977;1392
Midtjylland;06-11;K;22931;19104
Midtjylland;06-11;M;24264;20222
Midtjylland;12-15;K;26115;25418
Midtjylland;12-15;M;27243;26481
Midtjylland;16-19;K;29585;29319
Midtjylland;16-19;M;30366;30000
Midtjylland;20-39;K;148782;146473
Midtjylland;20-39;M;151592;148339
Midtjylland;40-64;K;199097;198290
Midtjylland;40-64;M;197732;196803
Midtjylland;65-79;K;102045;101926
Midtjylland;65-79;M;96678;96559
Midtjylland;80+;K;36686;36618
Midtjylland;80+;M;26218;26183
Nordjylland;00-02;K;0;0
Nordjylland;00-02;M;0;0
Nordjylland;03-05;K;717;525
Nordjylland;03-05;M;776;546
Nordjylland;06-11;K;9293;7690
Nordjylland;06-11;M;9680;7946
Nordjylland;12-15;K;10860;10532
Nordjylland;12-15;M;11546;11187
Nordjylland;16-19;K;12299;12185
Nordjylland;16-19;M;12945;12759
Nordjylland;20-39;K;59666;58603
Nordjylland;20-39;M;64578;62905
Nordjylland;40-64;K;88389;88008
Nordjylland;40-64;M;88627;88155
Nordjylland;65-79;K;49866;49782
Nordjylland;65-79;M;47743;47670
Nordjylland;80+;K;18564;18537
Nordjylland;80+;M;13545;13525
Sjælland;00-02;K;0;0
Sjælland;00-02;M;0;0
Sjælland;03-05;K;927;683
Sjælland;03-05;M;1032;734
Sjælland;06-11;K;11730;9713
Sjælland;06-11;M;12531;10400
Sjælland;12-15;K;15624;15212
Sjælland;12-15;M;16603;16135
Sjælland;16-19;K;17896;17696
Sjælland;16-19;M;19076;18761
Sjælland;20-39;K;67713;66224
Sjælland;20-39;M;69818;67970
Sjælland;40-64;K;136238;135485
Sjælland;40-64;M;133660;132907
Sjælland;65-79;K;76305;76182
Sjælland;65-79;M;70871;70753
Sjælland;80+;K;26326;26260
Sjælland;80+;M;18832;18813
Syddanmark;00-02;K;2;1
Syddanmark;00-02;M;0;0
Syddanmark;03-05;K;1446;1086
Syddanmark;03-05;M;1562;1172
Syddanmark;06-11;K;19360;16352
Syddanmark;06-11;M;20572;17450
Syddanmark;12-15;K;23271;22607
Syddanmark;12-15;M;24437;23770
Syddanmark;16-19;K;26870;26606
Syddanmark;16-19;M;27417;27004
Syddanmark;20-39;K;115405;113248
Syddanmark;20-39;M;120158;117142
Syddanmark;40-64;K;188689;187808
Syddanmark;40-64;M;187602;186520
Syddanmark;65-79;K;102599;102459
Syddanmark;65-79;M;97047;96916
Syddanmark;80+;K;39431;39364
Syddanmark;80+;M;27912;27876
