"Vaccinenavn";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
AstraZeneca Covid-19 vaccine;Nordjylland;17051;107
AstraZeneca Covid-19 vaccine;Midtjylland;34062;270
AstraZeneca Covid-19 vaccine;Syddanmark;30846;508
AstraZeneca Covid-19 vaccine;Hovedstaden;46639;1311
AstraZeneca Covid-19 vaccine;Sjælland;24054;480
Janssen COVID-19 vaccine;Nordjylland;3693;11
Janssen COVID-19 vaccine;Midtjylland;9914;14
Janssen COVID-19 vaccine;Syddanmark;7627;23
Janssen COVID-19 vaccine;Hovedstaden;22804;67
Janssen COVID-19 vaccine;Sjælland;2873;23
Moderna Covid-19 Vaccine;Nordjylland;71408;73701
Moderna Covid-19 Vaccine;Midtjylland;127755;134688
Moderna Covid-19 Vaccine;Syddanmark;136229;169559
Moderna Covid-19 Vaccine;Hovedstaden;153272;169379
Moderna Covid-19 Vaccine;Sjælland;85441;108609
Pfizer BioNTech Covid-19 vacc;Nordjylland;406942;416736
Pfizer BioNTech Covid-19 vacc;Midtjylland;951387;969446
Pfizer BioNTech Covid-19 vacc;Syddanmark;849078;837291
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1278059;1297676
Pfizer BioNTech Covid-19 vacc;Sjælland;582814;574816
