"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
0-9;K;63148;49811;4;302524;20.9;16.5;0.0
0-9;M;67327;53151;1;319441;21.1;16.6;0.0
10-19;K;283231;273908;65048;348179;81.3;78.7;18.7
10-19;M;293748;283195;60795;363721;80.8;77.9;16.7
20-29;K;322193;315808;221499;383395;84.0;82.4;57.8
20-29;M;328058;318841;202703;399437;82.1;79.8;50.7
30-39;K;302369;297006;200339;352575;85.8;84.2;56.8
30-39;M;300240;293453;189135;365069;82.2;80.4;51.8
40-49;K;345035;342481;296584;375314;91.9;91.3;79.0
40-49;M;337212;334262;282386;376345;89.6;88.8;75.0
50-59;K;378256;376721;350578;401672;94.2;93.8;87.3
50-59;M;379281;377667;348743;405133;93.6;93.2;86.1
60-69;K;325322;324553;313276;338934;96.0;95.8;92.4
60-69;M;316147;315358;303605;329141;96.1;95.8;92.2
70-79;K;291205;290791;284949;299011;97.4;97.3;95.3
70-79;M;260551;260213;255006;267181;97.5;97.4;95.4
80-89;K;125184;124943;121954;128956;97.1;96.9;94.6
80-89;M;90009;89878;88053;92290;97.5;97.4;95.4
90+;K;23449;23342;22407;24698;94.9;94.5;90.7
90+;M;9294;9269;8971;9650;96.3;96.1;93.0
