"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
00-02;K;7;2;0;90876;0.0;0.0;0.0
00-02;M;1;0;0;95811;0.0;0.0;0.0
03-04;K;36;16;0;60560;0.1;0.0;0.0
03-04;M;28;14;1;63939;0.0;0.0;0.0
05-11;K;101613;83169;5;215060;47.2;38.7;0.0
05-11;M;107509;87979;3;226463;47.5;38.8;0.0
12-15;K;120189;117415;600;146683;81.9;80.0;0.4
12-15;M;126250;123177;637;154360;81.8;79.8;0.4
16-19;K;124534;123117;64447;137524;90.6;89.5;46.9
16-19;M;127287;125176;60155;142589;89.3;87.8;42.2
20-39;K;624562;612814;421838;735970;84.9;83.3;57.3
20-39;M;628298;612294;391838;764506;82.2;80.1;51.3
40-64;K;891307;886762;807756;952860;93.5;93.1;84.8
40-64;M;882344;877301;789110;955004;92.4;91.9;82.6
65-79;K;448511;447784;437631;462071;97.1;96.9;94.7
65-79;M;410847;410199;400630;422796;97.2;97.0;94.8
80+;K;148633;148285;144361;153654;96.7;96.5;94.0
80+;M;99303;99147;97024;101940;97.4;97.3;95.2
