"Dato";"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;Aalborg;1;0;0;221177;1;0;0;0.00;0.00;0.00
2020-12-11;Aalborg;1;0;0;221177;2;0;0;0.00;0.00;0.00
2020-12-16;Brøndby;1;0;0;35829;1;0;0;0.00;0.00;0.00
2020-12-17;Frederikssund;1;0;0;45881;1;0;0;0.00;0.00;0.00
2020-12-18;Gentofte;1;0;0;74308;1;0;0;0.00;0.00;0.00
2020-12-18;Holbæk;1;0;0;72942;1;0;0;0.00;0.00;0.00
2020-12-19;Frederiksberg;1;0;0;103866;1;0;0;0.00;0.00;0.00
2020-12-20;Rudersdal;1;0;0;57228;1;0;0;0.00;0.00;0.00
2020-12-21;Gentofte;1;0;0;74308;2;0;0;0.00;0.00;0.00
2020-12-21;København;1;0;0;647073;1;0;0;0.00;0.00;0.00
2020-12-21;Århus;1;0;0;355651;1;0;0;0.00;0.00;0.00
2020-12-22;Kolding;1;0;0;93770;1;0;0;0.00;0.00;0.00
2020-12-22;København;1;0;0;647073;2;0;0;0.00;0.00;0.00
2020-12-22;Odder;1;0;0;23378;1;0;0;0.00;0.00;0.00
2020-12-22;Odense;1;0;0;206130;1;0;0;0.00;0.00;0.00
2020-12-22;Århus;1;0;0;355651;2;0;0;0.00;0.00;0.00
2020-12-23;København;2;0;0;647073;4;0;0;0.00;0.00;0.00
2020-12-23;Århus;2;0;0;355651;4;0;0;0.00;0.00;0.00
2020-12-24;Gladsaxe;1;0;0;69261;1;0;0;0.00;0.00;0.00
2020-12-24;København;2;0;0;647073;6;0;0;0.00;0.00;0.00
2020-12-24;Næstved;1;0;0;84015;1;0;0;0.00;0.00;0.00
2020-12-26;Allerød;1;0;0;25871;1;0;0;0.00;0.00;0.00
2020-12-26;Bornholm;1;0;0;39632;1;0;0;0.00;0.00;0.00
2020-12-26;København;1;0;0;647073;7;0;0;0.00;0.00;0.00
2020-12-26;Ringsted;1;0;0;35295;1;0;0;0.00;0.00;0.00
2020-12-26;Roskilde;1;0;0;89603;1;0;0;0.00;0.00;0.00
2020-12-27;Aalborg;722;0;0;221177;724;0;0;0.33;0.00;0.00
2020-12-27;Albertslund;19;0;0;27531;19;0;0;0.07;0.00;0.00
2020-12-27;Allerød;18;0;0;25871;19;0;0;0.07;0.00;0.00
2020-12-27;Assens;6;0;0;40899;6;0;0;0.01;0.00;0.00
2020-12-27;Ballerup;26;0;0;49380;26;0;0;0.05;0.00;0.00
2020-12-27;Bornholm;61;0;0;39632;62;0;0;0.16;0.00;0.00
2020-12-27;Brøndby;17;0;0;35829;18;0;0;0.05;0.00;0.00
2020-12-27;Brønderslev;29;0;0;36315;29;0;0;0.08;0.00;0.00
2020-12-27;Dragør;8;0;0;14580;8;0;0;0.05;0.00;0.00
2020-12-27;Egedal;26;0;0;44537;26;0;0;0.06;0.00;0.00
2020-12-27;Faaborg-Midtfyn;12;0;0;51927;12;0;0;0.02;0.00;0.00
2020-12-27;Favrskov;30;0;0;49002;30;0;0;0.06;0.00;0.00
2020-12-27;Faxe;16;0;0;37128;16;0;0;0.04;0.00;0.00
2020-12-27;Fredensborg;19;0;0;41314;19;0;0;0.05;0.00;0.00
2020-12-27;Frederiksberg;87;0;0;103866;88;0;0;0.08;0.00;0.00
2020-12-27;Frederikshavn;14;0;0;58830;14;0;0;0.02;0.00;0.00
2020-12-27;Frederikssund;15;0;0;45881;16;0;0;0.03;0.00;0.00
2020-12-27;Furesø;27;0;0;41583;27;0;0;0.06;0.00;0.00
2020-12-27;Gentofte;42;0;0;74308;44;0;0;0.06;0.00;0.00
2020-12-27;Gladsaxe;51;0;0;69261;52;0;0;0.08;0.00;0.00
2020-12-27;Glostrup;14;0;0;23519;14;0;0;0.06;0.00;0.00
2020-12-27;Greve;205;0;0;50911;205;0;0;0.40;0.00;0.00
2020-12-27;Gribskov;27;0;0;41241;27;0;0;0.07;0.00;0.00
2020-12-27;Guldborgsund;56;0;0;60228;56;0;0;0.09;0.00;0.00
2020-12-27;Halsnæs;15;0;0;31412;15;0;0;0.05;0.00;0.00
2020-12-27;Hedensted;10;0;0;47195;10;0;0;0.02;0.00;0.00
2020-12-27;Helsingør;34;0;0;62878;34;0;0;0.05;0.00;0.00
2020-12-27;Herlev;50;0;0;28783;50;0;0;0.17;0.00;0.00
2020-12-27;Herning;71;0;0;89430;71;0;0;0.08;0.00;0.00
2020-12-27;Hillerød;58;0;0;53370;58;0;0;0.11;0.00;0.00
2020-12-27;Hjørring;77;0;0;63766;77;0;0;0.12;0.00;0.00
2020-12-27;Holbæk;48;0;0;72942;49;0;0;0.07;0.00;0.00
2020-12-27;Holstebro;16;0;0;58597;16;0;0;0.03;0.00;0.00
2020-12-27;Horsens;53;0;0;95065;53;0;0;0.06;0.00;0.00
2020-12-27;Hvidovre;50;0;0;53212;50;0;0;0.09;0.00;0.00
2020-12-27;Høje Tåstrup;35;0;0;53500;35;0;0;0.07;0.00;0.00
2020-12-27;Hørsholm;13;0;0;24740;13;0;0;0.05;0.00;0.00
2020-12-27;Ikast-Brande;10;0;0;42014;10;0;0;0.02;0.00;0.00
2020-12-27;Ishøj;87;0;0;23271;87;0;0;0.37;0.00;0.00
2020-12-27;Jammerbugt;18;0;0;38147;18;0;0;0.05;0.00;0.00
2020-12-27;Kalundborg;23;0;0;48438;23;0;0;0.05;0.00;0.00
2020-12-27;Kerteminde;3;0;0;24042;3;0;0;0.01;0.00;0.00
2020-12-27;Kolding;1;0;0;93770;2;0;0;0.00;0.00;0.00
2020-12-27;København;625;0;0;647073;632;0;0;0.10;0.00;0.00
2020-12-27;Køge;61;0;0;61760;61;0;0;0.10;0.00;0.00
2020-12-27;Lejre;10;0;0;28593;10;0;0;0.03;0.00;0.00
2020-12-27;Lemvig;1;0;0;19351;1;0;0;0.01;0.00;0.00
2020-12-27;Lolland;8;0;0;40017;8;0;0;0.02;0.00;0.00
2020-12-27;Lyngby-Taarbæk;49;0;0;57966;49;0;0;0.08;0.00;0.00
2020-12-27;Mariagerfjord;24;0;0;41649;24;0;0;0.06;0.00;0.00
2020-12-27;Middelfart;6;0;0;39689;6;0;0;0.02;0.00;0.00
2020-12-27;Morsø;1;0;0;20064;1;0;0;0.00;0.00;0.00
2020-12-27;Norddjurs;9;0;0;36969;9;0;0;0.02;0.00;0.00
2020-12-27;Nordfyn;4;0;0;29753;4;0;0;0.01;0.00;0.00
2020-12-27;Nyborg;6;0;0;32039;6;0;0;0.02;0.00;0.00
2020-12-27;Næstved;33;0;0;84015;34;0;0;0.04;0.00;0.00
2020-12-27;Odder;19;0;0;23378;20;0;0;0.09;0.00;0.00
2020-12-27;Odense;359;0;0;206130;360;0;0;0.17;0.00;0.00
2020-12-27;Odsherred;4;0;0;32845;4;0;0;0.01;0.00;0.00
2020-12-27;Randers;68;0;0;99126;68;0;0;0.07;0.00;0.00
2020-12-27;Rebild;38;0;0;30710;38;0;0;0.12;0.00;0.00
2020-12-27;Ringkøbing-Skjern;15;0;0;56224;15;0;0;0.03;0.00;0.00
2020-12-27;Ringsted;14;0;0;35295;15;0;0;0.04;0.00;0.00
2020-12-27;Roskilde;51;0;0;89603;52;0;0;0.06;0.00;0.00
2020-12-27;Rudersdal;32;0;0;57228;33;0;0;0.06;0.00;0.00
2020-12-27;Rødovre;25;0;0;41503;25;0;0;0.06;0.00;0.00
2020-12-27;Samsø;1;0;0;3707;1;0;0;0.03;0.00;0.00
2020-12-27;Silkeborg;24;0;0;97836;24;0;0;0.02;0.00;0.00
2020-12-27;Skanderborg;44;0;0;64533;44;0;0;0.07;0.00;0.00
2020-12-27;Skive;7;0;0;45037;7;0;0;0.02;0.00;0.00
2020-12-27;Slagelse;457;0;0;79718;457;0;0;0.57;0.00;0.00
2020-12-27;Solrød;108;0;0;23824;108;0;0;0.45;0.00;0.00
2020-12-27;Sorø;22;0;0;29986;22;0;0;0.07;0.00;0.00
2020-12-27;Stevns;20;0;0;23624;20;0;0;0.08;0.00;0.00
2020-12-27;Struer;2;0;0;20799;2;0;0;0.01;0.00;0.00
2020-12-27;Svendborg;1;0;0;59217;1;0;0;0.00;0.00;0.00
2020-12-27;Syddjurs;48;0;0;43731;48;0;0;0.11;0.00;0.00
2020-12-27;Thisted;3;0;0;43048;3;0;0;0.01;0.00;0.00
2020-12-27;Tårnby;17;0;0;42806;17;0;0;0.04;0.00;0.00
2020-12-27;Vallensbæk;12;0;0;16509;12;0;0;0.07;0.00;0.00
2020-12-27;Vejle;3;0;0;119500;3;0;0;0.00;0.00;0.00
2020-12-27;Vesthimmerland;10;0;0;36252;10;0;0;0.03;0.00;0.00
2020-12-27;Viborg;49;0;0;96866;49;0;0;0.05;0.00;0.00
2020-12-27;Vordingborg;15;0;0;45358;15;0;0;0.03;0.00;0.00
2020-12-27;Århus;1218;0;0;355651;1222;0;0;0.34;0.00;0.00
2020-12-28;Aalborg;18;0;0;221177;742;0;0;0.34;0.00;0.00
2020-12-28;Albertslund;5;0;0;27531;24;0;0;0.09;0.00;0.00
2020-12-28;Allerød;1;0;0;25871;20;0;0;0.08;0.00;0.00
2020-12-28;Assens;14;0;0;40899;20;0;0;0.05;0.00;0.00
2020-12-28;Ballerup;13;0;0;49380;39;0;0;0.08;0.00;0.00
2020-12-28;Bornholm;1;0;0;39632;63;0;0;0.16;0.00;0.00
2020-12-28;Brøndby;11;0;0;35829;29;0;0;0.08;0.00;0.00
2020-12-28;Brønderslev;9;0;0;36315;38;0;0;0.10;0.00;0.00
2020-12-28;Egedal;10;0;0;44537;36;0;0;0.08;0.00;0.00
2020-12-28;Esbjerg;1;0;0;115457;1;0;0;0.00;0.00;0.00
2020-12-28;Faaborg-Midtfyn;22;0;0;51927;34;0;0;0.07;0.00;0.00
2020-12-28;Favrskov;14;0;0;49002;44;0;0;0.09;0.00;0.00
2020-12-28;Faxe;13;0;0;37128;29;0;0;0.08;0.00;0.00
2020-12-28;Fredensborg;5;0;0;41314;24;0;0;0.06;0.00;0.00
2020-12-28;Frederiksberg;20;0;0;103866;108;0;0;0.10;0.00;0.00
2020-12-28;Frederikshavn;15;0;0;58830;29;0;0;0.05;0.00;0.00
2020-12-28;Frederikssund;5;0;0;45881;21;0;0;0.05;0.00;0.00
2020-12-28;Furesø;11;0;0;41583;38;0;0;0.09;0.00;0.00
2020-12-28;Gentofte;18;0;0;74308;62;0;0;0.08;0.00;0.00
2020-12-28;Gladsaxe;17;0;0;69261;69;0;0;0.10;0.00;0.00
2020-12-28;Glostrup;3;0;0;23519;17;0;0;0.07;0.00;0.00
2020-12-28;Greve;14;0;0;50911;219;0;0;0.43;0.00;0.00
2020-12-28;Gribskov;1;0;0;41241;28;0;0;0.07;0.00;0.00
2020-12-28;Guldborgsund;87;0;0;60228;143;0;0;0.24;0.00;0.00
2020-12-28;Haderslev;1;0;0;55255;1;0;0;0.00;0.00;0.00
2020-12-28;Hedensted;1;0;0;47195;11;0;0;0.02;0.00;0.00
2020-12-28;Helsingør;2;0;0;62878;36;0;0;0.06;0.00;0.00
2020-12-28;Herlev;112;0;0;28783;162;0;0;0.56;0.00;0.00
2020-12-28;Hillerød;4;0;0;53370;62;0;0;0.12;0.00;0.00
2020-12-28;Hjørring;54;0;0;63766;131;0;0;0.21;0.00;0.00
2020-12-28;Holbæk;80;0;0;72942;129;0;0;0.18;0.00;0.00
2020-12-28;Holstebro;1;0;0;58597;17;0;0;0.03;0.00;0.00
