"Dato";"Aldersgruppe";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;40-49;Nordjylland;1;0;0;69245;1;0;0;0.00;0.00;0.00
2020-12-11;20-29;Nordjylland;1;0;0;78424;1;0;0;0.00;0.00;0.00
2020-12-16;20-29;Hovedstaden;1;0;0;287937;1;0;0;0.00;0.00;0.00
2020-12-17;30-39;Hovedstaden;1;0;0;265191;1;0;0;0.00;0.00;0.00
2020-12-18;10-19;Sjælland;1;0;0;99951;1;0;0;0.00;0.00;0.00
2020-12-18;30-39;Hovedstaden;1;0;0;265191;2;0;0;0.00;0.00;0.00
2020-12-19;80-89;Hovedstaden;1;0;0;67950;1;0;0;0.00;0.00;0.00
2020-12-20;40-49;Hovedstaden;1;0;0;243316;1;0;0;0.00;0.00;0.00
2020-12-21;30-39;Midtjylland;1;0;0;160355;1;0;0;0.00;0.00;0.00
2020-12-21;40-49;Hovedstaden;2;0;0;243316;3;0;0;0.00;0.00;0.00
2020-12-22;20-29;Syddanmark;1;0;0;145539;1;0;0;0.00;0.00;0.00
2020-12-22;40-49;Midtjylland;2;0;0;164298;2;0;0;0.00;0.00;0.00
2020-12-22;40-49;Syddanmark;1;0;0;149852;1;0;0;0.00;0.00;0.00
2020-12-22;60-69;Hovedstaden;1;0;0;185043;1;0;0;0.00;0.00;0.00
2020-12-23;40-49;Midtjylland;1;0;0;164298;3;0;0;0.00;0.00;0.00
2020-12-23;50-59;Hovedstaden;1;0;0;244227;1;0;0;0.00;0.00;0.00
2020-12-23;90+;Hovedstaden;1;0;0;12917;1;0;0;0.01;0.00;0.00
2020-12-23;90+;Midtjylland;1;0;0;9945;1;0;0;0.01;0.00;0.00
2020-12-24;20-29;Hovedstaden;1;0;0;287937;2;0;0;0.00;0.00;0.00
2020-12-24;20-29;Sjælland;1;0;0;81952;1;0;0;0.00;0.00;0.00
2020-12-24;40-49;Hovedstaden;1;0;0;243316;4;0;0;0.00;0.00;0.00
2020-12-24;70-79;Hovedstaden;1;0;0;158780;1;0;0;0.00;0.00;0.00
2020-12-26;20-29;Hovedstaden;1;0;0;287937;3;0;0;0.00;0.00;0.00
2020-12-26;30-39;Sjælland;1;0;0;89598;1;0;0;0.00;0.00;0.00
2020-12-26;50-59;Sjælland;1;0;0;128382;1;0;0;0.00;0.00;0.00
2020-12-26;60-69;Hovedstaden;1;0;0;185043;2;0;0;0.00;0.00;0.00
2020-12-26;70-79;Hovedstaden;1;0;0;158780;2;0;0;0.00;0.00;0.00
2020-12-27;10-19;Hovedstaden;1;0;0;203984;1;0;0;0.00;0.00;0.00
2020-12-27;10-19;Midtjylland;4;0;0;159631;4;0;0;0.00;0.00;0.00
2020-12-27;10-19;Sjælland;1;0;0;99951;2;0;0;0.00;0.00;0.00
2020-12-27;20-29;Hovedstaden;157;0;0;287937;160;0;0;0.06;0.00;0.00
2020-12-27;20-29;Midtjylland;154;0;0;190049;154;0;0;0.08;0.00;0.00
2020-12-27;20-29;Nordjylland;127;0;0;78424;128;0;0;0.16;0.00;0.00
2020-12-27;20-29;Sjælland;46;0;0;81952;47;0;0;0.06;0.00;0.00
2020-12-27;20-29;Syddanmark;16;0;0;145539;17;0;0;0.01;0.00;0.00
2020-12-27;30-39;Hovedstaden;297;0;0;265191;299;0;0;0.11;0.00;0.00
2020-12-27;30-39;Midtjylland;185;0;0;160355;186;0;0;0.12;0.00;0.00
2020-12-27;30-39;Nordjylland;111;0;0;66486;111;0;0;0.17;0.00;0.00
2020-12-27;30-39;Sjælland;101;0;0;89598;102;0;0;0.11;0.00;0.00
2020-12-27;30-39;Syddanmark;21;0;0;137113;21;0;0;0.02;0.00;0.00
2020-12-27;40-49;Hovedstaden;329;0;0;243316;333;0;0;0.14;0.00;0.00
2020-12-27;40-49;Midtjylland;256;0;0;164298;259;0;0;0.16;0.00;0.00
2020-12-27;40-49;Nordjylland;138;0;0;69245;139;0;0;0.20;0.00;0.00
2020-12-27;40-49;Sjælland;169;0;0;106563;169;0;0;0.16;0.00;0.00
2020-12-27;40-49;Syddanmark;53;0;0;149852;54;0;0;0.04;0.00;0.00
2020-12-27;50-59;Hovedstaden;333;0;0;244227;334;0;0;0.14;0.00;0.00
2020-12-27;50-59;Midtjylland;295;0;0;178874;295;0;0;0.16;0.00;0.00
2020-12-27;50-59;Nordjylland;169;0;0;80670;169;0;0;0.21;0.00;0.00
2020-12-27;50-59;Sjælland;206;0;0;128382;207;0;0;0.16;0.00;0.00
2020-12-27;50-59;Syddanmark;72;0;0;174579;72;0;0;0.04;0.00;0.00
2020-12-27;60-69;Hovedstaden;255;0;0;185043;257;0;0;0.14;0.00;0.00
2020-12-27;60-69;Midtjylland;273;0;0;153446;273;0;0;0.18;0.00;0.00
2020-12-27;60-69;Nordjylland;143;0;0;74467;143;0;0;0.19;0.00;0.00
2020-12-27;60-69;Sjælland;155;0;0;109597;155;0;0;0.14;0.00;0.00
2020-12-27;60-69;Syddanmark;47;0;0;153601;47;0;0;0.03;0.00;0.00
2020-12-27;70-79;Hovedstaden;62;0;0;158780;64;0;0;0.04;0.00;0.00
2020-12-27;70-79;Midtjylland;168;0;0;129373;168;0;0;0.13;0.00;0.00
