"Dato";"Aldersgruppe";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;40-64;Nordjylland;1;0;0;190610;1;0;0;0.00;0.00;0.00
2020-12-11;20-39;Nordjylland;1;0;0;144405;1;0;0;0.00;0.00;0.00
2020-12-16;20-39;Hovedstaden;1;0;0;554475;1;0;0;0.00;0.00;0.00
2020-12-17;20-39;Hovedstaden;1;0;0;554475;2;0;0;0.00;0.00;0.00
2020-12-18;16-19;Sjælland;1;0;0;41222;1;0;0;0.00;0.00;0.00
2020-12-18;20-39;Hovedstaden;1;0;0;554475;3;0;0;0.00;0.00;0.00
2020-12-19;80+;Hovedstaden;1;0;0;70593;1;0;0;0.00;0.00;0.00
2020-12-20;40-64;Hovedstaden;1;0;0;587867;1;0;0;0.00;0.00;0.00
2020-12-21;20-39;Hovedstaden;1;0;0;554475;4;0;0;0.00;0.00;0.00
2020-12-21;20-39;Midtjylland;1;0;0;349156;1;0;0;0.00;0.00;0.00
2020-12-21;40-64;Hovedstaden;1;0;0;587867;2;0;0;0.00;0.00;0.00
2020-12-22;20-39;Midtjylland;1;0;0;349156;2;0;0;0.00;0.00;0.00
2020-12-22;20-39;Syddanmark;2;0;0;281186;2;0;0;0.00;0.00;0.00
2020-12-22;40-64;Hovedstaden;1;0;0;587867;3;0;0;0.00;0.00;0.00
2020-12-22;40-64;Midtjylland;1;0;0;425548;1;0;0;0.00;0.00;0.00
2020-12-23;40-64;Hovedstaden;1;0;0;587867;4;0;0;0.00;0.00;0.00
2020-12-23;40-64;Midtjylland;1;0;0;425548;2;0;0;0.00;0.00;0.00
2020-12-23;80+;Hovedstaden;1;0;0;70593;2;0;0;0.00;0.00;0.00
2020-12-23;80+;Midtjylland;1;0;0;56037;1;0;0;0.00;0.00;0.00
2020-12-24;20-39;Hovedstaden;1;0;0;554475;5;0;0;0.00;0.00;0.00
2020-12-24;20-39;Sjælland;1;0;0;171254;1;0;0;0.00;0.00;0.00
2020-12-24;40-64;Hovedstaden;1;0;0;587867;5;0;0;0.00;0.00;0.00
2020-12-24;65-79;Hovedstaden;1;0;0;238700;1;0;0;0.00;0.00;0.00
2020-12-26;20-39;Hovedstaden;1;0;0;554475;6;0;0;0.00;0.00;0.00
2020-12-26;20-39;Sjælland;1;0;0;171254;2;0;0;0.00;0.00;0.00
2020-12-26;40-64;Sjælland;1;0;0;295436;1;0;0;0.00;0.00;0.00
2020-12-26;65-79;Hovedstaden;2;0;0;238700;3;0;0;0.00;0.00;0.00
2020-12-27;12-15;Sjælland;1;0;0;45077;1;0;0;0.00;0.00;0.00
2020-12-27;16-19;Hovedstaden;2;0;0;83115;2;0;0;0.00;0.00;0.00
2020-12-27;16-19;Midtjylland;14;0;0;67081;14;0;0;0.02;0.00;0.00
2020-12-27;16-19;Nordjylland;3;0;0;28095;3;0;0;0.01;0.00;0.00
2020-12-27;16-19;Sjælland;1;0;0;41222;2;0;0;0.00;0.00;0.00
2020-12-27;16-19;Syddanmark;2;0;0;60600;2;0;0;0.00;0.00;0.00
2020-12-27;20-39;Hovedstaden;496;0;0;554475;502;0;0;0.09;0.00;0.00
2020-12-27;20-39;Midtjylland;362;0;0;349156;364;0;0;0.10;0.00;0.00
2020-12-27;20-39;Nordjylland;253;0;0;144405;254;0;0;0.18;0.00;0.00
2020-12-27;20-39;Sjælland;162;0;0;171254;164;0;0;0.10;0.00;0.00
2020-12-27;20-39;Syddanmark;39;0;0;281186;41;0;0;0.01;0.00;0.00
2020-12-27;40-64;Hovedstaden;811;0;0;587867;816;0;0;0.14;0.00;0.00
2020-12-27;40-64;Midtjylland;711;0;0;425548;713;0;0;0.17;0.00;0.00
2020-12-27;40-64;Nordjylland;401;0;0;190610;402;0;0;0.21;0.00;0.00
2020-12-27;40-64;Sjælland;467;0;0;295436;468;0;0;0.16;0.00;0.00
2020-12-27;40-64;Syddanmark;157;0;0;408403;157;0;0;0.04;0.00;0.00
2020-12-27;65-79;Hovedstaden;136;0;0;238700;139;0;0;0.06;0.00;0.00
2020-12-27;65-79;Midtjylland;267;0;0;198622;267;0;0;0.13;0.00;0.00
2020-12-27;65-79;Nordjylland;115;0;0;98056;115;0;0;0.12;0.00;0.00
2020-12-27;65-79;Sjælland;214;0;0;148567;214;0;0;0.14;0.00;0.00
2020-12-27;65-79;Syddanmark;81;0;0;200922;81;0;0;0.04;0.00;0.00
2020-12-27;80+;Hovedstaden;114;0;0;70593;116;0;0;0.16;0.00;0.00
2020-12-27;80+;Midtjylland;341;0;0;56037;342;0;0;0.61;0.00;0.00
2020-12-27;80+;Nordjylland;164;0;0;28642;164;0;0;0.57;0.00;0.00
2020-12-27;80+;Sjælland;306;0;0;40197;306;0;0;0.76;0.00;0.00
2020-12-27;80+;Syddanmark;122;0;0;60125;122;0;0;0.20;0.00;0.00
2020-12-28;12-15;Syddanmark;1;0;0;64584;1;0;0;0.00;0.00;0.00
2020-12-28;16-19;Hovedstaden;3;0;0;83115;5;0;0;0.01;0.00;0.00
2020-12-28;16-19;Syddanmark;2;0;0;60600;4;0;0;0.01;0.00;0.00
2020-12-28;20-39;Hovedstaden;137;0;0;554475;639;0;0;0.12;0.00;0.00
2020-12-28;20-39;Midtjylland;59;0;0;349156;423;0;0;0.12;0.00;0.00
2020-12-28;20-39;Nordjylland;25;0;0;144405;279;0;0;0.19;0.00;0.00
2020-12-28;20-39;Sjælland;141;0;0;171254;305;0;0;0.18;0.00;0.00
2020-12-28;20-39;Syddanmark;112;0;0;281186;153;0;0;0.05;0.00;0.00
2020-12-28;40-64;Hovedstaden;199;0;0;587867;1015;0;0;0.17;0.00;0.00
2020-12-28;40-64;Midtjylland;124;0;0;425548;837;0;0;0.20;0.00;0.00
2020-12-28;40-64;Nordjylland;75;0;0;190610;477;0;0;0.25;0.00;0.00
2020-12-28;40-64;Sjælland;381;0;0;295436;849;0;0;0.29;0.00;0.00
2020-12-28;40-64;Syddanmark;309;0;0;408403;466;0;0;0.11;0.00;0.00
2020-12-28;65-79;Hovedstaden;65;0;0;238700;204;0;0;0.09;0.00;0.00
2020-12-28;65-79;Midtjylland;11;0;0;198622;278;0;0;0.14;0.00;0.00
2020-12-28;65-79;Nordjylland;5;0;0;98056;120;0;0;0.12;0.00;0.00
2020-12-28;65-79;Sjælland;29;0;0;148567;243;0;0;0.16;0.00;0.00
2020-12-28;65-79;Syddanmark;72;0;0;200922;153;0;0;0.08;0.00;0.00
2020-12-28;80+;Hovedstaden;61;0;0;70593;177;0;0;0.25;0.00;0.00
2020-12-28;80+;Sjælland;1;0;0;40197;307;0;0;0.76;0.00;0.00
2020-12-28;80+;Syddanmark;94;0;0;60125;216;0;0;0.36;0.00;0.00
2020-12-29;16-19;Hovedstaden;7;0;0;83115;12;0;0;0.01;0.00;0.00
2020-12-29;16-19;Midtjylland;5;0;0;67081;19;0;0;0.03;0.00;0.00
2020-12-29;16-19;Nordjylland;3;0;0;28095;6;0;0;0.02;0.00;0.00
2020-12-29;16-19;Syddanmark;3;0;0;60600;7;0;0;0.01;0.00;0.00
2020-12-29;20-39;Hovedstaden;1022;0;0;554475;1661;0;0;0.30;0.00;0.00
2020-12-29;20-39;Midtjylland;212;0;0;349156;635;0;0;0.18;0.00;0.00
2020-12-29;20-39;Nordjylland;25;0;0;144405;304;0;0;0.21;0.00;0.00
2020-12-29;20-39;Sjælland;355;0;0;171254;660;0;0;0.39;0.00;0.00
2020-12-29;20-39;Syddanmark;347;0;0;281186;500;0;0;0.18;0.00;0.00
2020-12-29;40-64;Hovedstaden;1788;0;0;587867;2803;0;0;0.48;0.00;0.00
2020-12-29;40-64;Midtjylland;465;0;0;425548;1302;0;0;0.31;0.00;0.00
2020-12-29;40-64;Nordjylland;116;1;0;190610;593;1;0;0.31;0.00;0.00
2020-12-29;40-64;Sjælland;911;0;0;295436;1760;0;0;0.60;0.00;0.00
2020-12-29;40-64;Syddanmark;919;0;0;408403;1385;0;0;0.34;0.00;0.00
2020-12-29;65-79;Hovedstaden;299;0;0;238700;503;0;0;0.21;0.00;0.00
2020-12-29;65-79;Midtjylland;115;0;0;198622;393;0;0;0.20;0.00;0.00
2020-12-29;65-79;Nordjylland;42;0;0;98056;162;0;0;0.17;0.00;0.00
2020-12-29;65-79;Sjælland;240;0;0;148567;483;0;0;0.33;0.00;0.00
2020-12-29;65-79;Syddanmark;204;0;0;200922;357;0;0;0.18;0.00;0.00
2020-12-29;80+;Hovedstaden;240;0;0;70593;417;0;0;0.59;0.00;0.00
2020-12-29;80+;Midtjylland;189;0;0;56037;531;0;0;0.95;0.00;0.00
2020-12-29;80+;Nordjylland;81;0;0;28642;245;0;0;0.86;0.00;0.00
2020-12-29;80+;Sjælland;272;0;0;40197;579;0;0;1.44;0.00;0.00
2020-12-29;80+;Syddanmark;252;0;0;60125;468;0;0;0.78;0.00;0.00
2020-12-30;16-19;Hovedstaden;16;0;0;83115;28;0;0;0.03;0.00;0.00
2020-12-30;16-19;Midtjylland;7;0;0;67081;26;0;0;0.04;0.00;0.00
2020-12-30;16-19;Nordjylland;17;0;0;28095;23;0;0;0.08;0.00;0.00
2020-12-30;16-19;Sjælland;4;0;0;41222;6;0;0;0.01;0.00;0.00
2020-12-30;16-19;Syddanmark;5;0;0;60600;12;0;0;0.02;0.00;0.00
2020-12-30;20-39;Hovedstaden;1068;0;0;554475;2729;0;0;0.49;0.00;0.00
2020-12-30;20-39;Midtjylland;289;0;0;349156;924;0;0;0.26;0.00;0.00
2020-12-30;20-39;Nordjylland;460;0;0;144405;764;0;0;0.53;0.00;0.00
2020-12-30;20-39;Sjælland;308;0;0;171254;968;0;0;0.57;0.00;0.00
2020-12-30;20-39;Syddanmark;508;0;0;281186;1008;0;0;0.36;0.00;0.00
2020-12-30;40-64;Hovedstaden;1802;0;0;587867;4605;0;0;0.78;0.00;0.00
2020-12-30;40-64;Midtjylland;595;0;0;425548;1897;0;0;0.45;0.00;0.00
2020-12-30;40-64;Nordjylland;1006;0;0;190610;1599;1;0;0.84;0.00;0.00
2020-12-30;40-64;Sjælland;885;0;0;295436;2645;0;0;0.90;0.00;0.00
2020-12-30;40-64;Syddanmark;1142;0;0;408403;2527;0;0;0.62;0.00;0.00
2020-12-30;65-79;Hovedstaden;264;0;0;238700;767;0;0;0.32;0.00;0.00
2020-12-30;65-79;Midtjylland;112;0;0;198622;505;0;0;0.25;0.00;0.00
2020-12-30;65-79;Nordjylland;193;0;0;98056;355;0;0;0.36;0.00;0.00
2020-12-30;65-79;Sjælland;211;0;0;148567;694;0;0;0.47;0.00;0.00
2020-12-30;65-79;Syddanmark;251;0;0;200922;608;0;0;0.30;0.00;0.00
2020-12-30;80+;Hovedstaden;198;0;0;70593;615;0;0;0.87;0.00;0.00
2020-12-30;80+;Midtjylland;143;0;0;56037;674;0;0;1.20;0.00;0.00
2020-12-30;80+;Nordjylland;330;0;0;28642;575;0;0;2.01;0.00;0.00
2020-12-30;80+;Sjælland;306;0;0;40197;885;0;0;2.20;0.00;0.00
2020-12-30;80+;Syddanmark;288;0;0;60125;756;0;0;1.26;0.00;0.00
2020-12-31;16-19;Hovedstaden;5;0;0;83115;33;0;0;0.04;0.00;0.00
2020-12-31;16-19;Midtjylland;1;0;0;67081;27;0;0;0.04;0.00;0.00
2020-12-31;16-19;Nordjylland;9;0;0;28095;32;0;0;0.11;0.00;0.00
2020-12-31;16-19;Sjælland;1;0;0;41222;7;0;0;0.02;0.00;0.00
2020-12-31;16-19;Syddanmark;4;0;0;60600;16;0;0;0.03;0.00;0.00
2020-12-31;20-39;Hovedstaden;376;0;0;554475;3105;0;0;0.56;0.00;0.00
2020-12-31;20-39;Midtjylland;180;0;0;349156;1104;0;0;0.32;0.00;0.00
2020-12-31;20-39;Nordjylland;99;0;0;144405;863;0;0;0.60;0.00;0.00
2020-12-31;20-39;Sjælland;171;0;0;171254;1139;0;0;0.67;0.00;0.00
2020-12-31;20-39;Syddanmark;245;0;0;281186;1253;0;0;0.45;0.00;0.00
2020-12-31;40-64;Hovedstaden;726;0;0;587867;5331;0;0;0.91;0.00;0.00
2020-12-31;40-64;Midtjylland;450;0;0;425548;2347;0;0;0.55;0.00;0.00
2020-12-31;40-64;Nordjylland;260;0;0;190610;1859;1;0;0.98;0.00;0.00
2020-12-31;40-64;Sjælland;564;0;0;295436;3209;0;0;1.09;0.00;0.00
2020-12-31;40-64;Syddanmark;639;0;0;408403;3166;0;0;0.78;0.00;0.00
2020-12-31;65-79;Hovedstaden;178;0;0;238700;945;0;0;0.40;0.00;0.00
2020-12-31;65-79;Midtjylland;136;0;0;198622;641;0;0;0.32;0.00;0.00
2020-12-31;65-79;Nordjylland;80;0;0;98056;435;0;0;0.44;0.00;0.00
2020-12-31;65-79;Sjælland;181;0;0;148567;875;0;0;0.59;0.00;0.00
2020-12-31;65-79;Syddanmark;132;0;0;200922;740;0;0;0.37;0.00;0.00
2020-12-31;80+;Hovedstaden;235;0;0;70593;850;0;0;1.20;0.00;0.00
2020-12-31;80+;Midtjylland;228;0;0;56037;902;0;0;1.61;0.00;0.00
2020-12-31;80+;Nordjylland;134;0;0;28642;709;0;0;2.48;0.00;0.00
2020-12-31;80+;Sjælland;225;0;0;40197;1110;0;0;2.76;0.00;0.00
2020-12-31;80+;Syddanmark;163;0;0;60125;919;0;0;1.53;0.00;0.00
2021-01-01;16-19;Hovedstaden;1;0;0;83115;34;0;0;0.04;0.00;0.00
2021-01-01;16-19;Midtjylland;1;0;0;67081;28;0;0;0.04;0.00;0.00
2021-01-01;16-19;Sjælland;8;0;0;41222;15;0;0;0.04;0.00;0.00
2021-01-01;16-19;Syddanmark;4;0;0;60600;20;0;0;0.03;0.00;0.00
2021-01-01;20-39;Hovedstaden;188;0;0;554475;3293;0;0;0.59;0.00;0.00
2021-01-01;20-39;Midtjylland;39;0;0;349156;1143;0;0;0.33;0.00;0.00
2021-01-01;20-39;Nordjylland;3;0;0;144405;866;0;0;0.60;0.00;0.00
2021-01-01;20-39;Sjælland;81;0;0;171254;1220;0;0;0.71;0.00;0.00
2021-01-01;20-39;Syddanmark;63;0;0;281186;1316;0;0;0.47;0.00;0.00
2021-01-01;40-64;Hovedstaden;411;0;0;587867;5742;0;0;0.98;0.00;0.00
2021-01-01;40-64;Midtjylland;75;0;0;425548;2422;0;0;0.57;0.00;0.00
2021-01-01;40-64;Nordjylland;5;0;0;190610;1864;1;0;0.98;0.00;0.00
2021-01-01;40-64;Sjælland;165;0;0;295436;3374;0;0;1.14;0.00;0.00
2021-01-01;40-64;Syddanmark;288;0;0;408403;3454;0;0;0.85;0.00;0.00
2021-01-01;65-79;Hovedstaden;192;0;0;238700;1137;0;0;0.48;0.00;0.00
2021-01-01;65-79;Midtjylland;10;0;0;198622;651;0;0;0.33;0.00;0.00
2021-01-01;65-79;Sjælland;16;0;0;148567;891;0;0;0.60;0.00;0.00
2021-01-01;65-79;Syddanmark;74;0;0;200922;814;0;0;0.41;0.00;0.00
2021-01-01;80+;Hovedstaden;273;0;0;70593;1123;0;0;1.59;0.00;0.00
2021-01-01;80+;Sjælland;12;0;0;40197;1122;0;0;2.79;0.00;0.00
2021-01-01;80+;Syddanmark;143;0;0;60125;1062;0;0;1.77;0.00;0.00
2021-01-02;16-19;Hovedstaden;1;0;0;83115;35;0;0;0.04;0.00;0.00
2021-01-02;16-19;Midtjylland;9;0;0;67081;37;0;0;0.06;0.00;0.00
2021-01-02;16-19;Nordjylland;2;0;0;28095;34;0;0;0.12;0.00;0.00
2021-01-02;16-19;Syddanmark;10;0;0;60600;30;0;0;0.05;0.00;0.00
2021-01-02;20-39;Hovedstaden;318;0;0;554475;3611;0;0;0.65;0.00;0.00
2021-01-02;20-39;Midtjylland;300;0;0;349156;1443;0;0;0.41;0.00;0.00
2021-01-02;20-39;Nordjylland;331;0;0;144405;1197;0;0;0.83;0.00;0.00
2021-01-02;20-39;Sjælland;106;0;0;171254;1326;0;0;0.77;0.00;0.00
2021-01-02;20-39;Syddanmark;218;0;0;281186;1534;0;0;0.55;0.00;0.00
2021-01-02;40-64;Hovedstaden;870;0;0;587867;6612;0;0;1.12;0.00;0.00
2021-01-02;40-64;Midtjylland;998;0;0;425548;3420;0;0;0.80;0.00;0.00
2021-01-02;40-64;Nordjylland;852;0;0;190610;2716;1;0;1.42;0.00;0.00
2021-01-02;40-64;Sjælland;275;0;0;295436;3649;0;0;1.24;0.00;0.00
2021-01-02;40-64;Syddanmark;771;0;0;408403;4225;0;0;1.03;0.00;0.00
2021-01-02;65-79;Hovedstaden;373;0;0;238700;1510;0;0;0.63;0.00;0.00
2021-01-02;65-79;Midtjylland;326;0;0;198622;977;0;0;0.49;0.00;0.00
2021-01-02;65-79;Nordjylland;137;0;0;98056;572;0;0;0.58;0.00;0.00
2021-01-02;65-79;Sjælland;17;0;0;148567;908;0;0;0.61;0.00;0.00
2021-01-02;65-79;Syddanmark;259;0;0;200922;1073;0;0;0.53;0.00;0.00
2021-01-02;80+;Hovedstaden;438;0;0;70593;1561;0;0;2.21;0.00;0.00
2021-01-02;80+;Midtjylland;469;0;0;56037;1371;0;0;2.45;0.00;0.00
2021-01-02;80+;Nordjylland;214;0;0;28642;923;0;0;3.22;0.00;0.00
2021-01-02;80+;Sjælland;1;0;0;40197;1123;0;0;2.79;0.00;0.00
2021-01-02;80+;Syddanmark;424;0;0;60125;1486;0;0;2.47;0.00;0.00
2021-01-03;16-19;Hovedstaden;6;0;0;83115;41;0;0;0.05;0.00;0.00
2021-01-03;16-19;Midtjylland;6;0;0;67081;43;0;0;0.06;0.00;0.00
2021-01-03;16-19;Sjælland;1;0;0;41222;16;0;0;0.04;0.00;0.00
2021-01-03;16-19;Syddanmark;2;0;0;60600;32;0;0;0.05;0.00;0.00
2021-01-03;20-39;Hovedstaden;255;0;0;554475;3866;0;0;0.70;0.00;0.00
2021-01-03;20-39;Midtjylland;341;0;0;349156;1784;0;0;0.51;0.00;0.00
2021-01-03;20-39;Nordjylland;6;0;0;144405;1203;0;0;0.83;0.00;0.00
2021-01-03;20-39;Sjælland;26;0;0;171254;1352;0;0;0.79;0.00;0.00
2021-01-03;20-39;Syddanmark;88;0;0;281186;1622;0;0;0.58;0.00;0.00
2021-01-03;40-64;Hovedstaden;741;0;0;587867;7353;0;0;1.25;0.00;0.00
2021-01-03;40-64;Midtjylland;1025;0;0;425548;4445;0;0;1.04;0.00;0.00
2021-01-03;40-64;Nordjylland;7;0;0;190610;2723;1;0;1.43;0.00;0.00
2021-01-03;40-64;Sjælland;69;0;0;295436;3718;0;0;1.26;0.00;0.00
