"Dato";"Kommune";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal 1. stik siden i går";"Antal 2. stik siden i går";"Antal 3. stik siden i går";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
2022-03-30;Aabenraa;K;23842;23545;18501;0;0;0;29412;81.1;80.1;62.9
2022-03-30;Aabenraa;M;23333;22986;17460;1;1;1;29326;79.6;78.4;59.5
2022-03-30;Aalborg;K;93054;91590;71303;-5;-5;1;109727;84.8;83.5;65.0
2022-03-30;Aalborg;M;93082;91161;67355;-10;-10;-9;111450;83.5;81.8;60.4
2022-03-30;Albertslund;K;10547;10254;7325;-1;-3;2;13881;76.0;73.9;52.8
2022-03-30;Albertslund;M;10038;9715;6768;-1;-2;1;13650;73.5;71.2;49.6
2022-03-30;Allerød;K;11273;11106;8705;0;0;3;13203;85.4;84.1;65.9
2022-03-30;Allerød;M;10705;10506;8055;3;3;5;12668;84.5;82.9;63.6
2022-03-30;Assens;K;17493;17251;13712;-2;-2;2;20282;86.2;85.1;67.6
2022-03-30;Assens;M;17398;17100;13001;-6;-7;-1;20617;84.4;82.9;63.1
2022-03-30;Ballerup;K;20248;19841;15367;-1;-1;-1;25230;80.3;78.6;60.9
2022-03-30;Ballerup;M;18822;18410;13679;0;-1;1;24150;77.9;76.2;56.6
2022-03-30;Billund;K;11035;10877;8473;-1;0;0;13176;83.8;82.6;64.3
2022-03-30;Billund;M;11133;10956;8315;4;3;6;13554;82.1;80.8;61.3
2022-03-30;Bornholm;K;17276;17036;14112;0;-1;5;20038;86.2;85.0;70.4
2022-03-30;Bornholm;M;16715;16442;13147;1;1;1;19594;85.3;83.9;67.1
2022-03-30;Brøndby;K;13423;13067;9631;2;3;2;18203;73.7;71.8;52.9
2022-03-30;Brøndby;M;12465;12110;8674;8;11;3;17626;70.7;68.7;49.2
2022-03-30;Brønderslev;K;15239;15008;11652;-6;-6;-6;17933;85.0;83.7;65.0
2022-03-30;Brønderslev;M;15291;15006;11131;1;0;0;18382;83.2;81.6;60.6
2022-03-30;Dragør;K;6310;6172;4833;-1;-1;-1;7434;84.9;83.0;65.0
2022-03-30;Dragør;M;5921;5791;4349;0;0;0;7146;82.9;81.0;60.9
2022-03-30;Egedal;K;18811;18528;14136;1;0;0;22424;83.9;82.6;63.0
2022-03-30;Egedal;M;18150;17810;13189;1;1;-1;22113;82.1;80.5;59.6
2022-03-30;Esbjerg;K;48101;47393;36927;-2;-3;2;57508;83.6;82.4;64.2
2022-03-30;Esbjerg;M;47522;46758;34885;-4;-2;-2;57949;82.0;80.7;60.2
2022-03-30;Faaborg-Midtfyn;K;22218;21907;17299;2;1;0;25874;85.9;84.7;66.9
2022-03-30;Faaborg-Midtfyn;M;22018;21649;16480;-2;-2;1;26053;84.5;83.1;63.3
2022-03-30;Fanø;K;1544;1528;1273;0;0;0;1773;87.1;86.2;71.8
2022-03-30;Fanø;M;1433;1414;1148;-1;-1;-1;1665;86.1;84.9;68.9
2022-03-30;Favrskov;K;20758;20432;15647;-1;-1;-2;24296;85.4;84.1;64.4
2022-03-30;Favrskov;M;20654;20307;15087;-1;-1;-1;24706;83.6;82.2;61.1
2022-03-30;Faxe;K;15187;14951;11812;1;1;1;18201;83.4;82.1;64.9
2022-03-30;Faxe;M;15211;14938;11331;-3;-2;0;18927;80.4;78.9;59.9
2022-03-30;Fredensborg;K;17503;17224;13365;2;2;1;21301;82.2;80.9;62.7
2022-03-30;Fredensborg;M;16074;15754;11951;0;1;4;20013;80.3;78.7;59.7
2022-03-30;Fredericia;K;21776;21460;16867;-2;-1;-1;25790;84.4;83.2;65.4
2022-03-30;Fredericia;M;21281;20908;15870;-1;-1;0;25891;82.2;80.8;61.3
2022-03-30;Frederiksberg;K;46164;45378;35379;-6;-6;9;54644;84.5;83.0;64.7
2022-03-30;Frederiksberg;M;40593;39642;29347;0;2;18;49222;82.5;80.5;59.6
2022-03-30;Frederikshavn;K;25193;24885;20120;-1;-1;-1;29170;86.4;85.3;69.0
2022-03-30;Frederikshavn;M;24903;24479;19073;-4;-4;-3;29660;84.0;82.5;64.3
2022-03-30;Frederikssund;K;19715;19439;15431;4;4;7;23211;84.9;83.7;66.5
2022-03-30;Frederikssund;M;18798;18433;14092;3;3;1;22670;82.9;81.3;62.2
2022-03-30;Furesø;K;17734;17384;13530;0;-1;-1;21278;83.3;81.7;63.6
2022-03-30;Furesø;M;16600;16253;12137;6;5;5;20305;81.8;80.0;59.8
2022-03-30;Gentofte;K;32760;32181;24821;-1;0;1;38858;84.3;82.8;63.9
2022-03-30;Gentofte;M;29410;28771;21387;-7;-5;1;35450;83.0;81.2;60.3
2022-03-30;Gladsaxe;K;28188;27614;20799;2;3;2;34854;80.9;79.2;59.7
2022-03-30;Gladsaxe;M;27231;26578;19157;-4;-2;3;34407;79.1;77.2;55.7
2022-03-30;Glostrup;K;9305;9118;6889;0;0;1;11731;79.3;77.7;58.7
2022-03-30;Glostrup;M;8955;8750;6301;-1;-1;2;11788;76.0;74.2;53.5
