"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;0-9;K;18473;13922;1;100169;18.4;13.9;0.00
Hovedstaden;0-9;M;19559;14807;0;105614;18.5;14.0;0.00
Hovedstaden;10-19;K;81389;77963;18437;105398;77.2;74.0;17.5
Hovedstaden;10-19;M;83902;80098;16892;109768;76.4;73.0;15.4
Hovedstaden;20-29;K;123139;120534;83922;148531;82.9;81.2;56.5
Hovedstaden;20-29;M;116425;112819;70865;143093;81.4;78.8;49.5
Hovedstaden;30-39;K;110826;108649;71163;131194;84.5;82.8;54.2
Hovedstaden;30-39;M;108146;105396;66946;131657;82.1;80.1;50.8
Hovedstaden;40-49;K;112733;111662;93840;124240;90.7;89.9;75.5
Hovedstaden;40-49;M;109456;108337;90142;123487;88.6;87.7;73.0
Hovedstaden;50-59;K;113235;112656;102889;121403;93.3;92.8;84.7
Hovedstaden;50-59;M;112384;111754;101443;121345;92.6;92.1;83.6
Hovedstaden;60-69;K;88868;88606;84655;93364;95.2;94.9;90.7
Hovedstaden;60-69;M;84183;83900;80028;88304;95.3;95.0;90.6
Hovedstaden;70-79;K;81871;81700;79602;84501;96.9;96.7;94.2
Hovedstaden;70-79;M;67925;67807;66122;69923;97.1;97.0;94.6
Hovedstaden;80-89;K;35580;35487;34477;36812;96.7;96.4;93.7
Hovedstaden;80-89;M;23170;23123;22567;23842;97.2;97.0;94.7
Hovedstaden;90+;K;7017;6980;6669;7403;94.8;94.3;90.1
Hovedstaden;90+;M;2444;2436;2355;2536;96.4;96.1;92.9
Midtjylland;0-9;K;16276;12977;0;71277;22.8;18.2;0.00
Midtjylland;0-9;M;17385;13856;0;75345;23.1;18.4;0.00
Midtjylland;10-19;K;69867;67863;16419;82777;84.4;82.0;19.8
Midtjylland;10-19;M;71841;69591;15241;85749;83.8;81.2;17.8
Midtjylland;20-29;K;79877;78612;57662;92227;86.6;85.2;62.5
Midtjylland;20-29;M;81716;79800;52776;96756;84.5;82.5;54.5
Midtjylland;30-39;K;68428;67401;47138;77944;87.8;86.5;60.5
