"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-29;1;0;0;783901;1;0;0;0.00;0.00;0.00
2020-U50;40-49;1;0;0;733274;1;0;0;0.00;0.00;0.00
2020-U51;10-19;1;0;0;675182;1;0;0;0.00;0.00;0.00
2020-U51;20-29;1;0;0;783901;2;0;0;0.00;0.00;0.00
2020-U51;30-39;2;0;0;718743;2;0;0;0.00;0.00;0.00
2020-U51;40-49;1;0;0;733274;2;0;0;0.00;0.00;0.00
2020-U51;80-89;1;0;0;248684;1;0;0;0.00;0.00;0.00
2020-U52;10-19;6;0;0;675182;7;0;0;0.00;0.00;0.00
2020-U52;20-29;504;0;0;783901;506;0;0;0.06;0.00;0.00
2020-U52;30-39;717;0;0;718743;719;0;0;0.10;0.00;0.00
2020-U52;40-49;952;0;0;733274;954;0;0;0.13;0.00;0.00
2020-U52;50-59;1077;0;0;806732;1077;0;0;0.13;0.00;0.00
2020-U52;60-69;875;0;0;676154;875;0;0;0.13;0.00;0.00
2020-U52;70-79;506;0;0;582002;506;0;0;0.09;0.00;0.00
2020-U52;80-89;713;0;0;248684;714;0;0;0.29;0.00;0.00
2020-U52;90+;413;0;0;45250;413;0;0;0.91;0.00;0.00
2020-U53;10-19;41;0;0;675182;48;0;0;0.01;0.00;0.00
2020-U53;20-29;2721;0;0;783901;3227;0;0;0.41;0.00;0.00
2020-U53;30-39;5117;0;0;718743;5836;0;0;0.81;0.00;0.00
2020-U53;40-49;7203;1;0;733274;8157;1;0;1.11;0.00;0.00
2020-U53;50-59;8419;0;0;806732;9496;0;0;1.18;0.00;0.00
2020-U53;60-69;6807;0;0;676154;7682;0;0;1.14;0.00;0.00
2020-U53;70-79;3182;0;0;582002;3688;0;0;0.63;0.00;0.00
2020-U53;80-89;4410;0;0;248684;5124;0;0;2.06;0.00;0.00
2020-U53;90+;2798;0;0;45250;3211;0;0;7.10;0.00;0.00
2021-U01;10-19;90;0;0;675182;138;0;0;0.02;0.00;0.00
2021-U01;20-29;3443;0;0;783901;6670;0;0;0.85;0.00;0.00
2021-U01;30-39;6394;1;0;718743;12230;1;0;1.70;0.00;0.00
2021-U01;40-49;9133;1;0;733274;17290;2;0;2.36;0.00;0.00
2021-U01;50-59;11453;0;0;806732;20949;0;0;2.60;0.00;0.00
2021-U01;60-69;9969;0;0;676154;17651;0;0;2.61;0.00;0.00
2021-U01;70-79;5141;0;0;582002;8829;0;0;1.52;0.00;0.00
2021-U01;80-89;7062;1;0;248684;12186;1;0;4.90;0.00;0.00
2021-U01;90+;4625;0;0;45250;7836;0;0;17.3;0.00;0.00
2021-U02;10-19;51;0;0;675182;189;0;0;0.03;0.00;0.00
2021-U02;20-29;2917;39;0;783901;9587;39;0;1.22;0.00;0.00
2021-U02;30-39;5214;62;0;718743;17444;63;0;2.43;0.01;0.00
2021-U02;40-49;6530;116;0;733274;23820;118;0;3.25;0.02;0.00
2021-U02;50-59;7411;133;0;806732;28360;133;0;3.52;0.02;0.00
2021-U02;60-69;7591;90;0;676154;25242;90;0;3.73;0.01;0.00
2021-U02;70-79;7589;63;0;582002;16418;63;0;2.82;0.01;0.00
2021-U02;80-89;8159;76;0;248684;20345;77;0;8.18;0.03;0.00
2021-U02;90+;4375;56;0;45250;12211;56;0;27.0;0.12;0.00
2021-U03;10-19;37;33;0;675182;226;33;0;0.03;0.00;0.00
2021-U03;20-29;703;1361;0;783901;10290;1400;0;1.31;0.18;0.00
2021-U03;30-39;938;2323;0;718743;18382;2386;0;2.56;0.33;0.00
2021-U03;40-49;1306;3710;0;733274;25126;3828;0;3.43;0.52;0.00
2021-U03;50-59;1489;4449;0;806732;29849;4582;0;3.70;0.57;0.00
2021-U03;60-69;1537;3865;0;676154;26779;3955;0;3.96;0.58;0.00
2021-U03;70-79;1721;2562;0;582002;18139;2625;0;3.12;0.45;0.00
2021-U03;80-89;1872;3732;0;248684;22217;3809;0;8.93;1.53;0.00
2021-U03;90+;863;2300;0;45250;13074;2356;0;28.9;5.21;0.00
2021-U04;10-19;18;74;0;675182;244;107;0;0.04;0.02;0.00
2021-U04;20-29;390;3184;0;783901;10680;4584;0;1.36;0.58;0.00
2021-U04;30-39;449;6049;0;718743;18831;8435;0;2.62;1.17;0.00
2021-U04;40-49;640;8791;0;733274;25766;12619;0;3.51;1.72;0.00
2021-U04;50-59;890;11207;0;806732;30739;15789;0;3.81;1.96;0.00
2021-U04;60-69;753;9529;0;676154;27532;13484;0;4.07;1.99;0.00
2021-U04;70-79;503;4714;0;582002;18642;7339;0;3.20;1.26;0.00
2021-U04;80-89;373;6482;0;248684;22590;10291;0;9.08;4.14;0.00
2021-U04;90+;139;4320;0;45250;13213;6676;0;29.2;14.8;0.00
2021-U05;10-19;16;55;0;675182;260;162;0;0.04;0.02;0.00
2021-U05;20-29;429;2832;0;783901;11109;7416;0;1.42;0.95;0.00
2021-U05;30-39;516;5004;0;718743;19347;13439;0;2.69;1.87;0.00
2021-U05;40-49;716;6746;0;733274;26482;19365;0;3.61;2.64;0.00
2021-U05;50-59;807;7938;0;806732;31546;23727;0;3.91;2.94;0.00
2021-U05;60-69;854;7866;0;676154;28386;21350;0;4.20;3.16;0.00
2021-U05;70-79;1292;6477;0;582002;19934;13816;0;3.43;2.37;0.00
2021-U05;80-89;1436;7278;0;248684;24026;17569;0;9.66;7.06;0.00
2021-U05;90+;3250;4001;0;45250;16463;10677;0;36.4;23.6;0.00
2021-U06;10-19;105;47;0;675182;365;209;0;0.05;0.03;0.00
2021-U06;20-29;2995;1911;0;783901;14104;9327;0;1.80;1.19;0.00
2021-U06;30-39;3580;3404;0;718743;22927;16843;0;3.19;2.34;0.00
2021-U06;40-49;4681;4216;0;733274;31163;23581;0;4.25;3.22;0.00
2021-U06;50-59;5334;4399;0;806732;36880;28126;0;4.57;3.49;0.00
2021-U06;60-69;3667;3914;0;676154;32053;25264;0;4.74;3.74;0.00
2021-U06;70-79;1162;2870;0;582002;21096;16686;0;3.62;2.87;0.00
2021-U06;80-89;8788;3465;0;248684;32814;21034;0;13.2;8.46;0.00
2021-U06;90+;7954;1869;0;45250;24417;12546;0;54.0;27.7;0.00
2021-U07;10-19;105;15;0;675182;470;224;0;0.07;0.03;0.00
2021-U07;20-29;4784;614;0;783901;18888;9941;0;2.41;1.27;0.00
2021-U07;30-39;4919;954;0;718743;27846;17797;0;3.87;2.48;0.00
2021-U07;40-49;6407;1001;0;733274;37570;24582;0;5.12;3.35;0.00
2021-U07;50-59;8622;1241;0;806732;45502;29367;0;5.64;3.64;0.00
2021-U07;60-69;6748;1158;0;676154;38801;26422;0;5.74;3.91;0.00
2021-U07;70-79;5119;1120;0;582002;26215;17806;0;4.50;3.06;0.00
2021-U07;80-89;34365;616;0;248684;67179;21650;0;27.0;8.71;0.00
2021-U07;90+;9265;147;0;45250;33682;12693;0;74.4;28.1;0.00
2021-U08;10-19;318;24;0;675182;788;248;0;0.12;0.04;0.00
2021-U08;20-29;8244;633;0;783901;27132;10574;0;3.46;1.35;0.00
2021-U08;30-39;9692;824;1;718743;37538;18621;1;5.22;2.59;0.00
2021-U08;40-49;14938;1122;0;733274;52508;25704;0;7.16;3.51;0.00
2021-U08;50-59;19019;1346;2;806732;64521;30713;2;8.00;3.81;0.00
2021-U08;60-69;18071;1240;0;676154;56872;27662;0;8.41;4.09;0.00
2021-U08;70-79;14765;1470;2;582002;40980;19276;2;7.04;3.31;0.00
2021-U08;80-89;17443;1584;1;248684;84622;23234;1;34.0;9.34;0.00
2021-U08;90+;4115;611;2;45250;37797;13304;2;83.5;29.4;0.00
2021-U09;0-9;2;0;0;612744;2;0;0;0.00;0.00;0.00
2021-U09;10-19;329;37;0;675182;1117;285;0;0.17;0.04;0.00
