"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-29;1;0;0;782832;1;0;0;0.00;0.00;0.00
2020-U50;40-49;1;0;0;751659;1;0;0;0.00;0.00;0.00
2020-U51;10-19;1;0;0;711900;1;0;0;0.00;0.00;0.00
2020-U51;20-29;1;0;0;782832;2;0;0;0.00;0.00;0.00
2020-U51;30-39;2;0;0;717644;2;0;0;0.00;0.00;0.00
2020-U51;40-49;1;0;0;751659;2;0;0;0.00;0.00;0.00
2020-U51;80-89;1;0;0;221246;1;0;0;0.00;0.00;0.00
2020-U52;10-19;23;0;0;711900;24;0;0;0.00;0.00;0.00
2020-U52;20-29;585;0;0;782832;587;0;0;0.07;0.00;0.00
2020-U52;30-39;736;0;0;717644;738;0;0;0.10;0.00;0.00
2020-U52;40-49;978;0;0;751659;980;0;0;0.13;0.00;0.00
2020-U52;50-59;1069;0;0;806805;1069;0;0;0.13;0.00;0.00
2020-U52;60-69;777;0;0;668075;777;0;0;0.12;0.00;0.00
2020-U52;70-79;546;0;0;566192;546;0;0;0.10;0.00;0.00
2020-U52;80-89;708;0;0;221246;709;0;0;0.32;0.00;0.00
2020-U52;90+;341;0;0;34348;341;0;0;0.99;0.00;0.00
2020-U53;10-19;144;0;0;711900;168;0;0;0.02;0.00;0.00
2020-U53;20-29;3203;0;0;782832;3790;0;0;0.48;0.00;0.00
2020-U53;30-39;5299;0;0;717644;6037;0;0;0.84;0.00;0.00
2020-U53;40-49;7381;1;0;751659;8361;1;0;1.11;0.00;0.00
2020-U53;50-59;8603;0;0;806805;9672;0;0;1.20;0.00;0.00
2020-U53;60-69;5996;0;0;668075;6773;0;0;1.01;0.00;0.00
2020-U53;70-79;3337;0;0;566192;3883;0;0;0.69;0.00;0.00
2020-U53;80-89;4434;0;0;221246;5143;0;0;2.32;0.00;0.00
2020-U53;90+;2301;0;0;34348;2642;0;0;7.69;0.00;0.00
2021-U01;10-19;311;0;0;711900;479;0;0;0.07;0.00;0.00
2021-U01;20-29;3906;0;0;782832;7696;0;0;0.98;0.00;0.00
2021-U01;30-39;6655;1;0;717644;12692;1;0;1.77;0.00;0.00
2021-U01;40-49;9425;1;0;751659;17786;2;0;2.37;0.00;0.00
2021-U01;50-59;11837;0;0;806805;21509;0;0;2.67;0.00;0.00
2021-U01;60-69;8881;0;0;668075;15654;0;0;2.34;0.00;0.00
2021-U01;70-79;5363;0;0;566192;9246;0;0;1.63;0.00;0.00
2021-U01;80-89;7170;1;0;221246;12313;1;0;5.57;0.00;0.00
2021-U01;90+;3762;0;0;34348;6404;0;0;18.6;0.00;0.00
2021-U02;10-19;164;2;0;711900;643;2;0;0.09;0.00;0.00
2021-U02;20-29;3438;47;0;782832;11134;47;0;1.42;0.01;0.00
2021-U02;30-39;5275;64;0;717644;17967;65;0;2.50;0.01;0.00
2021-U02;40-49;6685;126;0;751659;24471;128;0;3.26;0.02;0.00
2021-U02;50-59;7549;129;0;806805;29058;129;0;3.60;0.02;0.00
2021-U02;60-69;7319;75;0;668075;22973;75;0;3.44;0.01;0.00
2021-U02;70-79;7779;70;0;566192;17025;70;0;3.01;0.01;0.00
2021-U02;80-89;8188;79;0;221246;20501;80;0;9.27;0.04;0.00
2021-U02;90+;3440;43;0;34348;9844;43;0;28.7;0.13;0.00
2021-U03;10-19;90;95;0;711900;733;97;0;0.10;0.01;0.00
2021-U03;20-29;751;1533;0;782832;11885;1580;0;1.52;0.20;0.00
2021-U03;30-39;963;2481;0;717644;18930;2546;0;2.64;0.35;0.00
2021-U03;40-49;1353;3823;0;751659;25824;3951;0;3.44;0.53;0.00
2021-U03;50-59;1507;4531;0;806805;30565;4660;0;3.79;0.58;0.00
2021-U03;60-69;1508;3508;0;668075;24481;3583;0;3.66;0.54;0.00
2021-U03;70-79;1766;2743;0;566192;18791;2813;0;3.32;0.50;0.00
2021-U03;80-89;1846;3720;0;221246;22347;3800;0;10.1;1.72;0.00
2021-U03;90+;682;1901;0;34348;10526;1944;0;30.6;5.66;0.00
2021-U04;10-19;61;261;0;711900;794;358;0;0.11;0.05;0.00
2021-U04;20-29;392;3677;0;782832;12277;5257;0;1.57;0.67;0.00
2021-U04;30-39;472;6263;0;717644;19402;8809;0;2.70;1.23;0.00
