"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-39;1;0;0;1500476;1;0;0;0.00;0.00;0.00
2020-U50;40-64;1;0;0;1907864;1;0;0;0.00;0.00;0.00
2020-U51;16-19;1;0;0;280113;1;0;0;0.00;0.00;0.00
2020-U51;20-39;3;0;0;1500476;4;0;0;0.00;0.00;0.00
2020-U51;40-64;1;0;0;1907864;2;0;0;0.00;0.00;0.00
2020-U51;80+;1;0;0;255594;1;0;0;0.00;0.00;0.00
2020-U52;12-15;1;0;0;301043;1;0;0;0.00;0.00;0.00
2020-U52;16-19;22;0;0;280113;23;0;0;0.01;0.00;0.00
2020-U52;20-39;1321;0;0;1500476;1325;0;0;0.09;0.00;0.00
2020-U52;40-64;2554;0;0;1907864;2556;0;0;0.13;0.00;0.00
2020-U52;65-79;816;0;0;884867;816;0;0;0.09;0.00;0.00
2020-U52;80+;1049;0;0;255594;1050;0;0;0.41;0.00;0.00
2020-U53;12-15;1;0;0;301043;2;0;0;0.00;0.00;0.00
2020-U53;16-19;143;0;0;280113;166;0;0;0.06;0.00;0.00
2020-U53;20-39;8502;0;0;1500476;9827;0;0;0.65;0.00;0.00
2020-U53;40-64;20227;1;0;1907864;22783;1;0;1.19;0.00;0.00
2020-U53;65-79;5090;0;0;884867;5906;0;0;0.67;0.00;0.00
2020-U53;80+;6735;0;0;255594;7785;0;0;3.05;0.00;0.00
2021-U01;16-19;311;0;0;280113;477;0;0;0.17;0.00;0.00
2021-U01;20-39;10561;1;0;1500476;20388;1;0;1.36;0.00;0.00
2021-U01;40-64;27334;1;0;1907864;50117;2;0;2.63;0.00;0.00
2021-U01;65-79;8172;0;0;884867;14078;0;0;1.59;0.00;0.00
2021-U01;80+;10932;1;0;255594;18717;1;0;7.32;0.00;0.00
2021-U02;12-15;1;0;0;301043;3;0;0;0.00;0.00;0.00
2021-U02;16-19;163;2;0;280113;640;2;0;0.23;0.00;0.00
2021-U02;20-39;8713;111;0;1500476;29101;112;0;1.94;0.01;0.00
2021-U02;40-64;18109;301;0;1907864;68226;303;0;3.58;0.02;0.00
2021-U02;65-79;11223;99;0;884867;25301;99;0;2.86;0.01;0.00
2021-U02;80+;11628;122;0;255594;30345;123;0;11.9;0.05;0.00
2021-U03;12-15;2;2;0;301043;5;2;0;0.00;0.00;0.00
2021-U03;16-19;88;93;0;280113;728;95;0;0.26;0.03;0.00
2021-U03;20-39;1714;4014;0;1500476;30815;4126;0;2.05;0.27;0.00
2021-U03;40-64;3629;10713;0;1907864;71855;11016;0;3.77;0.58;0.00
2021-U03;65-79;2505;3892;0;884867;27806;3991;0;3.14;0.45;0.00
2021-U03;80+;2528;5621;0;255594;32873;5744;0;12.9;2.25;0.00
2021-U04;16-19;61;261;0;280113;789;356;0;0.28;0.13;0.00
2021-U04;20-39;864;9940;0;1500476;31679;14066;0;2.11;0.94;0.00
2021-U04;40-64;2028;26532;0;1907864;73883;37548;0;3.87;1.97;0.00
2021-U04;65-79;744;7504;0;884867;28550;11495;0;3.23;1.30;0.00
2021-U04;80+;458;10113;0;255594;33331;15857;0;13.0;6.20;0.00
2021-U05;16-19;37;181;0;280113;826;537;0;0.29;0.19;0.00
2021-U05;20-39;989;8434;0;1500476;32668;22500;0;2.18;1.50;0.00
2021-U05;40-64;1946;19320;0;1907864;75829;56868;0;3.97;2.98;0.00
2021-U05;65-79;1815;9783;0;884867;30365;21278;0;3.43;2.40;0.00
2021-U05;80+;4529;10479;0;255594;37860;26336;0;14.8;10.3;0.00
2021-U06;12-15;3;1;0;301043;8;3;0;0.00;0.00;0.00
2021-U06;16-19;272;143;0;280113;1098;680;0;0.39;0.24;0.00
2021-U06;20-39;6840;5688;0;1500476;39508;28188;0;2.63;1.88;0.00
2021-U06;40-64;12675;10841;0;1907864;88504;67709;0;4.64;3.55;0.00
2021-U06;65-79;1861;4447;0;884867;32226;25725;0;3.64;2.91;0.00
2021-U06;80+;16615;4975;0;255594;54475;31311;0;21.3;12.3;0.00
2021-U07;16-19;335;43;0;280113;1433;723;0;0.51;0.26;0.00
2021-U07;20-39;10062;1647;0;1500476;49570;29835;0;3.30;1.99;0.00
2021-U07;40-64;19479;2917;0;1907864;107983;70626;0;5.66;3.70;0.00
2021-U07;65-79;7353;1597;0;884867;39579;27322;0;4.47;3.09;0.00
2021-U07;80+;43105;662;0;255594;97580;31973;0;38.2;12.5;0.00
2021-U08;12-15;15;0;0;301043;23;3;0;0.01;0.00;0.00
2021-U08;16-19;773;68;0;280113;2206;791;0;0.79;0.28;0.00
2021-U08;20-39;18740;1524;1;1500476;68310;31359;1;4.55;2.09;0.00
2021-U08;40-64;44521;3175;2;1907864;152504;73801;2;7.99;3.87;0.00
2021-U08;65-79;22088;2076;3;884867;61667;29398;3;6.97;3.32;0.00
2021-U08;80+;20468;2011;2;255594;118048;33984;2;46.2;13.3;0.00
2021-U09;03-04;2;0;0;124499;2;0;0;0.00;0.00;0.00
2021-U09;12-15;25;3;0;301043;48;6;0;0.02;0.00;0.00
2021-U09;16-19;825;63;0;280113;3031;854;0;1.08;0.30;0.00
2021-U09;20-39;22385;1184;0;1500476;90695;32543;1;6.04;2.17;0.00
2021-U09;40-64;44605;2492;2;1907864;197109;76293;4;10.3;4.00;0.00
2021-U09;65-79;28669;1711;3;884867;90336;31109;6;10.2;3.52;0.00
2021-U09;80+;10966;12660;0;255594;129014;46644;2;50.5;18.2;0.00
2021-U10;12-15;20;0;0;301043;68;6;0;0.02;0.00;0.00
2021-U10;16-19;374;82;0;280113;3405;936;0;1.22;0.33;0.00
2021-U10;20-39;9485;1714;2;1500476;100180;34257;3;6.68;2.28;0.00
2021-U10;40-64;18060;4763;5;1907864;215169;81056;9;11.3;4.25;0.00
