"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
0-9;K;58220;45710;0;298132;19.5;15.3;0.0
0-9;M;62025;48751;1;314729;19.7;15.5;0.0
10-19;K;263911;254134;46029;329253;80.2;77.2;14.0
10-19;M;275406;264459;43904;345743;79.7;76.5;12.7
20-29;K;322874;316704;226399;384231;84.0;82.4;58.9
20-29;M;328257;319234;206260;399729;82.1;79.9;51.6
30-39;K;302150;296655;198307;352891;85.6;84.1;56.2
30-39;M;301947;294946;188715;367095;82.3;80.3;51.4
40-49;K;335802;333254;285663;366316;91.7;91.0;78.0
40-49;M;327270;324232;270581;366592;89.3;88.4;73.8
50-59;K;377932;376356;349373;401479;94.1;93.7;87.0
50-59;M;379535;377877;347919;405444;93.6;93.2;85.8
60-69;K;329562;328784;316839;343294;96.0;95.8;92.3
60-69;M;320150;319315;306800;333227;96.1;95.8;92.1
70-79;K;298279;297832;291884;306120;97.4;97.3;95.3
70-79;M;269371;269023;263614;276010;97.6;97.5;95.5
80-89;K;139178;138937;135783;142937;97.4;97.2;95.0
80-89;M;103898;103770;101784;106174;97.9;97.7;95.9
90+;K;30563;30447;29369;31809;96.1;95.7;92.3
90+;M;13063;13034;12666;13413;97.4;97.2;94.4
