"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
00-02;K;6;2;0;90680;0.0;0.0;0.0
00-02;M;2;0;0;95645;0.0;0.0;0.0
03-04;K;10;2;0;60618;0.0;0.0;0.0
03-04;M;6;2;0;63997;0.0;0.0;0.0
05-11;K;94928;77360;4;209083;45.4;37.0;0.0
05-11;M;100559;81880;2;220234;45.7;37.2;0.0
12-15;K;105979;102661;321;132752;79.8;77.3;0.2
12-15;M;111745;108203;359;140188;79.7;77.2;0.3
16-19;K;121208;119819;45704;134252;90.3;89.2;34.0
16-19;M;125119;123125;43544;140408;89.1;87.7;31.0
20-39;K;625024;613359;424706;737122;84.8;83.2;57.6
20-39;M;630204;614180;394975;766824;82.2;80.1;51.5
40-64;K;883873;879281;797341;945871;93.4;93.0;84.3
40-64;M;874402;869204;777679;947368;92.3;91.7;82.1
65-79;K;457702;456945;446418;471338;97.1;96.9;94.7
65-79;M;421924;421243;411235;433905;97.2;97.1;94.8
80+;K;169741;169384;165152;174746;97.1;96.9;94.5
80+;M;116961;116804;114450;119587;97.8;97.7;95.7
