"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
0-9;K;63197;49946;4;303109;20.8;16.5;0.0
0-9;M;67398;53304;1;320102;21.1;16.7;0.0
10-19;K;283329;274107;65477;348671;81.3;78.6;18.8
10-19;M;293834;283384;61130;364171;80.7;77.8;16.8
20-29;K;322254;315923;222938;383611;84.0;82.4;58.1
20-29;M;328093;318927;203950;399565;82.1;79.8;51.0
30-39;K;302360;297065;201640;353101;85.6;84.1;57.1
30-39;M;300252;293488;190477;365400;82.2;80.3;52.1
40-49;K;345041;342514;297017;375555;91.9;91.2;79.1
40-49;M;337191;334266;282906;376513;89.6;88.8;75.1
50-59;K;378218;376696;350796;401765;94.1;93.8;87.3
50-59;M;379215;377604;348953;405124;93.6;93.2;86.1
60-69;K;325213;324452;313287;338945;95.9;95.7;92.4
60-69;M;315987;315198;303575;329064;96.0;95.8;92.3
70-79;K;290872;290465;284699;298713;97.4;97.2;95.3
70-79;M;260170;259834;254711;266809;97.5;97.4;95.5
80-89;K;124809;124570;121621;128568;97.1;96.9;94.6
80-89;M;89599;89478;87673;91875;97.5;97.4;95.4
90+;K;23178;23075;22167;24424;94.9;94.5;90.8
90+;M;9183;9158;8868;9533;96.3;96.1;93.0
