"Dato";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;1;0;0;5884618;1;0;0;0.00;0.00;0.00
2020-12-11;1;0;0;5884618;2;0;0;0.00;0.00;0.00
2020-12-16;1;0;0;5884618;3;0;0;0.00;0.00;0.00
2020-12-17;1;0;0;5884618;4;0;0;0.00;0.00;0.00
2020-12-18;2;0;0;5884618;6;0;0;0.00;0.00;0.00
2020-12-19;1;0;0;5884618;7;0;0;0.00;0.00;0.00
2020-12-20;1;0;0;5884618;8;0;0;0.00;0.00;0.00
2020-12-21;3;0;0;5884618;11;0;0;0.00;0.00;0.00
2020-12-22;5;0;0;5884618;16;0;0;0.00;0.00;0.00
2020-12-23;4;0;0;5884618;20;0;0;0.00;0.00;0.00
2020-12-24;4;0;0;5884618;24;0;0;0.00;0.00;0.00
2020-12-26;5;0;0;5884618;29;0;0;0.00;0.00;0.00
2020-12-27;5715;0;0;5884618;5744;0;0;0.10;0.00;0.00
2020-12-28;1898;0;0;5884618;7642;0;0;0.13;0.00;0.00
2020-12-29;8081;1;0;5884618;15723;1;0;0.27;0.00;0.00
2020-12-30;10372;0;0;5884618;26095;1;0;0.44;0.00;0.00
2020-12-31;5388;0;0;5884618;31483;1;0;0.54;0.00;0.00
2021-01-01;2049;0;0;5884618;33532;1;0;0.57;0.00;0.00
2021-01-02;7678;0;0;5884618;41210;1;0;0.70;0.00;0.00
2021-01-03;5051;0;0;5884618;46261;1;0;0.79;0.00;0.00
2021-01-04;2306;0;0;5884618;48567;1;0;0.83;0.00;0.00
2021-01-05;12019;0;0;5884618;60586;1;0;1.03;0.00;0.00
2021-01-06;17323;0;0;5884618;77909;1;0;1.32;0.00;0.00
2021-01-07;15323;0;0;5884618;93232;1;0;1.58;0.00;0.00
2021-01-08;7476;1;0;5884618;100708;2;0;1.71;0.00;0.00
2021-01-09;1818;2;0;5884618;102526;4;0;1.74;0.00;0.00
2021-01-10;818;0;0;5884618;103344;4;0;1.76;0.00;0.00
2021-01-11;666;0;0;5884618;104010;4;0;1.77;0.00;0.00
2021-01-12;464;2;0;5884618;104474;6;0;1.78;0.00;0.00
2021-01-13;11880;5;0;5884618;116354;11;0;1.98;0.00;0.00
2021-01-14;16433;1;0;5884618;132787;12;0;2.26;0.00;0.00
2021-01-15;13837;5;0;5884618;146624;17;0;2.49;0.00;0.00
2021-01-16;4199;10;0;5884618;150823;27;0;2.56;0.00;0.00
2021-01-17;2195;607;0;5884618;153018;634;0;2.60;0.01;0.00
2021-01-18;3502;1879;0;5884618;156520;2513;0;2.66;0.04;0.00
2021-01-19;2277;1820;0;5884618;158797;4333;0;2.70;0.07;0.00
2021-01-20;1387;1646;0;5884618;160184;5979;0;2.72;0.10;0.00
2021-01-21;1425;2065;0;5884618;161609;8044;0;2.75;0.14;0.00
2021-01-22;628;5068;0;5884618;162237;13112;0;2.76;0.22;0.00
2021-01-23;661;6143;0;5884618;162898;19255;0;2.77;0.33;0.00
2021-01-24;539;5561;0;5884618;163437;24816;0;2.78;0.42;0.00
2021-01-25;271;2196;0;5884618;163708;27012;0;2.78;0.46;0.00
2021-01-26;210;1565;0;5884618;163918;28577;0;2.79;0.49;0.00
2021-01-27;205;3953;0;5884618;164123;32530;0;2.79;0.55;0.00
2021-01-28;237;7628;0;5884618;164360;40158;0;2.79;0.68;0.00
2021-01-29;1014;16656;0;5884618;165374;56814;0;2.81;0.97;0.00
2021-01-30;1096;11411;0;5884618;166470;68225;0;2.83;1.16;0.00
2021-01-31;1115;10730;0;5884618;167585;78955;0;2.85;1.34;0.00
2021-02-01;715;7320;0;5884618;168300;86275;0;2.86;1.47;0.00
2021-02-02;1811;2797;0;5884618;170111;89072;0;2.89;1.51;0.00
2021-02-03;1336;5804;0;5884618;171447;94876;0;2.91;1.61;0.00
