"Dato";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;Nordjylland;1;0;0;591839;1;0;0;0.00;0.00;0.00
2020-12-11;Nordjylland;1;0;0;591839;2;0;0;0.00;0.00;0.00
2020-12-16;Hovedstaden;1;0;0;1873144;1;0;0;0.00;0.00;0.00
2020-12-17;Hovedstaden;1;0;0;1873144;2;0;0;0.00;0.00;0.00
2020-12-18;Hovedstaden;1;0;0;1873144;3;0;0;0.00;0.00;0.00
2020-12-18;Sjælland;1;0;0;844634;1;0;0;0.00;0.00;0.00
2020-12-19;Hovedstaden;1;0;0;1873144;4;0;0;0.00;0.00;0.00
2020-12-20;Hovedstaden;1;0;0;1873144;5;0;0;0.00;0.00;0.00
2020-12-21;Hovedstaden;2;0;0;1873144;7;0;0;0.00;0.00;0.00
2020-12-21;Midtjylland;1;0;0;1344953;1;0;0;0.00;0.00;0.00
2020-12-22;Hovedstaden;1;0;0;1873144;8;0;0;0.00;0.00;0.00
2020-12-22;Midtjylland;2;0;0;1344953;3;0;0;0.00;0.00;0.00
2020-12-22;Syddanmark;2;0;0;1230048;2;0;0;0.00;0.00;0.00
2020-12-23;Hovedstaden;2;0;0;1873144;10;0;0;0.00;0.00;0.00
2020-12-23;Midtjylland;2;0;0;1344953;5;0;0;0.00;0.00;0.00
2020-12-24;Hovedstaden;3;0;0;1873144;13;0;0;0.00;0.00;0.00
2020-12-24;Sjælland;1;0;0;844634;2;0;0;0.00;0.00;0.00
2020-12-26;Hovedstaden;3;0;0;1873144;16;0;0;0.00;0.00;0.00
2020-12-26;Sjælland;2;0;0;844634;4;0;0;0.00;0.00;0.00
2020-12-27;Hovedstaden;1553;0;0;1873144;1569;0;0;0.08;0.00;0.00
2020-12-27;Midtjylland;1690;0;0;1344953;1695;0;0;0.13;0.00;0.00
2020-12-27;Nordjylland;931;0;0;591839;933;0;0;0.16;0.00;0.00
2020-12-27;Sjælland;1145;0;0;844634;1149;0;0;0.14;0.00;0.00
2020-12-27;Syddanmark;396;0;0;1230048;398;0;0;0.03;0.00;0.00
2020-12-28;Hovedstaden;462;0;0;1873144;2031;0;0;0.11;0.00;0.00
2020-12-28;Midtjylland;194;0;0;1344953;1889;0;0;0.14;0.00;0.00
2020-12-28;Nordjylland;105;0;0;591839;1038;0;0;0.18;0.00;0.00
2020-12-28;Sjælland;553;0;0;844634;1702;0;0;0.20;0.00;0.00
2020-12-28;Syddanmark;584;0;0;1230048;982;0;0;0.08;0.00;0.00
2020-12-29;Hovedstaden;3344;0;0;1873144;5375;0;0;0.29;0.00;0.00
2020-12-29;Midtjylland;985;0;0;1344953;2874;0;0;0.21;0.00;0.00
2020-12-29;Nordjylland;264;1;0;591839;1302;1;0;0.22;0.00;0.00
2020-12-29;Sjælland;1771;0;0;844634;3473;0;0;0.41;0.00;0.00
2020-12-29;Syddanmark;1717;0;0;1230048;2699;0;0;0.22;0.00;0.00
2020-12-30;Hovedstaden;3350;0;0;1873144;8725;0;0;0.47;0.00;0.00
2020-12-30;Midtjylland;1143;0;0;1344953;4017;0;0;0.30;0.00;0.00
2020-12-30;Nordjylland;1996;0;0;591839;3298;1;0;0.56;0.00;0.00
2020-12-30;Sjælland;1703;0;0;844634;5176;0;0;0.61;0.00;0.00
2020-12-30;Syddanmark;2180;0;0;1230048;4879;0;0;0.40;0.00;0.00
2020-12-31;Hovedstaden;1512;0;0;1873144;10237;0;0;0.55;0.00;0.00
2020-12-31;Midtjylland;986;0;0;1344953;5003;0;0;0.37;0.00;0.00
2020-12-31;Nordjylland;581;0;0;591839;3879;1;0;0.66;0.00;0.00
