"Kommune";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Aabenraa;47135;46504;35976;58764;80.2;79.1;61.2
Aalborg;186037;182682;138908;221180;84.1;82.6;62.8
Albertslund;20565;19961;14120;27505;74.8;72.6;51.3
Allerød;21969;21604;16790;25876;84.9;83.5;64.9
Assens;34854;34310;26706;40898;85.2;83.9;65.3
Ballerup;39066;38261;29074;49422;79.0;77.4;58.8
Billund;22162;21833;16795;26805;82.7;81.5;62.7
Bornholm;33967;33457;27252;39642;85.7;84.4;68.7
Brøndby;25952;25247;18361;35953;72.2;70.2;51.1
Brønderslev;30532;30014;22801;36334;84.0;82.6;62.8
Dragør;12194;11930;9171;14531;83.9;82.1;63.1
Egedal;36936;36320;27361;44536;82.9;81.6;61.4
Esbjerg;95561;94116;71876;115448;82.8;81.5;62.3
Faaborg-Midtfyn;44203;43529;33804;51942;85.1;83.8;65.1
Fanø;2970;2938;2424;3421;86.8;85.9;70.9
Favrskov;41388;40712;30756;49007;84.5;83.1;62.8
Faxe;30367;29861;23144;37121;81.8;80.4;62.3
Fredensborg;33573;32982;25341;41331;81.2;79.8;61.3
Fredericia;43087;42402;32793;51760;83.2;81.9;63.4
Frederiksberg;86726;85007;64941;103903;83.5;81.8;62.5
Frederikshavn;50051;49321;39176;58807;85.1;83.9;66.6
Frederikssund;38509;37873;29580;45888;83.9;82.5;64.5
Furesø;34303;33605;25692;41568;82.5;80.8;61.8
Gentofte;62093;60871;46254;74307;83.6;81.9;62.2
Gladsaxe;55384;54162;39990;69268;80.0;78.2;57.7
Glostrup;18235;17847;13206;23498;77.6;76.0;56.2
Greve;40766;39979;30171;50969;80.0;78.4;59.2
Gribskov;34221;33688;26800;41305;82.8;81.6;64.9
Guldborgsund;49632;48968;38701;60236;82.4;81.3;64.2
Haderslev;45547;44851;34345;55301;82.4;81.1;62.1
Halsnæs;26030;25548;20241;31429;82.8;81.3;64.4
Hedensted;39589;39072;29931;47222;83.8;82.7;63.4
Helsingør;51656;50774;39737;62915;82.1;80.7;63.2
Herlev;22592;22046;16410;28791;78.5;76.6;57.0
Herning;74630;73458;55574;89490;83.4;82.1;62.1
Hillerød;44032;43265;33198;53362;82.5;81.1;62.2
Hjørring;54387;53589;41469;63755;85.3;84.1;65.0
Holbæk;60679;59741;45885;72987;83.1;81.9;62.9
Holstebro;49379;48587;37005;58575;84.3;82.9;63.2
Horsens;77089;75875;57041;95038;81.1;79.8;60.0
Hvidovre;41431;40381;29491;53185;77.9;75.9;55.4
Høje Tåstrup;39849;38895;28085;53479;74.5;72.7;52.5
Hørsholm;21047;20712;16442;24702;85.2;83.8;66.6
Ikast-Brande;34368;33861;25430;42067;81.7;80.5;60.5
Ishøj;16186;15704;10773;23253;69.6;67.5;46.3
Jammerbugt;32257;31683;24654;38161;84.5;83.0;64.6
Kalundborg;39799;39201;30682;48438;82.2;80.9;63.3
Kerteminde;20489;20137;15861;23996;85.4;83.9;66.1
Kolding;76986;75754;56529;93847;82.0;80.7;60.2
København;507903;496177;357782;647451;78.4;76.6;55.3
Køge;50423;49459;37810;61768;81.6;80.1;61.2
Langeland;10543;10421;8640;12290;85.8;84.8;70.3
Lejre;23737;23376;18109;28667;82.8;81.5;63.2
Lemvig;16483;16285;13013;19329;85.3;84.3;67.3
Lolland;32735;32275;25603;39995;81.8;80.7;64.0
Lyngby-Taarbæk;48491;47449;36138;57990;83.6;81.8;62.3
Læsø;1539;1522;1316;1786;86.2;85.2;73.7
Mariagerfjord;35199;34549;26929;41652;84.5;82.9;64.7
Middelfart;33917;33419;26298;39707;85.4;84.2;66.2
Morsø;17011;16702;12990;20054;84.8;83.3;64.8
Norddjurs;31238;30779;24559;36984;84.5;83.2;66.4
Nordfyn;24948;24528;18981;29775;83.8;82.4;63.7
Nyborg;27480;27080;21251;32044;85.8;84.5;66.3
Næstved;69256;68196;52630;84038;82.4;81.1;62.6
Odder;19990;19715;15718;23409;85.4;84.2;67.1
Odense;172004;168878;127726;206227;83.4;81.9;61.9
Odsherred;27624;27253;22023;32856;84.1;82.9;67.0
Randers;82517;81201;62181;99177;83.2;81.9;62.7
Rebild;25443;24982;18895;30727;82.8;81.3;61.5
Ringkøbing-Skjern;46807;46109;35515;56230;83.2;82.0;63.2
Ringsted;28280;27805;21164;35392;79.9;78.6;59.8
Roskilde;75028;73823;56577;89673;83.7;82.3;63.1
Rudersdal;48313;47414;36741;57239;84.4;82.8;64.2
Rødovre;32100;31330;22996;41464;77.4;75.6;55.5
Samsø;3231;3202;2664;3698;87.4;86.6;72.0
