"Dato";"Region";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal 1. stik siden i går";"Antal 2. stik siden i går";"Antal 3. stik siden i går";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
2022-04-12;Hovedstaden;K;772814;758011;577122;-50;-30;162;953348;81.1;79.5;60.5
2022-04-12;Hovedstaden;M;727286;710265;518782;-51;-41;144;919796;79.1;77.2;56.4
2022-04-12;Midtjylland;K;566817;558336;436171;-44;-23;133;672065;84.3;83.1;64.9
2022-04-12;Midtjylland;M;555815;545868;409388;-45;-38;77;672888;82.6;81.1;60.8
2022-04-12;Nordjylland;K;249471;245737;193551;-29;-28;-14;293080;85.1;83.8;66.0
2022-04-12;Nordjylland;M;249261;244574;184296;-14;-12;-1;298759;83.4;81.9;61.7
2022-04-12;Sjælland;K;352590;347363;274073;-35;-33;5;423637;83.2;82.0;64.7
2022-04-12;Sjælland;M;342234;336362;255684;-47;-44;-10;420997;81.3;79.9;60.7
2022-04-12;Syddanmark;K;516779;509366;398729;-42;-33;18;614332;84.1;82.9;64.9
2022-04-12;Syddanmark;M;506326;497572;374094;-47;-37;20;615716;82.2;80.8;60.8
