"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;00-02;K;2;0;0;31491;0.01;0.00;0.00
Hovedstaden;00-02;M;0;0;0;33404;0.00;0.00;0.00
Hovedstaden;03-04;K;3;0;0;20035;0.01;0.00;0.00
Hovedstaden;03-04;M;3;1;0;20917;0.01;0.00;0.00
Hovedstaden;05-11;K;27489;21405;1;67081;41.0;31.9;0.00
Hovedstaden;05-11;M;28913;22516;0;70354;41.1;32.0;0.00
Hovedstaden;12-15;K;30445;29276;121;40312;75.5;72.6;0.30
Hovedstaden;12-15;M;32296;31032;147;42884;75.3;72.4;0.34
Hovedstaden;16-19;K;34586;34034;12865;39514;87.5;86.1;32.6
Hovedstaden;16-19;M;35368;34630;12033;41135;86.0;84.2;29.3
Hovedstaden;20-39;K;233214;228457;155600;279290;83.5;81.8;55.7
Hovedstaden;20-39;M;223915;217554;138113;274327;81.6;79.3;50.3
Hovedstaden;40-64;K;271910;270099;238952;294287;92.4;91.8;81.2
Hovedstaden;40-64;M;267035;265073;232955;292613;91.3;90.6;79.6
Hovedstaden;65-79;K;126744;126453;122711;131294;96.5;96.3;93.5
Hovedstaden;65-79;M;109579;109337;106133;113222;96.8;96.6;93.7
Hovedstaden;80+;K;48421;48287;46872;50044;96.8;96.5;93.7
Hovedstaden;80+;M;30177;30122;29401;30940;97.5;97.4;95.0
Midtjylland;00-02;K;2;1;0;21500;0.01;0.00;0.00
Midtjylland;00-02;M;1;0;0;22670;0.00;0.00;0.00
Midtjylland;03-04;K;4;0;0;14172;0.03;0.00;0.00
Midtjylland;03-04;M;0;0;0;15208;0.00;0.00;0.00
Midtjylland;05-11;K;24474;20227;0;49118;49.8;41.2;0.00
Midtjylland;05-11;M;25944;21413;0;51548;50.3;41.5;0.00
Midtjylland;12-15;K;25996;25282;77;31187;83.4;81.1;0.25
Midtjylland;12-15;M;27165;26388;80;32647;83.2;80.8;0.25
Midtjylland;16-19;K;29570;29309;11433;32192;91.9;91.0;35.5
Midtjylland;16-19;M;30340;29980;10936;33449;90.7;89.6;32.7
Midtjylland;20-39;K;148860;146576;105844;170826;87.1;85.8;62.0
Midtjylland;20-39;M;151668;148456;99121;179812;84.3;82.6;55.1
Midtjylland;40-64;K;199003;198218;182755;210775;94.4;94.0;86.7
Midtjylland;40-64;M;197645;196730;178706;211641;93.4;93.0;84.4
Midtjylland;65-79;K;102157;102038;100152;104663;97.6;97.5;95.7
Midtjylland;65-79;M;96717;96601;94732;99112;97.6;97.5;95.6
Midtjylland;80+;K;36751;36685;35910;37632;97.7;97.5;95.4
Midtjylland;80+;M;26335;26300;25813;26801;98.3;98.1;96.3
Nordjylland;00-02;K;0;0;0;8593;0.00;0.00;0.00
Nordjylland;00-02;M;0;0;0;9022;0.00;0.00;0.00
Nordjylland;03-04;K;1;0;0;5878;0.02;0.00;0.00
Nordjylland;03-04;M;1;0;0;6114;0.02;0.00;0.00
Nordjylland;05-11;K;9899;8146;1;20151;49.1;40.4;0.00
Nordjylland;05-11;M;10355;8428;0;21213;48.8;39.7;0.00
Nordjylland;12-15;K;10813;10489;19;12972;83.4;80.9;0.15
Nordjylland;12-15;M;11482;11122;23;13768;83.4;80.8;0.17
Nordjylland;16-19;K;12297;12182;4610;13361;92.0;91.2;34.5
Nordjylland;16-19;M;12952;12762;4389;14179;91.3;90.0;31.0
Nordjylland;20-39;K;59675;58624;40952;68450;87.2;85.6;59.8
Nordjylland;20-39;M;64536;62896;40295;76506;84.4;82.2;52.7
Nordjylland;40-64;K;88322;87943;81077;93466;94.5;94.1;86.7
Nordjylland;40-64;M;88603;88125;79664;95063;93.2;92.7;83.8
Nordjylland;65-79;K;49855;49771;48737;51108;97.5;97.4;95.4
Nordjylland;65-79;M;47780;47706;46649;49031;97.4;97.3;95.1
Nordjylland;80+;K;18609;18582;18155;19101;97.4;97.3;95.0
Nordjylland;80+;M;13552;13535;13276;13863;97.8;97.6;95.8
Sjælland;00-02;K;0;0;0;11409;0.00;0.00;0.00
Sjælland;00-02;M;0;0;0;12075;0.00;0.00;0.00
Sjælland;03-04;K;2;2;0;8261;0.02;0.02;0.00
Sjælland;03-04;M;2;1;0;8657;0.02;0.01;0.00
Sjælland;05-11;K;12517;10305;0;29280;42.7;35.2;0.00
Sjælland;05-11;M;13434;11050;1;31182;43.1;35.4;0.00
Sjælland;12-15;K;15522;15094;44;19722;78.7;76.5;0.22
Sjælland;12-15;M;16473;16006;53;20833;79.1;76.8;0.25
Sjælland;16-19;K;17908;17713;6494;19875;90.1;89.1;32.7
Sjælland;16-19;M;19083;18784;6535;21371;89.3;87.9;30.6
Sjælland;20-39;K;67785;66327;44423;82665;82.0;80.2;53.7
Sjælland;20-39;M;69873;68046;42702;89113;78.4;76.4;47.9
Sjælland;40-64;K;136122;135377;123107;146387;93.0;92.5;84.1
Sjælland;40-64;M;133597;132839;118930;145472;91.8;91.3;81.8
Sjælland;65-79;K;76319;76195;74329;78755;96.9;96.7;94.4
Sjælland;65-79;M;70870;70753;68974;72911;97.2;97.0;94.6
Sjælland;80+;K;26415;26350;25676;27283;96.8;96.6;94.1
Sjælland;80+;M;18902;18883;18489;19383;97.5;97.4;95.4
Syddanmark;00-02;K;2;1;0;17687;0.01;0.01;0.00
Syddanmark;00-02;M;1;0;0;18474;0.01;0.00;0.00
Syddanmark;03-04;K;0;0;0;12272;0.00;0.00;0.00
Syddanmark;03-04;M;0;0;0;13101;0.00;0.00;0.00
Syddanmark;05-11;K;20549;17277;2;43453;47.3;39.8;0.00
Syddanmark;05-11;M;21913;18473;1;45937;47.7;40.2;0.00
Syddanmark;12-15;K;23203;22520;60;28559;81.2;78.9;0.21
Syddanmark;12-15;M;24329;23655;56;30056;80.9;78.7;0.19
Syddanmark;16-19;K;26847;26581;10302;29310;91.6;90.7;35.1
Syddanmark;16-19;M;27376;26969;9651;30274;90.4;89.1;31.9
Syddanmark;20-39;K;115490;113375;77887;135891;85.0;83.4;57.3
Syddanmark;20-39;M;120212;117228;74744;147066;81.7;79.7;50.8
Syddanmark;40-64;K;188516;187644;171450;200956;93.8;93.4;85.3
Syddanmark;40-64;M;187522;186437;167424;202579;92.6;92.0;82.6
Syddanmark;65-79;K;102627;102488;100489;105518;97.3;97.1;95.2
Syddanmark;65-79;M;96978;96846;94747;99629;97.3;97.2;95.1
Syddanmark;80+;K;39545;39480;38539;40686;97.2;97.0;94.7
Syddanmark;80+;M;27995;27964;27471;28600;97.9;97.8;96.1
