"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;00-02;K;2;0;0;31491;0.01;0.00;0.00
Hovedstaden;00-02;M;0;0;0;33404;0.00;0.00;0.00
Hovedstaden;03-04;K;9;4;0;20041;0.04;0.02;0.00
Hovedstaden;03-04;M;12;7;0;20926;0.06;0.03;0.00
Hovedstaden;05-11;K;29355;23008;2;68947;42.6;33.4;0.00
Hovedstaden;05-11;M;30864;24209;0;72305;42.7;33.5;0.00
Hovedstaden;12-15;K;34399;33437;229;44266;77.7;75.5;0.52
Hovedstaden;12-15;M;36360;35261;242;46948;77.4;75.1;0.52
Hovedstaden;16-19;K;36185;35612;18392;41113;88.0;86.6;44.7
Hovedstaden;16-19;M;36308;35558;16774;42075;86.3;84.5;39.9
Hovedstaden;20-39;K;233953;229224;156374;280029;83.5;81.9;55.8
Hovedstaden;20-39;M;224589;218259;139109;275001;81.7;79.4;50.6
Hovedstaden;40-64;K;272372;270596;240836;294749;92.4;91.8;81.7
Hovedstaden;40-64;M;267560;265655;234978;293138;91.3;90.6;80.2
Hovedstaden;65-79;K;124133;123853;120308;128683;96.5;96.2;93.5
Hovedstaden;65-79;M;106124;105898;102888;109767;96.7;96.5;93.7
Hovedstaden;80+;K;42406;42277;40981;44029;96.3;96.0;93.1
Hovedstaden;80+;M;25469;25418;24791;26232;97.1;96.9;94.5
Midtjylland;00-02;K;3;1;0;21501;0.01;0.00;0.00
Midtjylland;00-02;M;1;0;0;22670;0.00;0.00;0.00
Midtjylland;03-04;K;10;2;0;14178;0.07;0.01;0.00
Midtjylland;03-04;M;4;2;0;15212;0.03;0.01;0.00
Midtjylland;05-11;K;26170;21765;0;50814;51.5;42.8;0.00
Midtjylland;05-11;M;27745;23030;0;53349;52.0;43.2;0.00
Midtjylland;12-15;K;29486;28902;142;34677;85.0;83.3;0.41
Midtjylland;12-15;M;30655;30022;149;36137;84.8;83.1;0.41
Midtjylland;16-19;K;30508;30239;16404;33130;92.1;91.3;49.5
Midtjylland;16-19;M;30848;30474;15182;33957;90.8;89.7;44.7
Midtjylland;20-39;K;148315;146038;105437;170281;87.1;85.8;61.9
Midtjylland;20-39;M;150933;147735;98737;179077;84.3;82.5;55.1
Midtjylland;40-64;K;200502;199741;185036;212274;94.5;94.1;87.2
Midtjylland;40-64;M;199423;198543;181457;213419;93.4;93.0;85.0
Midtjylland;65-79;K;99750;99639;97844;102256;97.5;97.4;95.7
Midtjylland;65-79;M;93842;93730;91958;96237;97.5;97.4;95.6
Midtjylland;80+;K;32073;32009;31308;32954;97.3;97.1;95.0
Midtjylland;80+;M;22364;22332;21905;22830;98.0;97.8;95.9
Nordjylland;00-02;K;0;0;0;8593;0.00;0.00;0.00
Nordjylland;00-02;M;0;0;0;9022;0.00;0.00;0.00
Nordjylland;03-04;K;6;3;0;5883;0.10;0.05;0.00
Nordjylland;03-04;M;2;0;0;6115;0.03;0.00;0.00
Nordjylland;05-11;K;10600;8791;1;20852;50.8;42.2;0.00
Nordjylland;05-11;M;11075;9082;0;21933;50.5;41.4;0.00
Nordjylland;12-15;K;12268;11979;32;14427;85.0;83.0;0.22
Nordjylland;12-15;M;13072;12760;38;15358;85.1;83.1;0.25
Nordjylland;16-19;K;12658;12546;6628;13722;92.2;91.4;48.3
Nordjylland;16-19;M;13148;12945;6230;14375;91.5;90.1;43.3
Nordjylland;20-39;K;59514;58474;40878;68289;87.2;85.6;59.9
Nordjylland;20-39;M;64160;62526;40061;76130;84.3;82.1;52.6
Nordjylland;40-64;K;89377;88999;82447;94521;94.6;94.2;87.2
Nordjylland;40-64;M;89700;89242;81189;96160;93.3;92.8;84.4
Nordjylland;65-79;K;48824;48747;47754;50077;97.5;97.3;95.4
Nordjylland;65-79;M;46622;46553;45551;47873;97.4;97.2;95.1
Nordjylland;80+;K;16224;16198;15811;16716;97.1;96.9;94.6
Nordjylland;80+;M;11482;11466;11227;11793;97.4;97.2;95.2
Sjælland;00-02;K;0;0;0;11409;0.00;0.00;0.00
Sjælland;00-02;M;0;0;0;12075;0.00;0.00;0.00
Sjælland;03-04;K;5;3;0;8264;0.06;0.04;0.00
Sjælland;03-04;M;7;5;1;8662;0.08;0.06;0.01
Sjælland;05-11;K;13445;11131;0;30208;44.5;36.8;0.00
Sjælland;05-11;M;14398;11923;1;32146;44.8;37.1;0.00
Sjælland;12-15;K;17849;17499;91;22049;81.0;79.4;0.41
Sjælland;12-15;M;18784;18389;100;23144;81.2;79.5;0.43
Sjælland;16-19;K;17804;17616;8927;19771;90.1;89.1;45.2
Sjælland;16-19;M;19137;18812;8895;21425;89.3;87.8;41.5
Sjælland;20-39;K;67924;66457;44627;82804;82.0;80.3;53.9
Sjælland;20-39;M;69417;67609;42450;88657;78.3;76.3;47.9
Sjælland;40-64;K;137950;137224;125378;148215;93.1;92.6;84.6
Sjælland;40-64;M;135476;134739;121373;147351;91.9;91.4;82.4
Sjælland;65-79;K;74791;74673;72896;77227;96.8;96.7;94.4
Sjælland;65-79;M;69174;69062;67399;71215;97.1;97.0;94.6
Sjælland;80+;K;22822;22760;22154;23690;96.3;96.1;93.5
Sjælland;80+;M;15841;15823;15465;16322;97.1;96.9;94.7
Syddanmark;00-02;K;2;1;0;17687;0.01;0.01;0.00
Syddanmark;00-02;M;1;0;0;18474;0.01;0.00;0.00
Syddanmark;03-04;K;6;4;0;12278;0.05;0.03;0.00
Syddanmark;03-04;M;3;0;0;13104;0.02;0.00;0.00
Syddanmark;05-11;K;22114;18692;2;45018;49.1;41.5;0.00
Syddanmark;05-11;M;23524;19974;2;47548;49.5;42.0;0.00
Syddanmark;12-15;K;26243;25680;108;31599;83.1;81.3;0.34
Syddanmark;12-15;M;27416;26812;108;33143;82.7;80.9;0.33
Syddanmark;16-19;K;27399;27138;14523;29862;91.8;90.9;48.6
Syddanmark;16-19;M;27868;27423;13409;30766;90.6;89.1;43.6
Syddanmark;20-39;K;114908;112795;77262;135309;84.9;83.4;57.1
Syddanmark;20-39;M;119246;116286;74070;146100;81.6;79.6;50.7
Syddanmark;40-64;K;191034;190174;174737;203474;93.9;93.5;85.9
Syddanmark;40-64;M;190042;189008;170858;205099;92.7;92.2;83.3
Syddanmark;65-79;K;100611;100481;98563;103502;97.2;97.1;95.2
Syddanmark;65-79;M;94600;94472;92494;97251;97.3;97.1;95.1
Syddanmark;80+;K;34462;34401;33534;35603;96.8;96.6;94.2
Syddanmark;80+;M;23626;23597;23153;24231;97.5;97.4;95.6
