"Vaccinenavn";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik"
AstraZeneca Covid-19 vaccine;Hovedstaden;46656;1348;142
AstraZeneca Covid-19 vaccine;Midtjylland;34065;281;103
AstraZeneca Covid-19 vaccine;Nordjylland;17048;108;10
AstraZeneca Covid-19 vaccine;Sjælland;24073;479;48
AstraZeneca Covid-19 vaccine;Syddanmark;30847;518;90
Janssen COVID-19 vaccine;Hovedstaden;22798;69;16
Janssen COVID-19 vaccine;Midtjylland;9915;14;7
Janssen COVID-19 vaccine;Nordjylland;3681;12;0
Janssen COVID-19 vaccine;Sjælland;2870;23;1
Janssen COVID-19 vaccine;Syddanmark;7610;23;3
Moderna Covid-19 Vaccine;Hovedstaden;153103;169265;110736
Moderna Covid-19 Vaccine;Midtjylland;127755;134735;97454
Moderna Covid-19 Vaccine;Nordjylland;71363;73659;56698
Moderna Covid-19 Vaccine;Sjælland;85474;108633;89590
Moderna Covid-19 Vaccine;Syddanmark;136155;169475;131184
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1277543;1297594;985010
Pfizer BioNTech Covid-19 vacc;Midtjylland;950897;969174;747995
Pfizer BioNTech Covid-19 vacc;Nordjylland;406640;416532;321139
Pfizer BioNTech Covid-19 vacc;Sjælland;582407;574590;440118
Pfizer BioNTech Covid-19 vacc;Syddanmark;848493;836922;641546
