"Uge";"Aldersgruppe";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-U50;20-39;1;0;0;1503946;1;0;0;0.00;0.00;0.00
2020-U50;40-64;1;0;0;1893239;1;0;0;0.00;0.00;0.00
2020-U51;16-19;1;0;0;274660;1;0;0;0.00;0.00;0.00
2020-U51;20-39;3;0;0;1503946;4;0;0;0.00;0.00;0.00
2020-U51;40-64;1;0;0;1893239;2;0;0;0.00;0.00;0.00
2020-U51;80+;1;0;0;294333;1;0;0;0.00;0.00;0.00
2020-U52;16-19;5;0;0;274660;6;0;0;0.00;0.00;0.00
2020-U52;20-39;1220;0;0;1503946;1224;0;0;0.08;0.00;0.00
2020-U52;40-64;2564;0;0;1893239;2566;0;0;0.14;0.00;0.00
2020-U52;65-79;837;0;0;905243;837;0;0;0.09;0.00;0.00
2020-U52;80+;1110;0;0;294333;1111;0;0;0.38;0.00;0.00
2020-U53;12-15;1;0;0;272940;1;0;0;0.00;0.00;0.00
2020-U53;16-19;38;0;0;274660;44;0;0;0.02;0.00;0.00
2020-U53;20-39;7815;0;0;1503946;9039;0;0;0.60;0.00;0.00
2020-U53;40-64;20183;1;0;1893239;22749;1;0;1.20;0.00;0.00
2020-U53;65-79;5392;0;0;905243;6229;0;0;0.69;0.00;0.00
2020-U53;80+;7088;0;0;294333;8199;0;0;2.79;0.00;0.00
2021-U01;16-19;87;0;0;274660;131;0;0;0.05;0.00;0.00
2021-U01;20-39;9813;1;0;1503946;18852;1;0;1.25;0.00;0.00
2021-U01;40-64;27143;1;0;1893239;49892;2;0;2.64;0.00;0.00
2021-U01;65-79;8511;0;0;905243;14740;0;0;1.63;0.00;0.00
2021-U01;80+;11529;1;0;294333;19728;1;0;6.70;0.00;0.00
2021-U02;16-19;49;0;0;274660;180;0;0;0.07;0.00;0.00
2021-U02;20-39;8116;101;0;1503946;26968;102;0;1.79;0.01;0.00
2021-U02;40-64;17985;301;0;1893239;67877;303;0;3.59;0.02;0.00
