"Dato";"Aldersgruppe";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;40-64;Nordjylland;1;0;0;188531;1;0;0;0.00;0.00;0.00
2020-12-11;20-39;Nordjylland;1;0;0;145021;1;0;0;0.00;0.00;0.00
2020-12-16;20-39;Hovedstaden;1;0;0;553664;1;0;0;0.00;0.00;0.00
2020-12-17;20-39;Hovedstaden;1;0;0;553664;2;0;0;0.00;0.00;0.00
2020-12-18;16-19;Sjælland;1;0;0;41299;1;0;0;0.00;0.00;0.00
2020-12-18;20-39;Hovedstaden;1;0;0;553664;3;0;0;0.00;0.00;0.00
2020-12-19;80+;Hovedstaden;1;0;0;81120;1;0;0;0.00;0.00;0.00
2020-12-20;40-64;Hovedstaden;1;0;0;587030;1;0;0;0.00;0.00;0.00
2020-12-21;20-39;Midtjylland;1;0;0;350796;1;0;0;0.00;0.00;0.00
2020-12-21;40-64;Hovedstaden;2;0;0;587030;3;0;0;0.00;0.00;0.00
2020-12-22;20-39;Syddanmark;1;0;0;283095;1;0;0;0.00;0.00;0.00
2020-12-22;40-64;Midtjylland;2;0;0;422493;2;0;0;0.00;0.00;0.00
2020-12-22;40-64;Syddanmark;1;0;0;403504;1;0;0;0.00;0.00;0.00
2020-12-22;65-79;Hovedstaden;1;0;0;244549;1;0;0;0.00;0.00;0.00
2020-12-23;40-64;Hovedstaden;1;0;0;587030;4;0;0;0.00;0.00;0.00
2020-12-23;40-64;Midtjylland;1;0;0;422493;3;0;0;0.00;0.00;0.00
2020-12-23;80+;Hovedstaden;1;0;0;81120;2;0;0;0.00;0.00;0.00
2020-12-23;80+;Midtjylland;1;0;0;64548;1;0;0;0.00;0.00;0.00
2020-12-24;20-39;Hovedstaden;1;0;0;553664;4;0;0;0.00;0.00;0.00
2020-12-24;20-39;Sjælland;1;0;0;171918;1;0;0;0.00;0.00;0.00
2020-12-24;40-64;Hovedstaden;1;0;0;587030;5;0;0;0.00;0.00;0.00
2020-12-24;65-79;Hovedstaden;1;0;0;244549;2;0;0;0.00;0.00;0.00
2020-12-26;20-39;Hovedstaden;1;0;0;553664;5;0;0;0.00;0.00;0.00
2020-12-26;20-39;Sjælland;1;0;0;171918;2;0;0;0.00;0.00;0.00
2020-12-26;40-64;Sjælland;1;0;0;291901;1;0;0;0.00;0.00;0.00
2020-12-26;65-79;Hovedstaden;2;0;0;244549;4;0;0;0.00;0.00;0.00
2020-12-27;16-19;Midtjylland;3;0;0;65687;3;0;0;0.00;0.00;0.00
2020-12-27;16-19;Sjælland;1;0;0;41299;2;0;0;0.00;0.00;0.00
2020-12-27;20-39;Hovedstaden;453;0;0;553664;458;0;0;0.08;0.00;0.00
2020-12-27;20-39;Midtjylland;338;0;0;350796;339;0;0;0.10;0.00;0.00
2020-12-27;20-39;Nordjylland;237;0;0;145021;238;0;0;0.16;0.00;0.00
2020-12-27;20-39;Sjælland;145;0;0;171918;147;0;0;0.09;0.00;0.00
2020-12-27;20-39;Syddanmark;37;0;0;283095;38;0;0;0.01;0.00;0.00
2020-12-27;40-64;Hovedstaden;816;0;0;587030;821;0;0;0.14;0.00;0.00
2020-12-27;40-64;Midtjylland;713;0;0;422493;716;0;0;0.17;0.00;0.00
2020-12-27;40-64;Nordjylland;402;0;0;188531;403;0;0;0.21;0.00;0.00
2020-12-27;40-64;Sjælland;468;0;0;291901;469;0;0;0.16;0.00;0.00
2020-12-27;40-64;Syddanmark;154;0;0;403504;155;0;0;0.04;0.00;0.00
2020-12-27;65-79;Hovedstaden;163;0;0;244549;167;0;0;0.07;0.00;0.00
2020-12-27;65-79;Midtjylland;279;0;0;203850;279;0;0;0.14;0.00;0.00
2020-12-27;65-79;Nordjylland;110;0;0;100139;110;0;0;0.11;0.00;0.00
2020-12-27;65-79;Sjælland;207;0;0;151669;207;0;0;0.14;0.00;0.00
2020-12-27;65-79;Syddanmark;76;0;0;205203;76;0;0;0.04;0.00;0.00
2020-12-27;80+;Hovedstaden;118;0;0;81120;120;0;0;0.15;0.00;0.00
2020-12-27;80+;Midtjylland;355;0;0;64548;356;0;0;0.55;0.00;0.00
2020-12-27;80+;Nordjylland;179;0;0;33003;179;0;0;0.54;0.00;0.00
2020-12-27;80+;Sjælland;322;0;0;46721;322;0;0;0.69;0.00;0.00
2020-12-27;80+;Syddanmark;125;0;0;69391;125;0;0;0.18;0.00;0.00
2020-12-28;12-15;Syddanmark;1;0;0;58652;1;0;0;0.00;0.00;0.00
2020-12-28;16-19;Hovedstaden;1;0;0;80631;1;0;0;0.00;0.00;0.00
2020-12-28;16-19;Syddanmark;1;0;0;59574;1;0;0;0.00;0.00;0.00
2020-12-28;20-39;Hovedstaden;129;0;0;553664;587;0;0;0.11;0.00;0.00
2020-12-28;20-39;Midtjylland;55;0;0;350796;394;0;0;0.11;0.00;0.00
2020-12-28;20-39;Nordjylland;23;0;0;145021;261;0;0;0.18;0.00;0.00
2020-12-28;20-39;Sjælland;130;0;0;171918;277;0;0;0.16;0.00;0.00
2020-12-28;20-39;Syddanmark;106;0;0;283095;144;0;0;0.05;0.00;0.00
2020-12-28;40-64;Hovedstaden;201;0;0;587030;1022;0;0;0.17;0.00;0.00
2020-12-28;40-64;Midtjylland;127;0;0;422493;843;0;0;0.20;0.00;0.00
2020-12-28;40-64;Nordjylland;72;0;0;188531;475;0;0;0.25;0.00;0.00
2020-12-28;40-64;Sjælland;376;0;0;291901;845;0;0;0.29;0.00;0.00
2020-12-28;40-64;Syddanmark;310;0;0;403504;465;0;0;0.12;0.00;0.00
2020-12-28;65-79;Hovedstaden;66;0;0;244549;233;0;0;0.10;0.00;0.00
2020-12-28;65-79;Midtjylland;12;0;0;203850;291;0;0;0.14;0.00;0.00
2020-12-28;65-79;Nordjylland;10;0;0;100139;120;0;0;0.12;0.00;0.00
2020-12-28;65-79;Sjælland;46;0;0;151669;253;0;0;0.17;0.00;0.00
2020-12-28;65-79;Syddanmark;71;0;0;205203;147;0;0;0.07;0.00;0.00
2020-12-28;80+;Hovedstaden;64;0;0;81120;184;0;0;0.23;0.00;0.00
2020-12-28;80+;Sjælland;1;0;0;46721;323;0;0;0.69;0.00;0.00
2020-12-28;80+;Syddanmark;94;0;0;69391;219;0;0;0.32;0.00;0.00
2020-12-29;16-19;Hovedstaden;1;0;0;80631;2;0;0;0.00;0.00;0.00
2020-12-29;16-19;Midtjylland;2;0;0;65687;5;0;0;0.01;0.00;0.00
2020-12-29;16-19;Syddanmark;1;0;0;59574;2;0;0;0.00;0.00;0.00
2020-12-29;20-39;Hovedstaden;927;0;0;553664;1514;0;0;0.27;0.00;0.00
2020-12-29;20-39;Midtjylland;198;0;0;350796;592;0;0;0.17;0.00;0.00
2020-12-29;20-39;Nordjylland;26;0;0;145021;287;0;0;0.20;0.00;0.00
2020-12-29;20-39;Sjælland;318;0;0;171918;595;0;0;0.35;0.00;0.00
2020-12-29;20-39;Syddanmark;314;0;0;283095;458;0;0;0.16;0.00;0.00
2020-12-29;40-64;Hovedstaden;1801;0;0;587030;2823;0;0;0.48;0.00;0.00
2020-12-29;40-64;Midtjylland;465;0;0;422493;1308;0;0;0.31;0.00;0.00
2020-12-29;40-64;Nordjylland;118;1;0;188531;593;1;0;0.31;0.00;0.00
2020-12-29;40-64;Sjælland;915;0;0;291901;1760;0;0;0.60;0.00;0.00
2020-12-29;40-64;Syddanmark;923;0;0;403504;1388;0;0;0.34;0.00;0.00
2020-12-29;65-79;Hovedstaden;350;0;0;244549;583;0;0;0.24;0.00;0.00
2020-12-29;65-79;Midtjylland;115;0;0;203850;406;0;0;0.20;0.00;0.00
2020-12-29;65-79;Nordjylland;37;0;0;100139;157;0;0;0.16;0.00;0.00
2020-12-29;65-79;Sjælland;250;0;0;151669;503;0;0;0.33;0.00;0.00
2020-12-29;65-79;Syddanmark;213;0;0;205203;360;0;0;0.18;0.00;0.00
2020-12-29;80+;Hovedstaden;261;0;0;81120;445;0;0;0.55;0.00;0.00
2020-12-29;80+;Midtjylland;202;0;0;64548;558;0;0;0.86;0.00;0.00
2020-12-29;80+;Nordjylland;81;0;0;33003;260;0;0;0.79;0.00;0.00
2020-12-29;80+;Sjælland;286;0;0;46721;609;0;0;1.30;0.00;0.00
2020-12-29;80+;Syddanmark;261;0;0;69391;480;0;0;0.69;0.00;0.00
2020-12-30;16-19;Hovedstaden;5;0;0;80631;7;0;0;0.01;0.00;0.00
2020-12-30;16-19;Midtjylland;3;0;0;65687;8;0;0;0.01;0.00;0.00
2020-12-30;16-19;Nordjylland;5;0;0;27531;5;0;0;0.02;0.00;0.00
2020-12-30;16-19;Sjælland;1;0;0;41299;3;0;0;0.01;0.00;0.00
2020-12-30;16-19;Syddanmark;3;0;0;59574;5;0;0;0.01;0.00;0.00
