"Dato";"Aldersgruppe";"Region";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Samlet antal 1. stik";"Samlet antal 2. stik";"Samlet antal 3. stik";"Samlet dækning 1. stik (%)";"Samlet dækning 2. stik (%)";"Samlet dækning 3. stik (%)"
2020-12-08;40-49;Nordjylland;1;0;0;70794;1;0;0;0.00;0.00;0.00
2020-12-11;20-29;Nordjylland;1;0;0;77895;1;0;0;0.00;0.00;0.00
2020-12-16;20-29;Hovedstaden;1;0;0;292080;1;0;0;0.00;0.00;0.00
2020-12-17;30-39;Hovedstaden;1;0;0;263075;1;0;0;0.00;0.00;0.00
2020-12-18;10-19;Sjælland;1;0;0;105164;1;0;0;0.00;0.00;0.00
2020-12-18;30-39;Hovedstaden;1;0;0;263075;2;0;0;0.00;0.00;0.00
2020-12-19;80-89;Hovedstaden;1;0;0;60303;1;0;0;0.00;0.00;0.00
2020-12-20;40-49;Hovedstaden;1;0;0;247857;1;0;0;0.00;0.00;0.00
2020-12-21;30-39;Hovedstaden;1;0;0;263075;3;0;0;0.00;0.00;0.00
2020-12-21;30-39;Midtjylland;1;0;0;160571;1;0;0;0.00;0.00;0.00
2020-12-21;40-49;Hovedstaden;1;0;0;247857;2;0;0;0.00;0.00;0.00
2020-12-22;20-29;Syddanmark;1;0;0;143839;1;0;0;0.00;0.00;0.00
2020-12-22;30-39;Midtjylland;1;0;0;160571;2;0;0;0.00;0.00;0.00
2020-12-22;30-39;Syddanmark;1;0;0;137679;1;0;0;0.00;0.00;0.00
2020-12-22;40-49;Midtjylland;1;0;0;168332;1;0;0;0.00;0.00;0.00
2020-12-22;60-69;Hovedstaden;1;0;0;181574;1;0;0;0.00;0.00;0.00
2020-12-23;40-49;Midtjylland;1;0;0;168332;2;0;0;0.00;0.00;0.00
2020-12-23;50-59;Hovedstaden;1;0;0;242739;1;0;0;0.00;0.00;0.00
2020-12-23;90+;Hovedstaden;1;0;0;9757;1;0;0;0.01;0.00;0.00
2020-12-23;90+;Midtjylland;1;0;0;7422;1;0;0;0.01;0.00;0.00
2020-12-24;20-29;Hovedstaden;1;0;0;292080;2;0;0;0.00;0.00;0.00
2020-12-24;20-29;Sjælland;1;0;0;80433;1;0;0;0.00;0.00;0.00
2020-12-24;40-49;Hovedstaden;1;0;0;247857;3;0;0;0.00;0.00;0.00
2020-12-24;70-79;Hovedstaden;1;0;0;154107;1;0;0;0.00;0.00;0.00
2020-12-26;20-29;Hovedstaden;1;0;0;292080;3;0;0;0.00;0.00;0.00
2020-12-26;30-39;Sjælland;1;0;0;91175;1;0;0;0.00;0.00;0.00
2020-12-26;50-59;Sjælland;1;0;0;128550;1;0;0;0.00;0.00;0.00
2020-12-26;60-69;Hovedstaden;1;0;0;181574;2;0;0;0.00;0.00;0.00
2020-12-26;70-79;Hovedstaden;1;0;0;154107;2;0;0;0.00;0.00;0.00
2020-12-27;10-19;Hovedstaden;2;0;0;215720;2;0;0;0.00;0.00;0.00
