"Region";"Aldersgruppe";"Køn";"Antal 1. stik";"Antal 2. stik";"Antal 3. stik";"Antal borgere";"Dækning 1. stik (%)";"Dækning 2. stik (%)";"Dækning 3. stik (%)"
Hovedstaden;0-9;K;16982;12783;0;98953;17.2;12.9;0.00
Hovedstaden;0-9;M;17991;13578;0;104331;17.2;13.0;0.00
Hovedstaden;10-19;K;75336;71739;12847;99534;75.7;72.1;12.9
Hovedstaden;10-19;M;78385;74426;12066;104433;75.1;71.3;11.6
Hovedstaden;20-29;K;121338;118854;84515;146855;82.6;80.9;57.5
Hovedstaden;20-29;M;114299;110827;70990;141044;81.0;78.6;50.3
Hovedstaden;30-39;K;111807;109560;71722;132472;84.4;82.7;54.1
Hovedstaden;30-39;M;109583;106736;67623;133293;82.2;80.1;50.7
Hovedstaden;40-49;K;110309;109244;90947;121941;90.5;89.6;74.6
Hovedstaden;40-49;M;106992;105860;87198;121119;88.3;87.4;72.0
Hovedstaden;50-59;K;114059;113467;103321;122289;93.3;92.8;84.5
Hovedstaden;50-59;M;113223;112577;101926;122230;92.6;92.1;83.4
Hovedstaden;60-69;K;90536;90280;86100;95086;95.2;94.9;90.5
Hovedstaden;60-69;M;85991;85690;81543;90160;95.4;95.0;90.4
Hovedstaden;70-79;K;83771;83584;81434;86421;96.9;96.7;94.2
Hovedstaden;70-79;M;70344;70225;68508;72333;97.3;97.1;94.7
Hovedstaden;80-89;K;39435;39344;38301;40668;97.0;96.7;94.2
Hovedstaden;80-89;M;26881;26837;26214;27555;97.6;97.4;95.1
Hovedstaden;90+;K;9041;9000;8629;9436;95.8;95.4;91.4
Hovedstaden;90+;M;3372;3362;3269;3461;97.4;97.1;94.5
Midtjylland;0-9;K;14820;11732;0;70164;21.1;16.7;0.00
Midtjylland;0-9;M;15864;12589;0;74165;21.4;17.0;0.00
Midtjylland;10-19;K;65062;62945;11387;78150;83.3;80.5;14.6
Midtjylland;10-19;M;67415;65035;10907;81485;82.7;79.8;13.4
Midtjylland;20-29;K;80555;79312;59312;92932;86.7;85.3;63.8
Midtjylland;20-29;M;82065;80216;53820;97071;84.5;82.6;55.4
Midtjylland;30-39;K;68296;67268;46777;78010;87.5;86.2;60.0
Midtjylland;30-39;M;69637;68291;45544;82783;84.1;82.5;55.0
Midtjylland;40-49;K;75915;75491;66416;81813;92.8;92.3;81.2
Midtjylland;40-49;M;74710;74158;63237;82349;90.7;90.1;76.8
Midtjylland;50-59;K;84560;84284;79300;89017;95.0;94.7;89.1
Midtjylland;50-59;M;85085;84798;79191;90011;94.5;94.2;88.0
