sample_agegrp_new;Men_AstraZeneca Covid-19 vaccine;Men_Pfizer BioNTech Covid-19 vacc;Women_AstraZeneca Covid-19 vaccine;Women_Pfizer BioNTech Covid-19 vacc;Women_Moderna Covid-19 Vaccine;Men_Moderna Covid-19 Vaccine
15-19 år;1;5;2;16;0;0
20-24 år;2;19;3;65;0;0
25-29 år;1;45;6;142;1;0
30-34 år;1;47;6;128;0;0
35-39 år;0;33;6;127;0;0
40-44 år;2;35;9;163;1;0
45-49 år;1;34;8;204;0;0
50-54 år;7;36;9;216;2;0
55-59 år;1;43;9;227;0;0
60-64 år;2;52;4;179;0;0
65-69 år;0;56;0;55;0;0
70-74 år;0;94;0;73;0;0
75-79 år;0;97;0;114;0;2
80-84 år;0;118;0;172;0;0
85-89 år;0;120;0;211;2;0
90-95 år;0;55;0;155;4;1
95 år+;0;17;0;69;0;0
